Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1770885002.036744,66565,5,1
2,Payment,1770885002.036745,90976,0,1
2,Payment,1770885002.036745,88361,7,1
3,OrderStatus,1770885002.036745,57304,1,1
1,NewOrder,1770885002.036746,94700,23,1
1,NewOrder,1770885002.036747,84575,3,1
1,NewOrder,1770885002.036752,83425,4,1
4,Delivery,1770885002.036810,87944,2,1
1,NewOrder,1770885002.037017,97169,6,1
2,Payment,1770885002.037231,112991,9,1
2,Payment,1770885002.037444,50154,8,1
2,Payment,1770885002.037689,66195,15,1
1,NewOrder,1770885002.037880,105785,10,1
2,Payment,1770885002.038083,91395,13,1
2,Payment,1770885002.038305,64423,11,1
1,NewOrder,1770885002.038531,84443,14,1
2,Payment,1770885002.038724,149589,17,1
2,Payment,1770885002.038943,110651,12,1
3,OrderStatus,1770885002.039165,41461,18,1
1,NewOrder,1770885002.039366,96317,19,1
2,Payment,1770885002.039570,121594,16,1
5,StockLevel,1770885002.039786,59539,20,1
5,StockLevel,1770885002.039995,67078,21,1
2,Payment,1770885002.040209,59453,22,1
2,Payment,1770885002.080739,43024,18,1
1,NewOrder,1770885002.087637,56978,8,1
2,Payment,1770885002.094084,56173,1,1
2,Payment,1770885002.099400,55681,20,1
2,Payment,1770885002.099695,29120,22,1
2,Payment,1770885002.102759,64998,11,1
1,NewOrder,1770885002.103345,41345,5,1
4,Delivery,1770885002.103915,56789,15,1
1,NewOrder,1770885002.107106,55557,21,1
3,OrderStatus,1770885002.120216,15028,4,1
2,Payment,1770885002.121355,48165,3,1
2,Payment,1770885002.123006,76988,14,1
2,Payment,1770885002.123787,39684,18,1
4,Delivery,1770885002.124788,44540,2,1
1,NewOrder,1770885002.125145,48250,7,1
2,Payment,1770885002.127748,61016,0,1
4,Delivery,1770885002.128835,82081,22,1
1,NewOrder,1770885002.129510,42653,13,1
1,NewOrder,1770885002.131475,18690,23,1
2,Payment,1770885002.134223,46754,6,1
1,NewOrder,1770885002.135262,24556,4,1
1,NewOrder,1770885002.135717,18761,19,1
2,Payment,1770885002.143697,55326,10,1
3,OrderStatus,1770885002.144632,4342,8,1
2,Payment,1770885002.144710,52425,5,1
2,Payment,1770885002.148996,53273,8,1
4,Delivery,1770885002.149628,11912,12,1
2,Payment,1770885002.150181,22634,23,1
1,NewOrder,1770885002.150255,126055,9,1
1,NewOrder,1770885002.150276,58412,1,1
1,NewOrder,1770885002.154498,43095,19,1
2,Payment,1770885002.155104,29005,20,1
2,Payment,1770885002.159842,16983,4,1
2,Payment,1770885002.160726,31375,15,1
4,Delivery,1770885002.161193,79060,16,1
1,NewOrder,1770885002.161562,72615,12,1
2,Payment,1770885002.162683,27324,21,1
1,NewOrder,1770885002.163488,70033,18,1
1,NewOrder,1770885002.167788,100520,11,1
1,NewOrder,1770885002.169367,97299,2,1
1,NewOrder,1770885002.169540,41237,3,1
2,Payment,1770885002.172185,30634,13,1
1,NewOrder,1770885002.172837,27229,23,1
1,NewOrder,1770885002.173415,36905,7,1
1,NewOrder,1770885002.176842,42044,4,1
5,StockLevel,1770885002.181002,38214,6,1
2,Payment,1770885002.184133,22217,20,1
3,OrderStatus,1770885002.188371,13942,17,1
1,NewOrder,1770885002.188780,85501,0,1
2,Payment,1770885002.190028,32289,21,1
2,Payment,1770885002.192123,27370,15,1
4,Delivery,1770885002.197156,151302,5,1
2,Payment,1770885002.197614,59344,19,1
1,NewOrder,1770885002.199042,23599,10,1
2,Payment,1770885002.200018,33130,14,1
2,Payment,1770885002.200089,67503,23,1
4,Delivery,1770885002.202289,37125,8,1
1,NewOrder,1770885002.202337,37885,17,1
