Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
4,Delivery,1770885400.039197,132966,23,1
1,NewOrder,1770885400.039197,86282,0,1
2,Payment,1770885400.039197,67242,10,1
2,Payment,1770885400.039197,82736,4,1
2,Payment,1770885400.039198,55893,3,1
1,NewOrder,1770885400.039199,173547,7,1
1,NewOrder,1770885400.039205,181886,2,1
2,Payment,1770885400.039214,99895,5,1
2,Payment,1770885400.039229,62338,1,1
2,Payment,1770885400.039235,72003,8,1
2,Payment,1770885400.039261,106195,9,1
2,Payment,1770885400.039268,76576,6,1
4,Delivery,1770885400.039991,222666,11,1
2,Payment,1770885400.055786,67360,12,1
2,Payment,1770885400.055808,40263,16,1
2,Payment,1770885400.055954,79747,17,1
1,NewOrder,1770885400.055961,76146,22,1
1,NewOrder,1770885400.055977,68892,21,1
1,NewOrder,1770885400.055994,168959,15,1
1,NewOrder,1770885400.056011,77174,20,1
1,NewOrder,1770885400.056027,114555,19,1
1,NewOrder,1770885400.056038,64165,18,1
3,OrderStatus,1770885400.056052,27806,14,1
2,Payment,1770885400.057302,45177,13,1
1,NewOrder,1770885400.083976,43491,14,1
2,Payment,1770885400.095136,51907,3,1
1,NewOrder,1770885400.096099,153222,16,1
3,OrderStatus,1770885400.101638,44966,1,1
2,Payment,1770885400.102510,45958,13,1
1,NewOrder,1770885400.106470,101857,10,1
1,NewOrder,1770885400.111266,113232,8,1
1,NewOrder,1770885400.115876,107795,6,1
2,Payment,1770885400.120241,12329,18,1
1,NewOrder,1770885400.121963,85138,4,1
1,NewOrder,1770885400.123177,77911,12,1
1,NewOrder,1770885400.124898,16700,21,1
1,NewOrder,1770885400.125507,16439,0,1
2,Payment,1770885400.127487,30096,14,1
1,NewOrder,1770885400.132139,39001,22,1
2,Payment,1770885400.132586,7197,18,1
1,NewOrder,1770885400.133215,33962,20,1
1,NewOrder,1770885400.135726,58312,17,1
4,Delivery,1770885400.139136,106388,5,1
2,Payment,1770885400.139801,7749,18,1
1,NewOrder,1770885400.141619,33725,21,1
2,Payment,1770885400.141962,13867,0,1
1,NewOrder,1770885400.145482,105539,9,1
1,NewOrder,1770885400.146621,110315,1,1
1,NewOrder,1770885400.147060,99856,3,1
4,Delivery,1770885400.147567,25041,18,1
1,NewOrder,1770885400.148486,49534,13,1
3,OrderStatus,1770885400.155849,9451,0,1
1,NewOrder,1770885400.157603,30995,14,1
1,NewOrder,1770885400.165330,43028,0,1
1,NewOrder,1770885400.167198,18072,20,1
2,Payment,1770885400.170630,44355,19,1
1,NewOrder,1770885400.171158,53733,22,1
1,NewOrder,1770885400.172188,58472,23,1
1,NewOrder,1770885400.172626,15440,18,1
2,Payment,1770885400.175361,43821,21,1
1,NewOrder,1770885400.185290,19193,20,1
1,NewOrder,1770885400.188084,47250,18,1
1,NewOrder,1770885400.188617,27543,14,1
1,NewOrder,1770885400.194060,39627,17,1
2,Payment,1770885400.198039,9786,13,1
1,NewOrder,1770885400.201105,33171,12,1
1,NewOrder,1770885400.204507,36368,20,1
2,Payment,1770885400.207120,11705,4,1
1,NewOrder,1770885400.207840,29896,13,1
1,NewOrder,1770885400.208341,26961,10,1
1,NewOrder,1770885400.208385,31184,0,1
1,NewOrder,1770885400.212782,45363,7,1
1,NewOrder,1770885400.215006,65384,19,1
1,NewOrder,1770885400.216180,29014,14,1
5,StockLevel,1770885400.218843,30604,4,1
1,NewOrder,1770885400.219199,25400,21,1
3,OrderStatus,1770885400.221127,12997,2,1
2,Payment,1770885400.223689,16736,6,1
2,Payment,1770885400.224516,33219,8,1
1,NewOrder,1770885400.224906,20308,22,1
2,Payment,1770885400.224988,34468,15,1
2,Payment,1770885400.230682,16098,23,1
1,NewOrder,1770885400.233717,50759,17,1
2,Payment,1770885400.234135,24820,2,1
1,NewOrder,1770885400.234295,19116,12,1
1,NewOrder,1770885400.235322,20074,10,1
1,NewOrder,1770885400.235355,36304,18,1
2,Payment,1770885400.237757,25399,13,1
2,Payment,1770885400.239588,23623,0,1
5,StockLevel,1770885400.240442,57966,6,1
1,NewOrder,1770885400.240887,45949,20,1
2,Payment,1770885400.244616,5618,21,1
1,NewOrder,1770885400.245215,34056,14,1
2,Payment,1770885400.245230,13400,22,1
2,Payment,1770885400.245537,20163,5,1
2,Payment,1770885400.246796,16335,23,1
2,Payment,1770885400.246933,25309,3,1
2,Payment,1770885400.249339,27076,16,1
2,Payment,1770885400.249464,19524,4,1
1,NewOrder,1770885400.250249,32491,21,1
1,NewOrder,1770885400.251038,36843,9,1
1,NewOrder,1770885400.253431,30380,12,1
4,Delivery,1770885400.255416,14656,10,1
2,Payment,1770885400.256956,19477,1,1
2,Payment,1770885400.257751,17631,8,1
1,NewOrder,1770885400.258161,35784,7,1
1,NewOrder,1770885400.258647,64512,22,1
2,Payment,1770885400.258974,27064,2,1
1,NewOrder,1770885400.259471,45210,15,1
2,Payment,1770885400.262699,34893,11,1
1,NewOrder,1770885400.263152,35713,23,1
1,NewOrder,1770885400.263173,21705,13,1
1,NewOrder,1770885400.263227,30095,0,1
1,NewOrder,1770885400.265724,51684,5,1
1,NewOrder,1770885400.269007,35221,4,1
1,NewOrder,1770885400.270090,25603,10,1
1,NewOrder,1770885400.271680,47052,18,1
1,NewOrder,1770885400.272259,37553,3,1
2,Payment,1770885400.275402,24830,8,1
2,Payment,1770885400.276432,16204,16,1
1,NewOrder,1770885400.276452,52153,1,1
2,Payment,1770885400.279290,17436,14,1
1,NewOrder,1770885400.280411,51408,19,1
