Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1770894908.050486,114347,2,1
2,Payment,1770894908.050486,149707,21,1
1,NewOrder,1770894908.050488,84764,12,1
5,StockLevel,1770894908.050496,98416,7,1
1,NewOrder,1770894908.050511,132512,11,1
1,NewOrder,1770894908.050512,140587,22,1
4,Delivery,1770894908.050538,162178,5,1
2,Payment,1770894908.050555,75972,10,1
2,Payment,1770894908.050564,122285,20,1
1,NewOrder,1770894908.050567,129955,4,1
2,Payment,1770894908.050579,52435,3,1
2,Payment,1770894908.050593,76744,17,1
2,Payment,1770894908.050608,77039,0,1
1,NewOrder,1770894908.050622,138931,13,1
2,Payment,1770894908.050639,110167,6,1
2,Payment,1770894908.050652,146057,14,1
1,NewOrder,1770894908.050670,128671,18,1
2,Payment,1770894908.050684,85938,19,1
1,NewOrder,1770894908.050702,120282,9,1
1,NewOrder,1770894908.050716,134169,16,1
1,NewOrder,1770894908.050721,124488,8,1
5,StockLevel,1770894908.050737,52097,1,1
1,NewOrder,1770894908.050750,137185,23,1
2,Payment,1770894908.050945,122195,15,1
1,NewOrder,1770894908.102951,62625,1,1
2,Payment,1770894908.103052,31654,3,1
4,Delivery,1770894908.126609,120225,10,1
5,StockLevel,1770894908.127434,58449,17,1
1,NewOrder,1770894908.127719,64899,0,1
2,Payment,1770894908.134732,11865,3,1
1,NewOrder,1770894908.135322,30281,12,1
2,Payment,1770894908.136667,76684,19,1
3,OrderStatus,1770894908.146629,13189,3,1
2,Payment,1770894908.148941,43349,7,1
2,Payment,1770894908.159855,11759,3,1
1,NewOrder,1770894908.160874,93524,6,1
2,Payment,1770894908.164898,32160,2,1
1,NewOrder,1770894908.165618,23387,1,1
2,Payment,1770894908.165642,45789,12,1
1,NewOrder,1770894908.171056,41558,9,1
2,Payment,1770894908.171656,35624,3,1
1,NewOrder,1770894908.172901,102349,20,1
1,NewOrder,1770894908.173196,94773,15,1
1,NewOrder,1770894908.175242,62657,8,1
1,NewOrder,1770894908.179411,22759,18,1
1,NewOrder,1770894908.180580,22735,4,1
1,NewOrder,1770894908.183087,35987,11,1
2,Payment,1770894908.184947,38364,16,1
1,NewOrder,1770894908.185926,72402,17,1
2,Payment,1770894908.188001,45125,23,1
1,NewOrder,1770894908.189047,31122,1,1
1,NewOrder,1770894908.189619,58057,13,1
1,NewOrder,1770894908.191156,57451,22,1
2,Payment,1770894908.192323,15797,7,1
1,NewOrder,1770894908.192641,58053,0,1
1,NewOrder,1770894908.196765,69342,14,1
1,NewOrder,1770894908.197097,55626,2,1
1,NewOrder,1770894908.200246,102730,21,1
2,Payment,1770894908.202215,53835,18,1
2,Payment,1770894908.203331,17389,4,1
3,OrderStatus,1770894908.207321,9267,3,1
1,NewOrder,1770894908.208165,76684,7,1
1,NewOrder,1770894908.211453,33517,12,1
4,Delivery,1770894908.212634,35022,9,1
2,Payment,1770894908.212784,38622,5,1
1,NewOrder,1770894908.213394,94728,19,1
2,Payment,1770894908.216632,45094,3,1
2,Payment,1770894908.219139,12689,11,1
