Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1771638318.251878,99382,10,1
1,NewOrder,1771638318.251879,134331,23,1
3,OrderStatus,1771638318.251879,56227,4,1
2,Payment,1771638318.251879,66292,2,1
4,Delivery,1771638318.251879,97319,6,1
3,OrderStatus,1771638318.251883,48284,1,1
1,NewOrder,1771638318.251940,80127,3,1
2,Payment,1771638318.252024,61578,0,1
4,Delivery,1771638318.252235,166062,5,1
4,Delivery,1771638318.252449,96714,7,1
3,OrderStatus,1771638318.252677,49958,16,1
2,Payment,1771638318.252884,59658,8,1
4,Delivery,1771638318.253109,95759,9,1
1,NewOrder,1771638318.253302,89521,11,1
1,NewOrder,1771638318.253511,78535,12,1
1,NewOrder,1771638318.253727,100139,13,1
1,NewOrder,1771638318.253942,80755,14,1
1,NewOrder,1771638318.254159,109815,15,1
1,NewOrder,1771638318.254375,152559,17,1
2,Payment,1771638318.254579,89616,18,1
5,StockLevel,1771638318.254792,56586,19,1
3,OrderStatus,1771638318.255000,47485,20,1
2,Payment,1771638318.255211,100790,22,1
2,Payment,1771638318.255423,76622,21,1
1,NewOrder,1771638318.300278,77554,1,1
1,NewOrder,1771638318.302519,81660,20,1
1,NewOrder,1771638318.302665,69421,16,1
1,NewOrder,1771638318.308162,75989,4,1
2,Payment,1771638318.311404,49208,19,1
1,NewOrder,1771638318.312563,75503,8,1
1,NewOrder,1771638318.313627,78806,0,1
2,Payment,1771638318.318200,22092,2,1
2,Payment,1771638318.332079,33830,12,1
1,NewOrder,1771638318.332080,48869,21,1
2,Payment,1771638318.332094,31163,3,1
1,NewOrder,1771638318.334723,47527,14,1
2,Payment,1771638318.340316,26470,2,1
3,OrderStatus,1771638318.342850,32036,11,1
2,Payment,1771638318.344224,19843,18,1
1,NewOrder,1771638318.348899,73777,9,1
2,Payment,1771638318.349190,21856,7,1
2,Payment,1771638318.349224,27814,6,1
1,NewOrder,1771638318.351284,54805,10,1
2,Payment,1771638318.353891,30430,13,1
2,Payment,1771638318.356030,27140,22,1
2,Payment,1771638318.360630,29807,19,1
2,Payment,1771638318.363273,20449,3,1
1,NewOrder,1771638318.364002,21109,15,1
2,Payment,1771638318.364086,22698,18,1
3,OrderStatus,1771638318.365925,15524,12,1
3,OrderStatus,1771638318.366804,12767,2,1
1,NewOrder,1771638318.371063,75902,7,1
1,NewOrder,1771638318.372103,38225,16,1
1,NewOrder,1771638318.374911,28325,11,1
2,Payment,1771638318.377054,12810,6,1
1,NewOrder,1771638318.377850,39942,1,1
1,NewOrder,1771638318.379588,83397,2,1
2,Payment,1771638318.380966,17764,21,1
2,Payment,1771638318.381468,12942,12,1
4,Delivery,1771638318.382265,85022,14,1
2,Payment,1771638318.383187,9387,22,1
4,Delivery,1771638318.383739,34798,3,1
1,NewOrder,1771638318.384168,34160,4,1
2,Payment,1771638318.384191,11506,20,1
3,OrderStatus,1771638318.384340,16353,13,1
2,Payment,1771638318.385127,25729,15,1
1,NewOrder,1771638318.386265,53338,23,1
2,Payment,1771638318.386799,20853,18,1
2,Payment,1771638318.388083,31298,8,1
1,NewOrder,1771638318.389882,66366,6,1
2,Payment,1771638318.390455,14435,19,1
2,Payment,1771638318.392452,21939,0,1
1,NewOrder,1771638318.392590,71899,22,1
4,Delivery,1771638318.394426,73132,12,1
1,NewOrder,1771638318.395713,39290,20,1
1,NewOrder,1771638318.398746,44616,21,1
2,Payment,1771638318.400710,12586,13,1
2,Payment,1771638318.403252,20035,11,1
2,Payment,1771638318.404908,16517,19,1
2,Payment,1771638318.406107,26235,10,1
5,StockLevel,1771638318.406964,39635,17,1
2,Payment,1771638318.407668,16445,18,1
1,NewOrder,1771638318.410346,31851,16,1
2,Payment,1771638318.410871,7379,15,1
2,Payment,1771638318.413313,18582,13,1
1,NewOrder,1771638318.414407,30917,0,1
2,Payment,1771638318.417810,25429,1,1
1,NewOrder,1771638318.418265,62215,15,1
3,OrderStatus,1771638318.418325,9270,5,1
2,Payment,1771638318.418344,27311,4,1
1,NewOrder,1771638318.418553,24263,3,1
4,Delivery,1771638318.419397,79284,8,1
1,NewOrder,1771638318.421440,86404,19,1
1,NewOrder,1771638318.422694,34041,9,1
5,StockLevel,1771638318.423304,32334,11,1
1,NewOrder,1771638318.424133,86306,18,1
2,Payment,1771638318.427612,30416,5,1
5,StockLevel,1771638318.431916,32366,13,1
1,NewOrder,1771638318.432358,42276,10,1
5,StockLevel,1771638318.435029,36786,20,1
1,NewOrder,1771638318.439642,26810,23,1
1,NewOrder,1771638318.442217,34820,16,1
3,OrderStatus,1771638318.442841,7417,3,1
2,Payment,1771638318.443259,11973,1,1
1,NewOrder,1771638318.443380,41133,21,1
2,Payment,1771638318.445342,24782,0,1
1,NewOrder,1771638318.445674,41974,4,1
5,StockLevel,1771638318.446615,27909,17,1
1,NewOrder,1771638318.446986,42799,7,1
1,NewOrder,1771638318.450283,45323,3,1
2,Payment,1771638318.455251,17672,1,1
2,Payment,1771638318.455657,14748,11,1
2,Payment,1771638318.456267,18876,6,1
3,OrderStatus,1771638318.456750,13719,9,1
1,NewOrder,1771638318.458044,49762,5,1
4,Delivery,1771638318.463002,80289,2,1
1,NewOrder,1771638318.464298,54706,13,1
1,NewOrder,1771638318.464501,53547,22,1
1,NewOrder,1771638318.466471,39365,23,1
1,NewOrder,1771638318.467305,52219,14,1
4,Delivery,1771638318.467574,3042,12,1
2,Payment,1771638318.470143,16271,0,1
2,Payment,1771638318.470422,16605,11,1
1,NewOrder,1771638318.470490,36700,9,1
2,Payment,1771638318.470633,5957,12,1
1,NewOrder,1771638318.471829,43246,20,1
1,NewOrder,1771638318.472940,27068,1,1
1,NewOrder,1771638318.474562,32712,17,1
2,Payment,1771638318.474656,15463,10,1
1,NewOrder,1771638318.475158,25881,6,1
5,StockLevel,1771638318.476607,37274,12,1
1,NewOrder,1771638318.477055,31414,16,1
1,NewOrder,1771638318.480496,35994,15,1
4,Delivery,1771638318.484529,82079,21,1
2,Payment,1771638318.486433,16939,0,1
4,Delivery,1771638318.487042,12021,11,1
1,NewOrder,1771638318.487664,44488,4,1
2,Payment,1771638318.489803,14947,7,1
2,Payment,1771638318.490132,17590,10,1
1,NewOrder,1771638318.495628,37429,3,1
2,Payment,1771638318.498704,15306,8,1
2,Payment,1771638318.499084,11447,11,1
1,NewOrder,1771638318.500025,29177,1,1
2,Payment,1771638318.501056,17962,6,1
2,Payment,1771638318.503386,6970,0,1
2,Payment,1771638318.504767,20876,7,1
4,Delivery,1771638318.505852,60994,23,1
1,NewOrder,1771638318.507209,32977,9,1
2,Payment,1771638318.507293,22958,17,1
