Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1772020448.627509,75833,11,1
1,NewOrder,1772020448.627510,109968,22,1
3,OrderStatus,1772020448.627511,60233,2,1
5,StockLevel,1772020448.627512,58064,0,1
2,Payment,1772020448.627519,87912,1,1
2,Payment,1772020448.627521,94889,7,1
2,Payment,1772020448.627543,104254,10,1
1,NewOrder,1772020448.627622,111987,6,1
1,NewOrder,1772020448.627623,110189,4,1
1,NewOrder,1772020448.627629,134196,17,1
2,Payment,1772020448.627644,86699,9,1
3,OrderStatus,1772020448.627659,61185,3,1
2,Payment,1772020448.627662,78963,5,1
2,Payment,1772020448.627676,110068,13,1
4,Delivery,1772020448.650910,110468,8,1
1,NewOrder,1772020448.650923,83064,23,1
2,Payment,1772020448.650947,86892,21,1
2,Payment,1772020448.650954,30250,18,1
2,Payment,1772020448.650978,47255,19,1
2,Payment,1772020448.650983,59128,20,1
1,NewOrder,1772020448.651008,49546,16,1
2,Payment,1772020448.651031,79673,15,1
1,NewOrder,1772020448.651056,103165,14,1
2,Payment,1772020448.651068,45483,12,1
1,NewOrder,1772020448.681341,22269,18,1
2,Payment,1772020448.685639,35211,0,1
2,Payment,1772020448.687802,46580,2,1
2,Payment,1772020448.688990,38260,3,1
4,Delivery,1772020448.696619,33876,12,1
1,NewOrder,1772020448.698279,88595,19,1
1,NewOrder,1772020448.700603,42851,16,1
1,NewOrder,1772020448.703410,84317,11,1
1,NewOrder,1772020448.703646,25820,18,1
1,NewOrder,1772020448.706670,99236,5,1
5,StockLevel,1772020448.710164,54123,20,1
1,NewOrder,1772020448.714389,107780,9,1
1,NewOrder,1772020448.715485,67666,1,1
2,Payment,1772020448.720872,16865,0,1
4,Delivery,1772020448.722471,39435,7,1
1,NewOrder,1772020448.727270,70556,3,1
4,Delivery,1772020448.729513,20395,18,1
1,NewOrder,1772020448.730535,87727,12,1
2,Payment,1772020448.730758,18070,15,1
1,NewOrder,1772020448.731869,79801,10,1
1,NewOrder,1772020448.734039,57733,23,1
1,NewOrder,1772020448.734435,81691,2,1
2,Payment,1772020448.737504,22325,22,1
1,NewOrder,1772020448.737752,59541,0,1
1,NewOrder,1772020448.737819,62577,13,1
4,Delivery,1772020448.737884,102101,4,1
2,Payment,1772020448.737907,15714,21,1
1,NewOrder,1772020448.739678,37097,6,1
1,NewOrder,1772020448.743480,29359,16,1
1,NewOrder,1772020448.748878,81099,15,1
2,Payment,1772020448.749957,14837,18,1
1,NewOrder,1772020448.753664,89959,21,1
1,NewOrder,1772020448.754284,26119,14,1
4,Delivery,1772020448.759860,102144,22,1
2,Payment,1772020448.761437,30713,8,1
2,Payment,1772020448.761922,38089,17,1
1,NewOrder,1772020448.761937,46835,7,1
1,NewOrder,1772020448.764318,99165,20,1
1,NewOrder,1772020448.764835,39339,18,1
1,NewOrder,1772020448.772872,29816,16,1
1,NewOrder,1772020448.776806,39089,6,1
1,NewOrder,1772020448.780448,46494,14,1
1,NewOrder,1772020448.783205,44139,1,1
2,Payment,1772020448.786917,16567,19,1
2,Payment,1772020448.787769,17765,11,1
2,Payment,1772020448.791836,23772,23,1
2,Payment,1772020448.792192,23484,8,1
1,NewOrder,1772020448.797321,31296,0,1
2,Payment,1772020448.797847,14776,3,1
1,NewOrder,1772020448.800054,56186,17,1
2,Payment,1772020448.800427,14532,13,1
1,NewOrder,1772020448.802737,40828,16,1
5,StockLevel,1772020448.803520,44713,19,1
2,Payment,1772020448.804217,15586,18,1
2,Payment,1772020448.805590,16367,11,1
5,StockLevel,1772020448.805956,44632,5,1
2,Payment,1772020448.808805,16198,7,1
2,Payment,1772020448.811714,19685,10,1
2,Payment,1772020448.812642,13074,3,1
2,Payment,1772020448.814997,19849,13,1
1,NewOrder,1772020448.815650,38861,23,1
2,Payment,1772020448.815710,19165,8,1
1,NewOrder,1772020448.815936,42313,6,1
5,StockLevel,1772020448.816162,32671,2,1
4,Delivery,1772020448.818305,15920,12,1
4,Delivery,1772020448.819846,42611,18,1
2,Payment,1772020448.821992,18610,11,1
5,StockLevel,1772020448.822209,34786,9,1
2,Payment,1772020448.825019,17708,7,1
1,NewOrder,1772020448.825734,26045,3,1
2,Payment,1772020448.826984,17071,14,1
2,Payment,1772020448.827364,13252,1,1
1,NewOrder,1772020448.828667,27023,0,1
1,NewOrder,1772020448.829993,61701,15,1
2,Payment,1772020448.831450,18548,10,1
1,NewOrder,1772020448.834287,38083,12,1
1,NewOrder,1772020448.834880,32279,13,1
3,OrderStatus,1772020448.834896,5753,8,1
2,Payment,1772020448.840031,23483,4,1
1,NewOrder,1772020448.840644,35819,11,1
3,OrderStatus,1772020448.840659,8228,1,1
2,Payment,1772020448.840677,17932,8,1
1,NewOrder,1772020448.842747,38646,7,1
1,NewOrder,1772020448.843586,32985,16,1
3,OrderStatus,1772020448.843654,12198,21,1
1,NewOrder,1772020448.844097,32384,14,1
2,Payment,1772020448.848257,17494,19,1
2,Payment,1772020448.848893,20086,2,1
1,NewOrder,1772020448.848924,19287,1,1
2,Payment,1772020448.850048,14952,10,1
1,NewOrder,1772020448.850637,49788,5,1
2,Payment,1772020448.851830,19033,3,1
3,OrderStatus,1772020448.854552,8149,23,1
2,Payment,1772020448.855728,20732,0,1
1,NewOrder,1772020448.855898,49489,21,1
2,Payment,1772020448.856269,19277,17,1
