Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1771637256.353927,159593,8,1
1,NewOrder,1771637256.353989,154114,1,1
2,Payment,1771637256.353999,109526,0,1
1,NewOrder,1771637256.354011,135172,13,1
2,Payment,1771637256.354028,86151,9,1
2,Payment,1771637256.354051,105883,12,1
1,NewOrder,1771637256.354063,146886,6,1
1,NewOrder,1771637256.354153,138077,16,1
2,Payment,1771637256.354154,95334,2,1
1,NewOrder,1771637256.354156,156721,4,1
2,Payment,1771637256.354176,101998,3,1
1,NewOrder,1771637256.354201,158527,23,1
1,NewOrder,1771637256.354211,172180,7,1
2,Payment,1771637256.354241,87373,5,1
1,NewOrder,1771637256.354243,142855,10,1
1,NewOrder,1771637256.354392,153593,14,1
2,Payment,1771637256.354667,112229,15,1
1,NewOrder,1771637256.354816,154291,17,1
2,Payment,1771637256.355019,103364,18,1
1,NewOrder,1771637256.355284,152616,20,1
1,NewOrder,1771637256.355474,155871,19,1
2,Payment,1771637256.355816,95015,21,1
1,NewOrder,1771637256.355841,148838,11,1
1,NewOrder,1771637256.356084,181447,22,1
2,Payment,1771637256.440402,19909,9,1
1,NewOrder,1771637256.441688,87794,5,1
2,Payment,1771637256.449567,21040,2,1
2,Payment,1771637256.450968,17726,21,1
2,Payment,1771637256.456247,31208,3,1
1,NewOrder,1771637256.458439,69636,18,1
1,NewOrder,1771637256.459985,86365,12,1
1,NewOrder,1771637256.460349,88794,9,1
1,NewOrder,1771637256.463577,64499,0,1
1,NewOrder,1771637256.466959,77617,15,1
1,NewOrder,1771637256.468712,74525,21,1
2,Payment,1771637256.470629,3199,2,1
2,Payment,1771637256.473849,4784,2,1
1,NewOrder,1771637256.478687,65052,2,1
2,Payment,1771637256.487508,7634,3,1
5,StockLevel,1771637256.489226,34082,13,1
1,NewOrder,1771637256.492299,57627,16,1
3,OrderStatus,1771637256.495187,6086,3,1
2,Payment,1771637256.497140,25383,10,1
1,NewOrder,1771637256.501041,20431,6,1
