Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1771824782.899944,96142,15,1
2,Payment,1771824782.899946,159403,13,1
2,Payment,1771824782.899949,114708,3,1
1,NewOrder,1771824782.899953,131623,10,1
2,Payment,1771824782.899963,139575,0,1
2,Payment,1771824782.899988,91087,5,1
2,Payment,1771824782.900033,123333,8,1
3,OrderStatus,1771824782.900074,98820,2,1
1,NewOrder,1771824782.900075,136210,4,1
5,StockLevel,1771824782.900102,117196,9,1
4,Delivery,1771824782.900106,86600,18,1
3,OrderStatus,1771824782.900122,98925,1,1
1,NewOrder,1771824782.900136,127279,17,1
1,NewOrder,1771824782.900140,136611,7,1
1,NewOrder,1771824782.900161,144167,6,1
2,Payment,1771824782.900175,94943,11,1
1,NewOrder,1771824782.900182,147390,12,1
2,Payment,1771824782.900390,142924,14,1
1,NewOrder,1771824782.900592,136145,19,1
1,NewOrder,1771824782.900790,136836,16,1
1,NewOrder,1771824782.900999,132571,22,1
2,Payment,1771824782.901218,119705,21,1
2,Payment,1771824782.901452,91869,20,1
1,NewOrder,1771824782.901650,129361,23,1
2,Payment,1771824782.986970,51322,18,1
1,NewOrder,1771824782.991145,64081,5,1
2,Payment,1771824782.993370,52813,20,1
2,Payment,1771824782.995186,36843,11,1
2,Payment,1771824782.996120,88185,15,1
2,Payment,1771824782.998963,53617,2,1
2,Payment,1771824782.999129,71213,1,1
2,Payment,1771824783.014723,85931,3,1
2,Payment,1771824783.017346,33660,9,1
1,NewOrder,1771824783.021000,45007,21,1
2,Payment,1771824783.023435,45728,8,1
2,Payment,1771824783.027493,88841,17,1
2,Payment,1771824783.031075,36249,23,1
1,NewOrder,1771824783.031659,21687,10,1
1,NewOrder,1771824783.032080,33951,11,1
2,Payment,1771824783.033605,53930,22,1
2,Payment,1771824783.036353,43928,4,1
2,Payment,1771824783.036805,24705,7,1
2,Payment,1771824783.036814,83362,19,1
1,NewOrder,1771824783.037662,17010,16,1
2,Payment,1771824783.038340,65643,18,1
2,Payment,1771824783.039607,74197,0,1
1,NewOrder,1771824783.043356,41309,14,1
3,OrderStatus,1771824783.044371,7705,6,1
1,NewOrder,1771824783.046221,52044,20,1
2,Payment,1771824783.047642,26563,12,1
1,NewOrder,1771824783.051059,32619,9,1
2,Payment,1771824783.052120,36406,6,1
1,NewOrder,1771824783.052623,42925,2,1
1,NewOrder,1771824783.053418,30844,10,1
5,StockLevel,1771824783.054714,14002,16,1
2,Payment,1771824783.055276,69452,5,1
1,NewOrder,1771824783.059415,51658,13,1
2,Payment,1771824783.061552,15442,7,1
2,Payment,1771824783.066050,27044,21,1
4,Delivery,1771824783.066088,66477,11,1
2,Payment,1771824783.067374,64278,23,1
2,Payment,1771824783.068759,32847,16,1
4,Delivery,1771824783.069343,64077,8,1
2,Payment,1771824783.070391,14720,1,1
2,Payment,1771824783.074249,52539,12,1
4,Delivery,1771824783.077038,56379,7,1
2,Payment,1771824783.080371,54746,4,1
3,OrderStatus,1771824783.083723,4212,9,1
1,NewOrder,1771824783.084306,18013,10,1
1,NewOrder,1771824783.084348,63465,15,1
5,StockLevel,1771824783.084682,15808,14,1
2,Payment,1771824783.085154,62647,1,1
