Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1771503287.270227,146463,11,1
2,Payment,1771503287.270227,78400,9,1
2,Payment,1771503287.270228,109235,23,1
3,OrderStatus,1771503287.270231,73890,12,1
2,Payment,1771503287.270305,94417,13,1
2,Payment,1771503287.270324,125346,6,1
2,Payment,1771503287.270361,112570,7,1
3,OrderStatus,1771503287.270370,72629,0,1
2,Payment,1771503287.270373,110266,2,1
1,NewOrder,1771503287.270397,162930,5,1
1,NewOrder,1771503287.270428,131930,3,1
2,Payment,1771503287.270448,130933,1,1
2,Payment,1771503287.270458,79102,4,1
3,OrderStatus,1771503287.270487,74355,15,1
5,StockLevel,1771503287.270491,88674,8,1
5,StockLevel,1771503287.270509,116615,10,1
1,NewOrder,1771503287.270649,131030,14,1
2,Payment,1771503287.270832,72427,19,1
1,NewOrder,1771503287.271054,148432,21,1
5,StockLevel,1771503287.271294,111638,17,1
1,NewOrder,1771503287.271472,138140,18,1
1,NewOrder,1771503287.271686,154782,16,1
1,NewOrder,1771503287.271898,155300,22,1
1,NewOrder,1771503287.272112,102051,20,1
2,Payment,1771503287.343225,63999,0,1
2,Payment,1771503287.343337,49347,19,1
5,StockLevel,1771503287.344181,19431,12,1
2,Payment,1771503287.344983,27632,15,1
1,NewOrder,1771503287.348702,43563,9,1
3,OrderStatus,1771503287.349646,10411,4,1
2,Payment,1771503287.359213,73534,8,1
2,Payment,1771503287.360092,51182,4,1
1,NewOrder,1771503287.363650,68830,12,1
1,NewOrder,1771503287.364787,63132,13,1
2,Payment,1771503287.372655,15379,15,1
1,NewOrder,1771503287.374194,42396,20,1
2,Payment,1771503287.379520,16525,23,1
1,NewOrder,1771503287.380688,71699,2,1
1,NewOrder,1771503287.382976,72887,17,1
2,Payment,1771503287.382980,53383,7,1
1,NewOrder,1771503287.387152,95922,10,1
4,Delivery,1771503287.388048,93603,15,1
1,NewOrder,1771503287.392289,53183,9,1
2,Payment,1771503287.392718,17542,19,1
1,NewOrder,1771503287.395727,110281,6,1
2,Payment,1771503287.396090,27645,23,1
2,Payment,1771503287.401433,16873,1,1
1,NewOrder,1771503287.401710,45202,14,1
5,StockLevel,1771503287.402433,32404,3,1
2,Payment,1771503287.407269,16675,0,1
1,NewOrder,1771503287.409678,55213,18,1
2,Payment,1771503287.410291,20183,19,1
1,NewOrder,1771503287.411323,94287,4,1
1,NewOrder,1771503287.416635,38396,20,1
1,NewOrder,1771503287.416758,97557,11,1
2,Payment,1771503287.418353,16252,1,1
2,Payment,1771503287.419559,27140,21,1
1,NewOrder,1771503287.423778,52663,23,1
2,Payment,1771503287.423986,15441,0,1
1,NewOrder,1771503287.426534,33635,16,1
2,Payment,1771503287.427258,24901,22,1
