Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1771507539.461064,98154,4,1
2,Payment,1771507539.461065,129986,23,1
2,Payment,1771507539.461065,119143,14,1
2,Payment,1771507539.461069,103764,15,1
1,NewOrder,1771507539.461080,172846,0,1
1,NewOrder,1771507539.461083,105671,6,1
2,Payment,1771507539.461103,111661,2,1
1,NewOrder,1771507539.461144,103815,5,1
2,Payment,1771507539.461161,72384,3,1
2,Payment,1771507539.461172,131255,17,1
2,Payment,1771507539.461196,84949,1,1
2,Payment,1771507539.461217,83420,7,1
1,NewOrder,1771507539.461245,199649,8,1
2,Payment,1771507539.461260,73786,16,1
2,Payment,1771507539.461275,94541,9,1
2,Payment,1771507539.461294,96643,12,1
3,OrderStatus,1771507539.461305,63910,18,1
2,Payment,1771507539.461313,101296,11,1
1,NewOrder,1771507539.461344,105326,10,1
2,Payment,1771507539.461347,114507,13,1
1,NewOrder,1771507539.461534,134352,21,1
2,Payment,1771507539.461739,134479,22,1
2,Payment,1771507539.463188,82578,19,1
5,StockLevel,1771507539.463201,72411,20,1
3,OrderStatus,1771507539.525324,14443,18,1
2,Payment,1771507539.533622,46229,3,1
2,Payment,1771507539.535120,36405,16,1
1,NewOrder,1771507539.535772,112526,20,1
2,Payment,1771507539.539788,43150,18,1
1,NewOrder,1771507539.544714,79028,7,1
3,OrderStatus,1771507539.545830,9143,19,1
5,StockLevel,1771507539.546234,38355,1,1
1,NewOrder,1771507539.554992,96820,19,1
1,NewOrder,1771507539.555844,83172,9,1
1,NewOrder,1771507539.558010,93010,12,1
2,Payment,1771507539.559296,48636,4,1
2,Payment,1771507539.562675,10411,11,1
2,Payment,1771507539.564902,18410,15,1
1,NewOrder,1771507539.565029,85959,5,1
1,NewOrder,1771507539.566698,83862,10,1
1,NewOrder,1771507539.566824,80697,6,1
2,Payment,1771507539.571571,50329,16,1
2,Payment,1771507539.572834,23255,2,1
2,Payment,1771507539.573126,10243,11,1
2,Payment,1771507539.575882,24987,13,1
2,Payment,1771507539.579896,20724,3,1
2,Payment,1771507539.580243,36691,14,1
1,NewOrder,1771507539.582958,98383,18,1
2,Payment,1771507539.583334,13631,15,1
1,NewOrder,1771507539.583412,20999,11,1
1,NewOrder,1771507539.584633,82310,1,1
2,Payment,1771507539.591079,20370,23,1
2,Payment,1771507539.592454,12755,17,1
4,Delivery,1771507539.595912,105689,21,1
2,Payment,1771507539.596104,6850,2,1
1,NewOrder,1771507539.596254,62238,22,1
2,Payment,1771507539.597014,11621,15,1
4,Delivery,1771507539.600653,69264,3,1
2,Payment,1771507539.600911,11874,13,1
2,Payment,1771507539.603002,8686,2,1
1,NewOrder,1771507539.604451,33980,11,1
1,NewOrder,1771507539.605259,30768,17,1
1,NewOrder,1771507539.607973,10089,4,1
1,NewOrder,1771507539.608678,37765,15,1
2,Payment,1771507539.611476,29047,23,1
2,Payment,1771507539.611733,4953,2,1
2,Payment,1771507539.612823,11820,13,1
2,Payment,1771507539.616749,5184,2,1
1,NewOrder,1771507539.616977,38045,14,1
1,NewOrder,1771507539.618108,44537,4,1
1,NewOrder,1771507539.621947,29824,16,1
1,NewOrder,1771507539.621975,56183,2,1
1,NewOrder,1771507539.623783,40243,7,1
5,StockLevel,1771507539.624678,7308,13,1
2,Payment,1771507539.632033,10214,13,1
2,Payment,1771507539.633972,27833,0,1
1,NewOrder,1771507539.636041,33372,17,1
1,NewOrder,1771507539.638473,44515,11,1
1,NewOrder,1771507539.639060,41037,9,1
1,NewOrder,1771507539.640563,67565,23,1
2,Payment,1771507539.642286,9450,13,1
2,Payment,1771507539.646486,13435,15,1
2,Payment,1771507539.647564,17504,6,1
