Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1771502738.834200,49037,5,1
2,Payment,1771502738.834200,84532,19,1
2,Payment,1771502738.834200,77552,6,1
5,StockLevel,1771502738.834200,42483,7,1
4,Delivery,1771502738.834201,36535,0,1
2,Payment,1771502738.834203,97441,3,1
2,Payment,1771502738.834210,70275,2,1
2,Payment,1771502738.834216,36875,4,1
1,NewOrder,1771502738.834224,132288,1,1
2,Payment,1771502738.834350,65281,10,1
1,NewOrder,1771502738.834576,113320,9,1
1,NewOrder,1771502738.834759,122440,8,1
1,NewOrder,1771502738.835043,118236,15,1
1,NewOrder,1771502738.835215,118819,11,1
2,Payment,1771502738.835425,69363,18,1
1,NewOrder,1771502738.835635,139748,12,1
1,NewOrder,1771502738.835845,120497,16,1
1,NewOrder,1771502738.836051,107443,13,1
5,StockLevel,1771502738.836273,72089,14,1
1,NewOrder,1771502738.836525,133815,17,1
1,NewOrder,1771502738.836688,117289,20,1
5,StockLevel,1771502738.836906,71517,21,1
2,Payment,1771502738.837115,45399,22,1
2,Payment,1771502738.837325,109854,23,1
3,OrderStatus,1771502738.870856,6288,0,1
2,Payment,1771502738.871121,78995,4,1
2,Payment,1771502738.876719,62743,7,1
1,NewOrder,1771502738.877199,51563,0,1
1,NewOrder,1771502738.882550,50628,22,1
2,Payment,1771502738.883281,52463,5,1
2,Payment,1771502738.899676,16075,10,1
2,Payment,1771502738.904526,49714,2,1
1,NewOrder,1771502738.904824,62396,18,1
2,Payment,1771502738.908395,36949,14,1
1,NewOrder,1771502738.908451,88561,21,1
1,NewOrder,1771502738.911793,89928,6,1
2,Payment,1771502738.915775,26780,10,1
2,Payment,1771502738.918766,34258,19,1
3,OrderStatus,1771502738.928803,9711,0,1
2,Payment,1771502738.931683,25923,3,1
2,Payment,1771502738.933200,21653,22,1
1,NewOrder,1771502738.935761,93217,5,1
1,NewOrder,1771502738.938536,31827,0,1
1,NewOrder,1771502738.939479,85421,7,1
1,NewOrder,1771502738.942577,63996,10,1
2,Payment,1771502738.943525,29554,13,1
2,Payment,1771502738.945363,30490,14,1
1,NewOrder,1771502738.947208,95110,23,1
1,NewOrder,1771502738.947924,20565,9,1
1,NewOrder,1771502738.950136,77053,4,1
1,NewOrder,1771502738.953046,85650,19,1
2,Payment,1771502738.953312,30113,15,1
1,NewOrder,1771502738.954003,17023,20,1
2,Payment,1771502738.954064,15184,11,1
2,Payment,1771502738.954257,14217,2,1
1,NewOrder,1771502738.954868,38259,22,1
2,Payment,1771502738.956368,33227,16,1
5,StockLevel,1771502738.957221,18440,8,1
1,NewOrder,1771502738.957623,69167,3,1
2,Payment,1771502738.966553,28459,1,1
3,OrderStatus,1771502738.967240,5280,18,1
3,OrderStatus,1771502738.968490,17601,2,1
2,Payment,1771502738.968509,12517,9,1
2,Payment,1771502738.969279,14551,11,1
1,NewOrder,1771502738.970368,11752,17,1
2,Payment,1771502738.970380,27621,0,1
2,Payment,1771502738.971048,16590,20,1
2,Payment,1771502738.972537,15298,18,1
2,Payment,1771502738.973093,47891,13,1
2,Payment,1771502738.975413,71230,12,1
2,Payment,1771502738.975680,26552,8,1
2,Payment,1771502738.975869,16878,14,1
2,Payment,1771502738.981050,37869,9,1
1,NewOrder,1771502738.982137,30346,17,1
1,NewOrder,1771502738.983443,32645,15,1
2,Payment,1771502738.983845,28655,11,1
2,Payment,1771502738.986108,14391,2,1
1,NewOrder,1771502738.987667,41712,20,1
1,NewOrder,1771502738.987850,17086,18,1
1,NewOrder,1771502738.989618,39788,16,1
2,Payment,1771502738.992771,30488,14,1
1,NewOrder,1771502738.993147,32105,22,1
2,Payment,1771502738.995035,16833,1,1
1,NewOrder,1771502738.997032,43530,21,1
1,NewOrder,1771502738.998018,33318,0,1
5,StockLevel,1771502739.000521,50063,2,1
1,NewOrder,1771502739.001737,53373,6,1
1,NewOrder,1771502739.002250,38929,8,1
1,NewOrder,1771502739.004956,36200,18,1
2,Payment,1771502739.006593,18699,10,1
1,NewOrder,1771502739.011892,33979,1,1
2,Payment,1771502739.012504,42464,17,1
2,Payment,1771502739.012520,29761,11,1
5,StockLevel,1771502739.016111,24547,15,1
1,NewOrder,1771502739.018940,26443,9,1
1,NewOrder,1771502739.021005,33992,13,1
2,Payment,1771502739.023282,35229,14,1
2,Payment,1771502739.024921,14856,7,1
1,NewOrder,1771502739.025270,45378,22,1
1,NewOrder,1771502739.025321,38322,10,1
2,Payment,1771502739.026830,15054,3,1
1,NewOrder,1771502739.027205,49378,4,1
2,Payment,1771502739.028996,17956,5,1
1,NewOrder,1771502739.029395,22546,20,1
2,Payment,1771502739.029423,37935,16,1
2,Payment,1771502739.031355,22821,0,1
2,Payment,1771502739.038723,20710,19,1
2,Payment,1771502739.039797,20397,7,1
5,StockLevel,1771502739.040584,20584,21,1
1,NewOrder,1771502739.040676,36076,15,1
1,NewOrder,1771502739.041174,39284,18,1
1,NewOrder,1771502739.041193,39245,8,1
2,Payment,1771502739.041900,19300,3,1
3,OrderStatus,1771502739.042294,17306,11,1
1,NewOrder,1771502739.042334,32885,23,1
2,Payment,1771502739.045409,19705,9,1
1,NewOrder,1771502739.045889,36439,1,1
2,Payment,1771502739.046659,23539,12,1
5,StockLevel,1771502739.046970,38031,5,1
1,NewOrder,1771502739.050602,72728,2,1
1,NewOrder,1771502739.051958,32050,20,1
2,Payment,1771502739.054198,28174,0,1
4,Delivery,1771502739.054987,138045,17,1
2,Payment,1771502739.055013,19015,13,1
1,NewOrder,1771502739.055127,39535,6,1
2,Payment,1771502739.058537,18675,14,1
2,Payment,1771502739.059455,14972,19,1
1,NewOrder,1771502739.059633,39731,11,1
2,Payment,1771502739.060217,15036,7,1
2,Payment,1771502739.061184,25527,21,1
1,NewOrder,1771502739.061217,25658,3,1
4,Delivery,1771502739.063661,113874,10,1
1,NewOrder,1771502739.065133,37820,9,1
3,OrderStatus,1771502739.067376,10278,16,1
1,NewOrder,1771502739.070224,30611,12,1
2,Payment,1771502739.070674,18465,22,1
1,NewOrder,1771502739.074054,45419,13,1
1,NewOrder,1771502739.074445,49277,19,1
2,Payment,1771502739.075232,29794,23,1
1,NewOrder,1771502739.075273,45901,7,1
1,NewOrder,1771502739.076602,36792,4,1
1,NewOrder,1771502739.076769,32902,15,1
2,Payment,1771502739.077228,7900,14,1
2,Payment,1771502739.077666,14786,16,1
1,NewOrder,1771502739.080462,36536,8,1
1,NewOrder,1771502739.080480,37578,18,1
2,Payment,1771502739.082347,12925,1,1
2,Payment,1771502739.082392,19014,0,1
2,Payment,1771502739.084024,18329,20,1
2,Payment,1771502739.085020,18681,5,1
1,NewOrder,1771502739.085146,56855,14,1
1,NewOrder,1771502739.086734,36237,21,1
1,NewOrder,1771502739.086887,41872,3,1
2,Payment,1771502739.089160,19566,22,1
1,NewOrder,1771502739.092478,27018,16,1
2,Payment,1771502739.094693,27610,6,1
2,Payment,1771502739.095294,21130,1,1
1,NewOrder,1771502739.099387,34571,11,1
5,StockLevel,1771502739.100856,37147,12,1
1,NewOrder,1771502739.101425,50029,0,1
1,NewOrder,1771502739.102371,28259,20,1
2,Payment,1771502739.102974,21676,9,1
2,Payment,1771502739.103716,23595,5,1
2,Payment,1771502739.105041,13722,23,1
1,NewOrder,1771502739.108747,26686,22,1
1,NewOrder,1771502739.109700,30139,15,1
2,Payment,1771502739.113419,22578,4,1
2,Payment,1771502739.116449,22862,1,1
4,Delivery,1771502739.117014,58099,8,1
2,Payment,1771502739.118074,18134,18,1
2,Payment,1771502739.118777,24901,23,1
1,NewOrder,1771502739.119491,40521,13,1
1,NewOrder,1771502739.119515,22511,16,1
2,Payment,1771502739.121194,20449,7,1
4,Delivery,1771502739.122320,52836,6,1
5,StockLevel,1771502739.122984,16293,21,1
1,NewOrder,1771502739.123350,40707,2,1
1,NewOrder,1771502739.123748,50134,19,1
3,OrderStatus,1771502739.124666,5848,9,1
2,Payment,1771502739.127328,19554,5,1
1,NewOrder,1771502739.128775,41658,3,1
1,NewOrder,1771502739.130531,31422,9,1
2,Payment,1771502739.130641,15789,20,1
1,NewOrder,1771502739.133978,46189,11,1
2,Payment,1771502739.135454,19654,22,1
1,NewOrder,1771502739.136018,33510,4,1
2,Payment,1771502739.136227,21150,18,1
2,Payment,1771502739.138019,20637,12,1
2,Payment,1771502739.139293,20081,21,1
2,Payment,1771502739.139326,11761,1,1
1,NewOrder,1771502739.139855,33276,15,1
1,NewOrder,1771502739.141657,40345,7,1
1,NewOrder,1771502739.142015,42172,14,1
1,NewOrder,1771502739.142041,41215,16,1
1,NewOrder,1771502739.143693,46404,23,1
5,StockLevel,1771502739.146448,25265,20,1
1,NewOrder,1771502739.146900,24002,5,1
2,Payment,1771502739.151108,12135,1,1
1,NewOrder,1771502739.151472,37785,0,1
2,Payment,1771502739.155127,15277,22,1
1,NewOrder,1771502739.157395,31417,18,1
2,Payment,1771502739.158673,12253,12,1
1,NewOrder,1771502739.159390,45759,21,1
1,NewOrder,1771502739.160028,41295,13,1
2,Payment,1771502739.161972,16747,9,1
2,Payment,1771502739.163255,10591,1,1
2,Payment,1771502739.164074,20747,2,1
1,NewOrder,1771502739.169557,56147,4,1
2,Payment,1771502739.170424,14529,22,1
1,NewOrder,1771502739.170450,54779,3,1
2,Payment,1771502739.170916,15984,5,1
1,NewOrder,1771502739.170942,39249,12,1
1,NewOrder,1771502739.171731,41505,20,1
2,Payment,1771502739.173147,22775,15,1
2,Payment,1771502739.173862,15360,1,1
2,Payment,1771502739.173897,21577,19,1
2,Payment,1771502739.175128,7691,8,1
2,Payment,1771502739.175173,2498,6,1
1,NewOrder,1771502739.177550,36274,10,1
