Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1772081053.593970,184324,0,1
2,Payment,1772081053.593971,147722,22,1
1,NewOrder,1772081053.593972,136522,12,1
2,Payment,1772081053.593973,111239,13,1
1,NewOrder,1772081053.593994,183565,10,1
2,Payment,1772081053.594080,120392,15,1
1,NewOrder,1772081053.594085,147510,11,1
1,NewOrder,1772081053.594091,170395,8,1
4,Delivery,1772081053.594113,160615,14,1
2,Payment,1772081053.594144,111806,6,1
2,Payment,1772081053.594153,96291,1,1
1,NewOrder,1772081053.594192,181339,9,1
1,NewOrder,1772081053.594207,181299,5,1
2,Payment,1772081053.594235,116263,4,1
5,StockLevel,1772081053.594239,97234,16,1
2,Payment,1772081053.594260,106262,2,1
1,NewOrder,1772081053.594271,156908,3,1
1,NewOrder,1772081053.594284,171740,7,1
2,Payment,1772081053.594432,97584,17,1
2,Payment,1772081053.594620,105088,18,1
1,NewOrder,1772081053.594859,158500,20,1
1,NewOrder,1772081053.595044,128314,19,1
1,NewOrder,1772081053.595243,164901,23,1
2,Payment,1772081053.595460,121609,21,1
1,NewOrder,1772081053.690711,120843,1,1
3,OrderStatus,1772081053.691551,45367,16,1
1,NewOrder,1772081053.692090,63562,17,1
1,NewOrder,1772081053.699896,68026,18,1
1,NewOrder,1772081053.700595,83045,2,1
2,Payment,1772081053.705275,16040,13,1
2,Payment,1772081053.705998,17636,6,1
2,Payment,1772081053.710553,7143,4,1
1,NewOrder,1772081053.714536,98532,15,1
2,Payment,1772081053.717099,32590,21,1
1,NewOrder,1772081053.717713,65479,4,1
1,NewOrder,1772081053.721334,88537,13,1
2,Payment,1772081053.723424,32955,19,1
2,Payment,1772081053.723654,16455,6,1
2,Payment,1772081053.730588,23021,12,1
2,Payment,1772081053.736987,29175,16,1
1,NewOrder,1772081053.740132,51695,6,1
2,Payment,1772081053.741661,15728,11,1
1,NewOrder,1772081053.741773,83436,22,1
5,StockLevel,1772081053.749721,40705,21,1
1,NewOrder,1772081053.751282,30099,3,1
2,Payment,1772081053.753452,38905,20,1
1,NewOrder,1772081053.753648,66432,12,1
4,Delivery,1772081053.754773,35141,14,1
1,NewOrder,1772081053.755695,45934,17,1
4,Delivery,1772081053.756425,28701,19,1
1,NewOrder,1772081053.757429,59569,11,1
1,NewOrder,1772081053.760217,15798,23,1
1,NewOrder,1772081053.764542,24602,8,1
2,Payment,1772081053.766087,18920,7,1
1,NewOrder,1772081053.766205,63241,16,1
2,Payment,1772081053.767967,30339,18,1
2,Payment,1772081053.775569,19285,5,1
1,NewOrder,1772081053.775586,48692,9,1
2,Payment,1772081053.776057,29119,23,1
1,NewOrder,1772081053.777620,33784,10,1
1,NewOrder,1772081053.778346,32593,0,1
1,NewOrder,1772081053.781411,25286,3,1
2,Payment,1772081053.783230,19278,4,1
2,Payment,1772081053.783677,25148,2,1
2,Payment,1772081053.785047,10834,7,1
4,Delivery,1772081053.785160,34706,19,1
1,NewOrder,1772081053.789188,30267,8,1
2,Payment,1772081053.789955,46634,14,1
2,Payment,1772081053.790463,39342,21,1
1,NewOrder,1772081053.791857,56051,6,1
2,Payment,1772081053.792383,17606,20,1
1,NewOrder,1772081053.794894,44362,5,1
1,NewOrder,1772081053.795920,42593,7,1
2,Payment,1772081053.798351,15862,18,1
2,Payment,1772081053.801652,42547,17,1
1,NewOrder,1772081053.802527,41207,4,1
2,Payment,1772081053.805227,19945,23,1
2,Payment,1772081053.806731,39677,3,1
2,Payment,1772081053.808856,41522,2,1
2,Payment,1772081053.809902,51060,13,1
2,Payment,1772081053.810019,10179,20,1
1,NewOrder,1772081053.810973,31027,0,1
2,Payment,1772081053.811446,31454,10,1
1,NewOrder,1772081053.811580,48981,1,1
1,NewOrder,1772081053.813113,21541,15,1
1,NewOrder,1772081053.814230,42496,18,1
1,NewOrder,1772081053.817016,16792,11,1
1,NewOrder,1772081053.819477,61616,8,1
1,NewOrder,1772081053.819908,55941,19,1
1,NewOrder,1772081053.820115,11714,12,1
1,NewOrder,1772081053.820228,24833,20,1
1,NewOrder,1772081053.824298,24265,9,1
2,Payment,1772081053.825191,9268,23,1
2,Payment,1772081053.825256,18013,22,1
2,Payment,1772081053.829494,35532,16,1
1,NewOrder,1772081053.829826,33950,21,1
2,Payment,1772081053.831873,21277,12,1
1,NewOrder,1772081053.833854,34516,11,1
2,Payment,1772081053.834501,14085,23,1
1,NewOrder,1772081053.834703,24993,15,1
5,StockLevel,1772081053.836629,41007,14,1
1,NewOrder,1772081053.838558,51665,7,1
1,NewOrder,1772081053.839306,42699,5,1
1,NewOrder,1772081053.842029,53876,0,1
2,Payment,1772081053.842948,12009,10,1
2,Payment,1772081053.843321,12590,22,1
2,Payment,1772081053.843779,26352,4,1
2,Payment,1772081053.844242,12714,17,1
1,NewOrder,1772081053.845081,34142,20,1
2,Payment,1772081053.846431,18002,3,1
2,Payment,1772081053.847949,19171,6,1
1,NewOrder,1772081053.848584,32145,9,1
1,NewOrder,1772081053.848650,34358,23,1
1,NewOrder,1772081053.850399,6078,2,1
1,NewOrder,1772081053.853173,29496,12,1
2,Payment,1772081053.854980,30264,10,1
1,NewOrder,1772081053.855947,42968,22,1
2,Payment,1772081053.856502,17783,2,1
1,NewOrder,1772081053.856773,43849,18,1
1,NewOrder,1772081053.857021,11746,17,1
2,Payment,1772081053.859743,28767,15,1
2,Payment,1772081053.860610,27187,1,1
2,Payment,1772081053.861029,9716,13,1
5,StockLevel,1772081053.863819,23857,21,1
1,NewOrder,1772081053.864462,33875,3,1
2,Payment,1772081053.865070,10126,16,1
2,Payment,1772081053.867163,14883,6,1
1,NewOrder,1772081053.868419,53386,11,1
1,NewOrder,1772081053.868810,25900,17,1
1,NewOrder,1772081053.870176,25770,4,1
1,NewOrder,1772081053.870792,10327,13,1
2,Payment,1772081053.874332,18054,2,1
1,NewOrder,1772081053.875223,27463,16,1
2,Payment,1772081053.875896,14912,19,1
2,Payment,1772081053.877678,15425,14,1
1,NewOrder,1772081053.879266,42357,20,1
4,Delivery,1772081053.880774,102384,9,1
4,Delivery,1772081053.881126,101516,8,1
2,Payment,1772081053.881175,16215,13,1
1,NewOrder,1772081053.882038,26474,5,1
1,NewOrder,1772081053.882082,32702,6,1
2,Payment,1772081053.882710,24872,12,1
1,NewOrder,1772081053.883045,46266,23,1
2,Payment,1772081053.885285,11074,10,1
5,StockLevel,1772081053.887719,15056,21,1
2,Payment,1772081053.887851,15623,1,1
2,Payment,1772081053.888548,22702,15,1
1,NewOrder,1772081053.890269,25559,7,1
2,Payment,1772081053.890851,18450,19,1
1,NewOrder,1772081053.892424,8808,2,1
2,Payment,1772081053.893147,22718,14,1
2,Payment,1772081053.894769,31455,17,1
2,Payment,1772081053.895949,13431,0,1
1,NewOrder,1772081053.895992,25917,4,1
2,Payment,1772081053.896402,19856,10,1
2,Payment,1772081053.897457,24224,13,1
1,NewOrder,1772081053.898382,58402,3,1
1,NewOrder,1772081053.898950,26530,22,1
2,Payment,1772081053.900666,21208,18,1
5,StockLevel,1772081053.901276,4436,2,1
2,Payment,1772081053.902728,29399,16,1
2,Payment,1772081053.902817,23586,21,1
2,Payment,1772081053.903516,12320,1,1
1,NewOrder,1772081053.905733,10123,2,1
1,NewOrder,1772081053.907606,60542,12,1
1,NewOrder,1772081053.908530,47932,5,1
2,Payment,1772081053.909343,22770,19,1
2,Payment,1772081053.909422,27522,0,1
1,NewOrder,1772081053.911291,35519,15,1
2,Payment,1772081053.914832,16771,6,1
2,Payment,1772081053.915866,24763,1,1
1,NewOrder,1772081053.915875,31369,7,1
1,NewOrder,1772081053.915906,10956,2,1
2,Payment,1772081053.915919,22466,14,1
1,NewOrder,1772081053.916293,46754,10,1
1,NewOrder,1772081053.921670,46276,20,1
1,NewOrder,1772081053.921726,10283,13,1
2,Payment,1772081053.921849,23275,11,1
3,OrderStatus,1772081053.921914,16965,18,1
2,Payment,1772081053.921938,25275,4,1
4,Delivery,1772081053.925522,118163,22,1
1,NewOrder,1772081053.926251,12966,17,1
1,NewOrder,1772081053.926444,30823,21,1
1,NewOrder,1772081053.926908,7191,2,1
4,Delivery,1772081053.929355,114785,23,1
2,Payment,1772081053.931649,26929,6,1
1,NewOrder,1772081053.932053,11460,13,1
1,NewOrder,1772081053.932159,36955,19,1
1,NewOrder,1772081053.932172,19096,16,1
1,NewOrder,1772081053.934137,21937,2,1
1,NewOrder,1772081053.937007,34881,0,1
2,Payment,1772081053.938431,26492,14,1
2,Payment,1772081053.938914,28866,18,1
1,NewOrder,1772081053.939269,43436,17,1
1,NewOrder,1772081053.940662,8054,1,1
1,NewOrder,1772081053.943533,6396,13,1
1,NewOrder,1772081053.945169,38173,11,1
2,Payment,1772081053.946827,22724,15,1
2,Payment,1772081053.947252,12068,4,1
1,NewOrder,1772081053.947285,19026,7,1
1,NewOrder,1772081053.948759,11151,1,1
2,Payment,1772081053.949965,22452,13,1
1,NewOrder,1772081053.951309,24679,16,1
1,NewOrder,1772081053.956096,34314,2,1
2,Payment,1772081053.956504,10907,5,1
2,Payment,1772081053.956801,19574,3,1
2,Payment,1772081053.957284,15960,21,1
5,StockLevel,1772081053.958634,34633,6,1
1,NewOrder,1772081053.959366,23216,4,1
2,Payment,1772081053.959944,13285,1,1
2,Payment,1772081053.963066,12063,10,1
2,Payment,1772081053.964986,15803,14,1
2,Payment,1772081053.966354,16885,7,1
4,Delivery,1772081053.967445,139876,5,1
1,NewOrder,1772081053.967819,29347,18,1
2,Payment,1772081053.967990,15351,20,1
2,Payment,1772081053.968180,21508,12,1
3,OrderStatus,1772081053.969159,4728,19,1
1,NewOrder,1772081053.969586,31164,15,1
2,Payment,1772081053.971934,17425,0,1
2,Payment,1772081053.972437,11322,13,1
2,Payment,1772081053.973270,9863,1,1
2,Payment,1772081053.973288,14724,21,1
2,Payment,1772081053.973922,21770,19,1
2,Payment,1772081053.975169,13505,10,1
2,Payment,1772081053.976032,27366,16,1
5,StockLevel,1772081053.976412,27664,3,1
1,NewOrder,1772081053.980823,82846,14,1
1,NewOrder,1772081053.982622,52473,4,1
1,NewOrder,1772081053.982663,26750,8,1
5,StockLevel,1772081053.982743,38984,17,1
2,Payment,1772081053.983177,10366,1,1
1,NewOrder,1772081053.983178,10330,9,1
2,Payment,1772081053.983288,31595,7,1
2,Payment,1772081053.983359,38144,11,1
1,NewOrder,1772081053.983383,20856,20,1
2,Payment,1772081053.983791,9271,13,1
2,Payment,1772081053.988073,14371,21,1
2,Payment,1772081053.988722,15633,10,1
1,NewOrder,1772081053.989403,33258,0,1
2,Payment,1772081053.989727,9277,12,1
1,NewOrder,1772081053.990451,47045,2,1
2,Payment,1772081053.993103,14633,13,1
1,NewOrder,1772081053.993294,42062,6,1
2,Payment,1772081053.993525,15503,9,1
5,StockLevel,1772081053.993584,4186,1,1
1,NewOrder,1772081053.995717,25933,19,1
1,NewOrder,1772081053.997210,29983,18,1
2,Payment,1772081053.997810,17100,1,1
5,StockLevel,1772081053.999041,34883,12,1
1,NewOrder,1772081054.000791,44065,15,1
1,NewOrder,1772081054.002490,40652,21,1
1,NewOrder,1772081054.003437,31697,16,1
2,Payment,1772081054.004120,21572,3,1
2,Payment,1772081054.004278,16172,20,1
1,NewOrder,1772081054.004409,30136,10,1
