Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1771732973.996577,68486,1,1
2,Payment,1771732973.996578,51190,5,1
1,NewOrder,1771732973.996578,155448,23,1
1,NewOrder,1771732973.996578,145281,4,1
1,NewOrder,1771732973.996578,125782,0,1
1,NewOrder,1771732973.996582,123674,6,1
1,NewOrder,1771732973.996587,126209,3,1
2,Payment,1771732973.996634,85571,7,1
1,NewOrder,1771732973.996830,143343,8,1
1,NewOrder,1771732973.997043,124438,2,1
2,Payment,1771732973.997254,77429,9,1
1,NewOrder,1771732974.011728,128330,10,1
5,StockLevel,1771732974.011742,53121,18,1
2,Payment,1771732974.011755,84651,22,1
2,Payment,1771732974.011771,46989,21,1
2,Payment,1771732974.011786,41909,20,1
2,Payment,1771732974.011798,53751,19,1
1,NewOrder,1771732974.011817,129777,16,1
1,NewOrder,1771732974.011823,95440,17,1
1,NewOrder,1771732974.011834,77604,15,1
2,Payment,1771732974.011846,39280,14,1
2,Payment,1771732974.011858,74855,11,1
2,Payment,1771732974.011869,49127,13,1
1,NewOrder,1771732974.011879,107522,12,1
2,Payment,1771732974.047890,32765,5,1
2,Payment,1771732974.051162,14434,14,1
1,NewOrder,1771732974.053726,86812,20,1
1,NewOrder,1771732974.058833,82876,21,1
2,Payment,1771732974.061025,9842,13,1
2,Payment,1771732974.064891,37441,18,1
1,NewOrder,1771732974.065095,77737,1,1
5,StockLevel,1771732974.065578,65809,19,1
1,NewOrder,1771732974.065627,62342,14,1
2,Payment,1771732974.070891,15213,13,1
1,NewOrder,1771732974.074717,84724,9,1
1,NewOrder,1771732974.080681,60959,5,1
1,NewOrder,1771732974.082235,62454,7,1
2,Payment,1771732974.086133,20509,13,1
1,NewOrder,1771732974.086745,74426,11,1
5,StockLevel,1771732974.089481,46901,15,1
2,Payment,1771732974.096441,10781,22,1
1,NewOrder,1771732974.102356,80287,18,1
2,Payment,1771732974.106668,20099,13,1
2,Payment,1771732974.107241,12718,22,1
1,NewOrder,1771732974.107296,40167,17,1
2,Payment,1771732974.119441,18154,12,1
2,Payment,1771732974.119981,21688,22,1
2,Payment,1771732974.120291,15486,6,1
2,Payment,1771732974.121508,23068,2,1
2,Payment,1771732974.122390,28080,0,1
1,NewOrder,1771732974.122824,34560,3,1
1,NewOrder,1771732974.126784,89980,13,1
1,NewOrder,1771732974.127990,38025,14,1
2,Payment,1771732974.131418,20608,19,1
4,Delivery,1771732974.135797,16372,6,1
2,Payment,1771732974.136404,32064,15,1
2,Payment,1771732974.137619,25608,12,1
2,Payment,1771732974.140105,27657,10,1
3,OrderStatus,1771732974.140206,15948,8,1
4,Delivery,1771732974.140559,73188,20,1
3,OrderStatus,1771732974.141629,22622,16,1
2,Payment,1771732974.141661,12486,5,1
1,NewOrder,1771732974.141689,60337,22,1
1,NewOrder,1771732974.141728,20324,21,1
1,NewOrder,1771732974.141881,54287,4,1
1,NewOrder,1771732974.142847,47433,1,1
4,Delivery,1771732974.144595,85541,2,1
2,Payment,1771732974.144701,27482,7,1
2,Payment,1771732974.147483,38571,17,1
1,NewOrder,1771732974.150490,38268,0,1
4,Delivery,1771732974.152043,62013,19,1
1,NewOrder,1771732974.152062,47941,23,1
1,NewOrder,1771732974.152183,47207,6,1
2,Payment,1771732974.154165,8724,5,1
1,NewOrder,1771732974.156175,44371,8,1
2,Payment,1771732974.157404,29323,3,1
2,Payment,1771732974.159459,16281,9,1
1,NewOrder,1771732974.161188,38177,11,1
2,Payment,1771732974.162071,23958,21,1
2,Payment,1771732974.162914,28515,5,1
2,Payment,1771732974.163242,17192,12,1
1,NewOrder,1771732974.164268,49004,16,1
2,Payment,1771732974.166032,25887,14,1
2,Payment,1771732974.167780,17653,10,1
3,OrderStatus,1771732974.168486,3155,15,1
2,Payment,1771732974.171659,23511,15,1
1,NewOrder,1771732974.172200,32083,7,1
2,Payment,1771732974.175762,17796,9,1
1,NewOrder,1771732974.180461,57237,12,1
1,NewOrder,1771732974.182663,50896,18,1
2,Payment,1771732974.185460,20933,10,1
3,OrderStatus,1771732974.186050,11603,21,1
2,Payment,1771732974.186074,11699,17,1
2,Payment,1771732974.186745,13831,3,1
1,NewOrder,1771732974.188779,42181,0,1
1,NewOrder,1771732974.190301,38691,1,1
1,NewOrder,1771732974.191449,35014,5,1
2,Payment,1771732974.191940,17686,14,1
1,NewOrder,1771732974.193576,35946,9,1
2,Payment,1771732974.195189,10529,15,1
2,Payment,1771732974.196192,29608,4,1
3,OrderStatus,1771732974.197690,9291,21,1
1,NewOrder,1771732974.197794,28685,17,1
1,NewOrder,1771732974.199390,34838,11,1
1,NewOrder,1771732974.199412,34919,6,1
1,NewOrder,1771732974.200017,31908,23,1
1,NewOrder,1771732974.200563,48803,8,1
4,Delivery,1771732974.200592,30008,3,1
2,Payment,1771732974.202045,16671,22,1
1,NewOrder,1771732974.204302,39906,7,1
1,NewOrder,1771732974.205737,55402,15,1
4,Delivery,1771732974.206410,116071,10,1
1,NewOrder,1771732974.206997,31200,21,1
1,NewOrder,1771732974.209648,41875,14,1
1,NewOrder,1771732974.213296,52173,16,1
2,Payment,1771732974.213766,18893,20,1
1,NewOrder,1771732974.214075,24191,19,1
1,NewOrder,1771732974.216782,42784,13,1
1,NewOrder,1771732974.218736,56965,22,1
1,NewOrder,1771732974.225826,30423,4,1
1,NewOrder,1771732974.226486,42009,5,1
2,Payment,1771732974.226497,13244,17,1
3,OrderStatus,1771732974.229016,12773,1,1
2,Payment,1771732974.229541,17533,9,1
1,NewOrder,1771732974.230153,34780,2,1
2,Payment,1771732974.230618,3641,3,1
1,NewOrder,1771732974.230977,52304,0,1
2,Payment,1771732974.231963,37348,23,1
2,Payment,1771732974.232678,15146,20,1
4,Delivery,1771732974.233578,16404,18,1
1,NewOrder,1771732974.234244,34651,11,1
2,Payment,1771732974.234280,7349,3,1
2,Payment,1771732974.234348,15974,6,1
2,Payment,1771732974.237722,15068,12,1
2,Payment,1771732974.238217,12798,21,1
2,Payment,1771732974.238284,15287,19,1
1,NewOrder,1771732974.239760,30482,17,1
2,Payment,1771732974.241647,17385,3,1
2,Payment,1771732974.241809,46662,1,1
1,NewOrder,1771732974.244229,44933,7,1
1,NewOrder,1771732974.247094,43005,9,1
2,Payment,1771732974.247846,14341,20,1
1,NewOrder,1771732974.249384,47851,8,1
2,Payment,1771732974.249998,22232,18,1
1,NewOrder,1771732974.250341,33207,6,1
2,Payment,1771732974.251032,25207,21,1
2,Payment,1771732974.251544,17033,14,1
2,Payment,1771732974.252811,26357,12,1
2,Payment,1771732974.253590,12347,19,1
2,Payment,1771732974.256275,37325,4,1
2,Payment,1771732974.259057,22190,3,1
1,NewOrder,1771732974.259593,43557,13,1
1,NewOrder,1771732974.261163,43386,15,1
1,NewOrder,1771732974.262206,40203,20,1
1,NewOrder,1771732974.264950,52485,2,1
5,StockLevel,1771732974.265496,42875,16,1
1,NewOrder,1771732974.265957,40357,19,1
2,Payment,1771732974.268512,18619,5,1
1,NewOrder,1771732974.268594,37688,14,1
2,Payment,1771732974.268908,17489,11,1
