Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1772001067.011297,147238,14,1
1,NewOrder,1772001067.011299,129158,23,1
2,Payment,1772001067.011299,90500,22,1
1,NewOrder,1772001067.011304,118009,19,1
1,NewOrder,1772001067.011312,146805,3,1
2,Payment,1772001067.011340,88838,0,1
1,NewOrder,1772001067.011341,166840,2,1
2,Payment,1772001067.011362,80026,6,1
2,Payment,1772001067.011381,72811,4,1
2,Payment,1772001067.011390,63870,9,1
3,OrderStatus,1772001067.011417,48992,7,1
2,Payment,1772001067.011430,74982,20,1
2,Payment,1772001067.011491,50530,8,1
3,OrderStatus,1772001067.011501,62139,1,1
2,Payment,1772001067.011523,73982,10,1
1,NewOrder,1772001067.011528,115686,11,1
2,Payment,1772001067.011544,82132,5,1
1,NewOrder,1772001067.011567,127974,21,1
5,StockLevel,1772001067.011569,60709,12,1
2,Payment,1772001067.011641,96972,16,1
2,Payment,1772001067.011859,69728,15,1
2,Payment,1772001067.012070,87276,13,1
1,NewOrder,1772001067.012257,115036,17,1
1,NewOrder,1772001067.012473,145550,18,1
2,Payment,1772001067.060589,37879,7,1
2,Payment,1772001067.062061,43986,8,1
1,NewOrder,1772001067.072338,56946,12,1
1,NewOrder,1772001067.073707,86317,1,1
1,NewOrder,1772001067.075320,87465,9,1
2,Payment,1772001067.081657,42975,15,1
2,Payment,1772001067.084250,21326,4,1
1,NewOrder,1772001067.085529,58007,10,1
2,Payment,1772001067.086440,43195,20,1
2,Payment,1772001067.091429,19060,6,1
2,Payment,1772001067.093755,19906,5,1
1,NewOrder,1772001067.098493,42093,7,1
2,Payment,1772001067.099395,30802,13,1
2,Payment,1772001067.100210,26321,0,1
1,NewOrder,1772001067.101847,108530,22,1
2,Payment,1772001067.105602,14082,4,1
1,NewOrder,1772001067.106104,102347,8,1
1,NewOrder,1772001067.108694,77008,16,1
2,Payment,1772001067.110520,4028,6,1
1,NewOrder,1772001067.113690,99417,5,1
3,OrderStatus,1772001067.114569,17266,6,1
2,Payment,1772001067.119742,11291,4,1
1,NewOrder,1772001067.124651,126393,15,1
1,NewOrder,1772001067.126552,64243,0,1
2,Payment,1772001067.127256,14134,11,1
2,Payment,1772001067.127379,30213,17,1
1,NewOrder,1772001067.129335,55833,12,1
