Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1772000690.556168,159132,2,1
2,Payment,1772000690.556169,98082,3,1
2,Payment,1772000690.556170,76082,7,1
1,NewOrder,1772000690.556170,124946,6,1
2,Payment,1772000690.556182,78317,5,1
1,NewOrder,1772000690.556190,128901,1,1
1,NewOrder,1772000690.556235,120227,4,1
1,NewOrder,1772000690.556243,144324,0,1
1,NewOrder,1772000690.574867,106693,8,1
1,NewOrder,1772000690.574883,102138,22,1
3,OrderStatus,1772000690.574893,29780,21,1
1,NewOrder,1772000690.574913,143946,19,1
5,StockLevel,1772000690.575052,72385,20,1
1,NewOrder,1772000690.575068,140589,18,1
2,Payment,1772000690.575091,78556,17,1
1,NewOrder,1772000690.575108,125913,16,1
2,Payment,1772000690.575123,53477,15,1
2,Payment,1772000690.575131,67112,14,1
2,Payment,1772000690.575167,39041,13,1
1,NewOrder,1772000690.575177,112917,12,1
2,Payment,1772000690.575198,69046,11,1
1,NewOrder,1772000690.575206,101855,10,1
1,NewOrder,1772000690.575214,104119,9,1
1,NewOrder,1772000690.604826,87247,21,1
1,NewOrder,1772000690.614261,77311,13,1
3,OrderStatus,1772000690.628654,16660,15,1
1,NewOrder,1772000690.632322,82021,7,1
1,NewOrder,1772000690.634545,101490,5,1
2,Payment,1772000690.642284,17349,14,1
1,NewOrder,1772000690.644284,76922,11,1
1,NewOrder,1772000690.645336,68335,15,1
1,NewOrder,1772000690.647467,79561,20,1
2,Payment,1772000690.653692,18173,17,1
2,Payment,1772000690.654323,16300,3,1
1,NewOrder,1772000690.659663,72071,14,1
1,NewOrder,1772000690.670656,74664,3,1
2,Payment,1772000690.671895,19264,17,1
2,Payment,1772000690.676508,27091,4,1
1,NewOrder,1772000690.677064,42237,22,1
1,NewOrder,1772000690.677100,35320,10,1
2,Payment,1772000690.679370,35024,9,1
1,NewOrder,1772000690.681144,45904,6,1
4,Delivery,1772000690.681581,81440,8,1
1,NewOrder,1772000690.681714,44177,23,1
2,Payment,1772000690.685132,25253,1,1
