Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1771514175.782185,108675,23,1
2,Payment,1771514175.782185,59670,0,1
2,Payment,1771514175.782185,75461,3,1
1,NewOrder,1771514175.782185,143927,2,1
5,StockLevel,1771514175.782186,94087,1,1
1,NewOrder,1771514175.782195,126423,5,1
2,Payment,1771514175.782211,90873,4,1
2,Payment,1771514175.782244,58619,6,1
1,NewOrder,1771514175.782407,97829,7,1
1,NewOrder,1771514175.782622,125368,8,1
1,NewOrder,1771514175.782830,124221,10,1
2,Payment,1771514175.783050,82124,16,1
2,Payment,1771514175.783269,56887,12,1
2,Payment,1771514175.783473,85844,11,1
1,NewOrder,1771514175.783684,96512,13,1
2,Payment,1771514175.783902,74338,9,1
1,NewOrder,1771514175.784117,94757,14,1
3,OrderStatus,1771514175.784395,50603,17,1
1,NewOrder,1771514175.784548,104587,15,1
1,NewOrder,1771514175.784756,111908,18,1
3,OrderStatus,1771514175.784960,47190,19,1
2,Payment,1771514175.785177,55410,20,1
2,Payment,1771514175.785386,112414,21,1
2,Payment,1771514175.800659,64980,22,1
3,OrderStatus,1771514175.832259,4548,19,1
1,NewOrder,1771514175.835034,89342,17,1
1,NewOrder,1771514175.836830,61742,19,1
1,NewOrder,1771514175.840223,69302,12,1
2,Payment,1771514175.840614,30880,20,1
4,Delivery,1771514175.840884,24691,6,1
2,Payment,1771514175.841876,42079,0,1
5,StockLevel,1771514175.857700,43154,3,1
2,Payment,1771514175.858285,24645,9,1
2,Payment,1771514175.865209,21145,16,1
1,NewOrder,1771514175.865593,84528,6,1
1,NewOrder,1771514175.865659,73800,22,1
1,NewOrder,1771514175.869352,88858,11,1
2,Payment,1771514175.871514,29114,20,1
2,Payment,1771514175.873130,20602,4,1
2,Payment,1771514175.876300,32350,1,1
1,NewOrder,1771514175.878902,40578,14,1
1,NewOrder,1771514175.880218,39864,13,1
1,NewOrder,1771514175.880265,45088,7,1
1,NewOrder,1771514175.882949,82349,9,1
1,NewOrder,1771514175.883976,71969,0,1
2,Payment,1771514175.886369,17137,16,1
4,Delivery,1771514175.889164,93456,15,1
2,Payment,1771514175.890883,26526,23,1
2,Payment,1771514175.893748,20524,4,1
1,NewOrder,1771514175.896695,56127,18,1
2,Payment,1771514175.897822,25960,21,1
2,Payment,1771514175.898589,33510,19,1
2,Payment,1771514175.900647,26042,20,1
2,Payment,1771514175.900874,20203,3,1
1,NewOrder,1771514175.903526,62666,16,1
2,Payment,1771514175.907077,22125,10,1
2,Payment,1771514175.908018,27142,8,1
1,NewOrder,1771514175.908644,46016,5,1
1,NewOrder,1771514175.908671,70531,1,1
2,Payment,1771514175.909542,31414,12,1
2,Payment,1771514175.914307,11073,4,1
1,NewOrder,1771514175.917430,41344,23,1
4,Delivery,1771514175.919497,63512,14,1
2,Payment,1771514175.920101,30419,13,1
2,Payment,1771514175.921093,18976,3,1
2,Payment,1771514175.923797,15213,21,1
2,Payment,1771514175.924397,30653,17,1
3,OrderStatus,1771514175.925370,21635,7,1
2,Payment,1771514175.925399,22030,4,1
1,NewOrder,1771514175.926165,28506,2,1
2,Payment,1771514175.926705,9035,20,1
1,NewOrder,1771514175.929222,50463,10,1
1,NewOrder,1771514175.932117,42106,19,1
5,StockLevel,1771514175.935181,41937,8,1
1,NewOrder,1771514175.935759,76243,20,1
2,Payment,1771514175.939034,16513,21,1
1,NewOrder,1771514175.939477,34720,22,1
2,Payment,1771514175.940087,18540,3,1
2,Payment,1771514175.940976,17635,12,1
1,NewOrder,1771514175.947033,32970,7,1
1,NewOrder,1771514175.947449,99866,4,1
1,NewOrder,1771514175.950140,29631,6,1
3,OrderStatus,1771514175.950538,9858,13,1
1,NewOrder,1771514175.952843,39138,18,1
2,Payment,1771514175.954676,19062,5,1
2,Payment,1771514175.954694,34380,2,1
2,Payment,1771514175.955067,7348,17,1
1,NewOrder,1771514175.955564,68815,21,1
2,Payment,1771514175.955962,27564,0,1
2,Payment,1771514175.958226,21523,11,1
3,OrderStatus,1771514175.958628,7602,12,1
2,Payment,1771514175.958646,21916,3,1
2,Payment,1771514175.958789,12055,23,1
2,Payment,1771514175.960414,22727,13,1
2,Payment,1771514175.962434,17285,17,1
1,NewOrder,1771514175.965316,38038,9,1
1,NewOrder,1771514175.966209,43664,16,1
5,StockLevel,1771514175.966248,42909,12,1
3,OrderStatus,1771514175.970866,27019,23,1
2,Payment,1771514175.973759,19466,5,1
5,StockLevel,1771514175.974213,51368,22,1
1,NewOrder,1771514175.974239,56096,19,1
1,NewOrder,1771514175.977135,60521,8,1
1,NewOrder,1771514175.979237,36468,1,1
2,Payment,1771514175.979702,46635,10,1
1,NewOrder,1771514175.979737,24191,17,1
1,NewOrder,1771514175.979767,30576,11,1
2,Payment,1771514175.979786,68800,6,1
2,Payment,1771514175.980016,64279,7,1
1,NewOrder,1771514175.980582,65897,3,1
1,NewOrder,1771514175.982637,38473,15,1
3,OrderStatus,1771514175.983026,3402,14,1
2,Payment,1771514175.983156,21940,13,1
3,OrderStatus,1771514175.983545,5417,0,1
1,NewOrder,1771514175.986445,32260,14,1
1,NewOrder,1771514175.988982,33350,0,1
2,Payment,1771514175.989092,11914,2,1
1,NewOrder,1771514175.991999,22051,18,1
2,Payment,1771514175.993243,13451,5,1
5,StockLevel,1771514175.997905,37823,23,1
2,Payment,1771514176.001034,10497,2,1
1,NewOrder,1771514176.003376,43607,9,1
1,NewOrder,1771514176.003945,23585,17,1
2,Payment,1771514176.005115,12588,13,1
1,NewOrder,1771514176.006712,26847,5,1
3,OrderStatus,1771514176.009173,5047,12,1
2,Payment,1771514176.009892,11149,16,1
2,Payment,1771514176.010374,41736,11,1
2,Payment,1771514176.011552,9596,2,1
2,Payment,1771514176.012022,8793,20,1
