Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1770901281.434749,88889,16,1
1,NewOrder,1770901281.434750,199728,22,1
1,NewOrder,1770901281.434750,154681,17,1
1,NewOrder,1770901281.434751,228366,15,1
4,Delivery,1770901281.434757,312155,11,1
1,NewOrder,1770901281.434768,228483,18,1
5,StockLevel,1770901281.434776,150850,21,1
3,OrderStatus,1770901281.434893,80871,23,1
1,NewOrder,1770901281.435107,222697,14,1
1,NewOrder,1770901281.435314,256411,13,1
3,OrderStatus,1770901281.435526,83794,10,1
2,Payment,1770901281.435744,153767,12,1
2,Payment,1770901281.435954,158285,9,1
1,NewOrder,1770901281.436167,207959,8,1
2,Payment,1770901281.436395,94365,7,1
1,NewOrder,1770901281.436599,215183,6,1
1,NewOrder,1770901281.436857,199966,3,1
3,OrderStatus,1770901281.437026,112529,1,1
1,NewOrder,1770901281.437256,218564,0,1
2,Payment,1770901281.437469,108071,4,1
1,NewOrder,1770901281.437655,206389,5,1
1,NewOrder,1770901281.437878,185675,2,1
5,StockLevel,1770901281.438143,134336,20,1
1,NewOrder,1770901281.438364,226754,19,1
2,Payment,1770901281.515950,41077,23,1
2,Payment,1770901281.519373,117450,10,1
2,Payment,1770901281.523683,104611,16,1
1,NewOrder,1770901281.530870,106896,7,1
1,NewOrder,1770901281.545602,60692,4,1
2,Payment,1770901281.549607,54284,1,1
1,NewOrder,1770901281.557064,89838,23,1
1,NewOrder,1770901281.572533,155159,20,1
1,NewOrder,1770901281.585684,132668,21,1
5,StockLevel,1770901281.589479,57801,17,1
2,Payment,1770901281.589576,64339,12,1
1,NewOrder,1770901281.594286,107500,9,1
1,NewOrder,1770901281.603925,138661,1,1
2,Payment,1770901281.606326,35964,4,1
1,NewOrder,1770901281.623612,63424,2,1
5,StockLevel,1770901281.628325,58500,16,1
2,Payment,1770901281.634662,43947,22,1
2,Payment,1770901281.637081,24958,10,1
2,Payment,1770901281.637103,40404,3,1
2,Payment,1770901281.637800,47435,7,1
2,Payment,1770901281.642321,62007,4,1
2,Payment,1770901281.644096,148941,5,1
1,NewOrder,1770901281.644177,59561,8,1
1,NewOrder,1770901281.646937,84452,23,1
2,Payment,1770901281.647319,41151,17,1
2,Payment,1770901281.651831,68060,6,1
1,NewOrder,1770901281.653950,128139,12,1
2,Payment,1770901281.655890,177306,0,1
1,NewOrder,1770901281.657857,68660,14,1
2,Payment,1770901281.662076,81911,10,1
1,NewOrder,1770901281.663175,67390,15,1
2,Payment,1770901281.663327,60677,18,1
5,StockLevel,1770901281.665165,47157,19,1
2,Payment,1770901281.677570,43195,3,1
2,Payment,1770901281.678644,68734,22,1
1,NewOrder,1770901281.685312,69980,7,1
1,NewOrder,1770901281.686858,114878,16,1
1,NewOrder,1770901281.687080,40633,2,1
1,NewOrder,1770901281.688501,78104,17,1
1,NewOrder,1770901281.691819,64940,13,1
2,Payment,1770901281.701828,69227,9,1
5,StockLevel,1770901281.703774,44494,8,1
1,NewOrder,1770901281.704371,86386,4,1
1,NewOrder,1770901281.712358,75828,19,1
2,Payment,1770901281.718388,59572,21,1
3,OrderStatus,1770901281.719923,23833,6,1
2,Payment,1770901281.720799,36867,3,1
2,Payment,1770901281.724039,75167,18,1
2,Payment,1770901281.726552,32457,14,1
5,StockLevel,1770901281.727726,29139,20,1
1,NewOrder,1770901281.727747,65858,2,1
1,NewOrder,1770901281.730590,45906,15,1
2,Payment,1770901281.731411,145490,23,1
1,NewOrder,1770901281.742624,64024,1,1
1,NewOrder,1770901281.743788,70802,6,1
1,NewOrder,1770901281.744025,130722,10,1
2,Payment,1770901281.746973,68970,11,1
1,NewOrder,1770901281.747405,71212,22,1
2,Payment,1770901281.748303,98068,8,1
1,NewOrder,1770901281.755328,60988,7,1
2,Payment,1770901281.756794,36985,13,1
2,Payment,1770901281.756897,77858,20,1
1,NewOrder,1770901281.757691,66942,3,1
4,Delivery,1770901281.759046,112802,14,1
2,Payment,1770901281.766642,49828,17,1
4,Delivery,1770901281.771089,128163,9,1
2,Payment,1770901281.776537,89130,15,1
1,NewOrder,1770901281.777992,74939,21,1
2,Payment,1770901281.782119,57408,12,1
1,NewOrder,1770901281.788221,46855,19,1
2,Payment,1770901281.790792,61347,4,1
1,NewOrder,1770901281.793067,61959,5,1
1,NewOrder,1770901281.793639,66895,2,1
2,Payment,1770901281.793812,94965,13,1
2,Payment,1770901281.799242,54972,18,1
1,NewOrder,1770901281.801777,43082,16,1
5,StockLevel,1770901281.806717,52268,1,1
5,StockLevel,1770901281.814625,36755,6,1
2,Payment,1770901281.815989,50322,11,1
1,NewOrder,1770901281.816362,59826,7,1
2,Payment,1770901281.816496,130105,17,1
1,NewOrder,1770901281.818651,69138,22,1
1,NewOrder,1770901281.824671,50709,3,1
1,NewOrder,1770901281.833233,61227,0,1
2,Payment,1770901281.834783,61899,20,1
1,NewOrder,1770901281.835114,41842,19,1
3,OrderStatus,1770901281.839564,13419,12,1
1,NewOrder,1770901281.844900,40011,16,1
1,NewOrder,1770901281.846405,53768,8,1
1,NewOrder,1770901281.851416,59499,6,1
2,Payment,1770901281.852172,25593,4,1
2,Payment,1770901281.852965,91358,21,1
1,NewOrder,1770901281.853018,59164,12,1
2,Payment,1770901281.854248,115035,18,1
1,NewOrder,1770901281.855059,38737,5,1
3,OrderStatus,1770901281.859022,9412,1,1
1,NewOrder,1770901281.860563,42500,2,1
2,Payment,1770901281.865701,55064,15,1
2,Payment,1770901281.866342,22493,11,1
1,NewOrder,1770901281.868469,66897,1,1
1,NewOrder,1770901281.871883,78250,14,1
2,Payment,1770901281.874784,37461,10,1
1,NewOrder,1770901281.875408,63084,3,1
1,NewOrder,1770901281.876229,64100,7,1
2,Payment,1770901281.876955,42110,23,1
1,NewOrder,1770901281.876992,62527,19,1
3,OrderStatus,1770901281.877794,14794,4,1
1,NewOrder,1770901281.884945,50264,16,1
1,NewOrder,1770901281.887826,68021,22,1
1,NewOrder,1770901281.888813,82879,13,1
4,Delivery,1770901281.888872,11128,11,1
1,NewOrder,1770901281.892625,48746,4,1
2,Payment,1770901281.893831,22717,5,1
2,Payment,1770901281.894491,47559,0,1
1,NewOrder,1770901281.896716,63358,20,1
1,NewOrder,1770901281.899289,56027,9,1
