Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
5,StockLevel,1770907979.579272,315274,23,1
1,NewOrder,1770907979.579284,461977,3,1
1,NewOrder,1770907979.579309,417448,14,1
2,Payment,1770907979.579333,131593,13,1
1,NewOrder,1770907979.579347,341594,5,1
2,Payment,1770907979.579361,145713,12,1
1,NewOrder,1770907979.579382,466924,15,1
1,NewOrder,1770907979.579384,327026,6,1
2,Payment,1770907979.579434,127695,1,1
1,NewOrder,1770907979.579443,392732,0,1
2,Payment,1770907979.579472,231044,7,1
3,OrderStatus,1770907979.579509,141635,8,1
2,Payment,1770907979.579521,218036,9,1
2,Payment,1770907979.579553,207014,10,1
1,NewOrder,1770907979.579569,262295,11,1
2,Payment,1770907979.579580,188055,16,1
1,NewOrder,1770907979.579599,340601,2,1
1,NewOrder,1770907979.579609,381114,4,1
1,NewOrder,1770907979.579763,261825,17,1
2,Payment,1770907979.579957,189757,19,1
1,NewOrder,1770907979.580164,365818,20,1
1,NewOrder,1770907979.580371,310666,22,1
2,Payment,1770907979.580612,198649,18,1
2,Payment,1770907979.580799,162458,21,1
3,OrderStatus,1770907979.707426,101755,1,1
3,OrderStatus,1770907979.711025,34437,13,1
1,NewOrder,1770907979.721227,329460,8,1
2,Payment,1770907979.725242,67105,12,1
2,Payment,1770907979.743338,104847,21,1
2,Payment,1770907979.745528,96037,13,1
1,NewOrder,1770907979.767723,161309,16,1
1,NewOrder,1770907979.769790,327496,19,1
2,Payment,1770907979.779364,74332,18,1
2,Payment,1770907979.786640,72242,10,1
2,Payment,1770907979.792405,55447,12,1
1,NewOrder,1770907979.797656,171276,9,1
1,NewOrder,1770907979.809230,322658,1,1
4,Delivery,1770907979.810608,50556,7,1
2,Payment,1770907979.841624,63111,13,1
2,Payment,1770907979.841707,96259,17,1
1,NewOrder,1770907979.841935,421169,11,1
1,NewOrder,1770907979.847903,302748,12,1
2,Payment,1770907979.848238,55432,21,1
1,NewOrder,1770907979.853747,145372,18,1
1,NewOrder,1770907979.858933,345937,10,1
2,Payment,1770907979.861215,80586,7,1
1,NewOrder,1770907979.891116,149747,22,1
2,Payment,1770907979.894625,100654,23,1
2,Payment,1770907979.903718,98075,21,1
1,NewOrder,1770907979.904786,225024,13,1
2,Payment,1770907979.906506,87479,6,1
4,Delivery,1770907979.920289,247206,2,1
5,StockLevel,1770907979.921022,179050,5,1
1,NewOrder,1770907979.929084,124779,16,1
1,NewOrder,1770907979.938017,102523,17,1
1,NewOrder,1770907979.941857,315028,7,1
2,Payment,1770907979.946060,86665,20,1
2,Payment,1770907979.960804,96066,4,1
1,NewOrder,1770907979.968981,114125,9,1
1,NewOrder,1770907979.972254,134044,0,1
3,OrderStatus,1770907979.994041,37344,6,1
1,NewOrder,1770907979.995333,316091,23,1
2,Payment,1770907979.996838,84959,14,1
1,NewOrder,1770907979.999171,175480,18,1
1,NewOrder,1770907980.001845,161250,21,1
1,NewOrder,1770907980.031450,165318,6,1
2,Payment,1770907980.032798,42898,20,1
2,Payment,1770907980.040599,48036,17,1
1,NewOrder,1770907980.040910,156115,22,1
5,StockLevel,1770907980.041343,124751,3,1
2,Payment,1770907980.046396,85453,15,1
2,Payment,1770907980.050742,87332,8,1
4,Delivery,1770907980.053918,415264,16,1
1,NewOrder,1770907980.056927,172396,4,1
2,Payment,1770907980.075751,54014,20,1
2,Payment,1770907980.081854,101251,14,1
1,NewOrder,1770907980.083157,81750,9,1
1,NewOrder,1770907980.088689,146053,17,1
2,Payment,1770907980.097343,42975,19,1
1,NewOrder,1770907980.100138,114845,5,1
1,NewOrder,1770907980.106352,109911,0,1
1,NewOrder,1770907980.129821,129742,20,1
