Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1770908201.541297,150783,17,1
2,Payment,1770908201.545748,100333,16,1
2,Payment,1770908201.579377,130667,14,1
1,NewOrder,1770908201.579474,131742,12,1
1,NewOrder,1770908201.579529,135205,13,1
1,NewOrder,1770908201.579562,304913,15,1
3,OrderStatus,1770908201.579597,55811,23,1
2,Payment,1770908201.580209,76541,22,1
2,Payment,1770908201.580614,124239,11,1
1,NewOrder,1770908201.585615,119002,0,1
1,NewOrder,1770908201.590695,282083,10,1
1,NewOrder,1770908201.595689,329810,9,1
1,NewOrder,1770908201.600687,81635,2,1
1,NewOrder,1770908201.605745,222166,3,1
1,NewOrder,1770908201.610722,273973,8,1
2,Payment,1770908201.615698,117764,1,1
2,Payment,1770908201.620699,96201,5,1
2,Payment,1770908201.625705,93145,7,1
2,Payment,1770908201.630761,108782,6,1
2,Payment,1770908201.635670,38702,23,1
2,Payment,1770908201.640695,104908,21,1
4,Delivery,1770908201.645697,231073,20,1
1,NewOrder,1770908201.650702,233282,19,1
2,Payment,1770908201.655737,75460,4,1
1,NewOrder,1770908201.660683,80359,16,1
1,NewOrder,1770908201.665738,75334,22,1
2,Payment,1770908201.674477,83425,23,1
5,StockLevel,1770908201.682392,96932,2,1
2,Payment,1770908201.692142,69593,17,1
1,NewOrder,1770908201.700048,36719,18,1
1,NewOrder,1770908201.704708,35713,0,1
2,Payment,1770908201.704915,98445,11,1
2,Payment,1770908201.710107,67900,14,1
2,Payment,1770908201.711284,58716,12,1
1,NewOrder,1770908201.714798,67179,13,1
1,NewOrder,1770908201.716976,208339,5,1
1,NewOrder,1770908201.720622,116746,7,1
1,NewOrder,1770908201.731257,96705,4,1
1,NewOrder,1770908201.733534,190157,1,1
2,Payment,1770908201.736811,65788,18,1
2,Payment,1770908201.740741,64195,6,1
2,Payment,1770908201.745691,53862,0,1
3,OrderStatus,1770908201.750667,67839,16,1
5,StockLevel,1770908201.755741,79072,22,1
1,NewOrder,1770908201.760690,90672,21,1
2,Payment,1770908201.765683,47134,23,1
1,NewOrder,1770908201.770694,155888,17,1
