Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1770914332.479908,137030,0,1
1,NewOrder,1770914332.484467,189284,3,1
1,NewOrder,1770914332.489449,187308,4,1
3,OrderStatus,1770914332.515141,38935,5,1
1,NewOrder,1770914332.515183,143629,9,1
2,Payment,1770914332.515215,92132,8,1
2,Payment,1770914332.515243,51364,1,1
1,NewOrder,1770914332.515257,166013,6,1
5,StockLevel,1770914332.519363,44434,7,1
1,NewOrder,1770914332.524411,146763,2,1
1,NewOrder,1770914332.529383,187095,12,1
1,NewOrder,1770914332.534420,177885,10,1
2,Payment,1770914332.541005,137692,11,1
2,Payment,1770914332.546228,45388,13,1
2,Payment,1770914332.549849,116084,15,1
1,NewOrder,1770914332.556537,146639,14,1
2,Payment,1770914332.562590,149885,16,1
4,Delivery,1770914332.566657,83572,1,1
3,OrderStatus,1770914332.571723,32538,19,1
2,Payment,1770914332.574354,57300,20,1
2,Payment,1770914332.581447,115080,22,1
2,Payment,1770914332.584638,201793,17,1
1,NewOrder,1770914332.589346,163111,23,1
2,Payment,1770914332.594336,51041,5,1
1,NewOrder,1770914332.601541,109965,7,1
1,NewOrder,1770914332.607048,154813,18,1
2,Payment,1770914332.610304,134144,13,1
1,NewOrder,1770914332.617039,136475,19,1
2,Payment,1770914332.619843,85065,8,1
1,NewOrder,1770914332.625886,63178,0,1
2,Payment,1770914332.631735,92970,20,1
2,Payment,1770914332.636724,116821,21,1
1,NewOrder,1770914332.645408,113317,5,1
4,Delivery,1770914332.650268,70317,1,1
1,NewOrder,1770914332.658867,55168,9,1
5,StockLevel,1770914332.665980,63466,15,1
2,Payment,1770914332.671218,46291,2,1
5,StockLevel,1770914332.673801,47651,3,1
1,NewOrder,1770914332.676810,73118,4,1
1,NewOrder,1770914332.678754,102335,11,1
2,Payment,1770914332.681334,61113,6,1
2,Payment,1770914332.689097,68866,0,1
2,Payment,1770914332.696581,92797,22,1
1,NewOrder,1770914332.703224,50950,14,1
1,NewOrder,1770914332.704943,76766,8,1
1,NewOrder,1770914332.711539,68058,7,1
1,NewOrder,1770914332.712353,52781,10,1
2,Payment,1770914332.714380,111638,16,1
5,StockLevel,1770914332.719474,56949,9,1
2,Payment,1770914332.724462,94214,12,1
1,NewOrder,1770914332.729363,57798,2,1
2,Payment,1770914332.734359,51913,1,1
1,NewOrder,1770914332.739408,61755,3,1
4,Delivery,1770914332.744415,65611,20,1
2,Payment,1770914332.749376,46874,15,1
1,NewOrder,1770914332.754404,30614,6,1
1,NewOrder,1770914332.759352,57961,13,1
2,Payment,1770914332.764415,38465,4,1
1,NewOrder,1770914332.769425,25612,23,1
2,Payment,1770914332.774415,27720,19,1
1,NewOrder,1770914332.779466,23957,21,1
2,Payment,1770914332.784421,21046,14,1
2,Payment,1770914332.789407,22024,22,1
2,Payment,1770914332.794388,19939,5,1
2,Payment,1770914332.799465,21541,18,1
2,Payment,1770914332.804411,13726,10,1
1,NewOrder,1770914332.809395,20767,9,1
2,Payment,1770914332.814464,12234,7,1
2,Payment,1770914332.819461,11990,11,1
1,NewOrder,1770914332.824416,9629,8,1
2,Payment,1770914332.829393,6262,6,1
2,Payment,1770914332.834423,4776,1,1
5,StockLevel,1770914332.839461,11390,17,1
1,NewOrder,1770914332.844466,6884,2,1
4,Delivery,1770914332.849431,4753,0,1
2,Payment,1770914332.854472,5244,23,1
2,Payment,1770914332.859410,4511,15,1
1,NewOrder,1770914332.864468,8992,3,1
2,Payment,1770914332.869427,4427,19,1
1,NewOrder,1770914332.874468,8178,4,1
2,Payment,1770914332.879483,5047,21,1
1,NewOrder,1770914332.884466,6116,14,1
2,Payment,1770914332.889474,4746,20,1
1,NewOrder,1770914332.894470,15264,22,1
1,NewOrder,1770914332.899472,6075,5,1
2,Payment,1770914332.904413,3737,13,1
2,Payment,1770914332.909473,3475,10,1
2,Payment,1770914332.914501,3192,12,1
2,Payment,1770914332.919473,5965,18,1
1,NewOrder,1770914332.924467,16690,16,1
1,NewOrder,1770914332.929468,13781,7,1
1,NewOrder,1770914332.934465,14917,9,1
1,NewOrder,1770914332.939487,10796,11,1
1,NewOrder,1770914332.944417,9663,8,1
2,Payment,1770914332.949416,5672,9,1
2,Payment,1770914332.954467,3612,1,1
2,Payment,1770914332.959469,4231,17,1
1,NewOrder,1770914332.964422,7377,2,1
2,Payment,1770914332.969450,3284,0,1
2,Payment,1770914332.974511,3413,23,1
1,NewOrder,1770914332.979413,14300,15,1
1,NewOrder,1770914332.984471,13968,3,1
2,Payment,1770914332.989470,4661,19,1
2,Payment,1770914332.994412,3347,4,1
2,Payment,1770914332.999469,3389,21,1
2,Payment,1770914333.004465,4189,14,1
2,Payment,1770914333.009469,5817,20,1
1,NewOrder,1770914333.014473,8779,5,1
1,NewOrder,1770914333.019474,5794,13,1
2,Payment,1770914333.024413,6664,22,1
2,Payment,1770914333.029472,4488,10,1
3,OrderStatus,1770914333.034473,2937,12,1
2,Payment,1770914333.039470,4448,18,1
2,Payment,1770914333.044463,3422,16,1
1,NewOrder,1770914333.049467,21855,7,1
1,NewOrder,1770914333.054374,54484,6,1
2,Payment,1770914333.059358,12398,11,1
1,NewOrder,1770914333.064360,76194,8,1
1,NewOrder,1770914333.069420,50061,9,1
2,Payment,1770914333.074450,27851,1,1
2,Payment,1770914333.079508,24740,17,1
1,NewOrder,1770914333.086798,45771,2,1
1,NewOrder,1770914333.090638,47625,0,1
2,Payment,1770914333.096123,21375,23,1
2,Payment,1770914333.099829,19068,15,1
2,Payment,1770914333.104421,27928,19,1
2,Payment,1770914333.109544,16239,4,1
2,Payment,1770914333.114388,26785,3,1
2,Payment,1770914333.119386,34338,21,1
5,StockLevel,1770914333.124359,13819,14,1
1,NewOrder,1770914333.129444,58729,20,1
1,NewOrder,1770914333.136031,55597,5,1
2,Payment,1770914333.140333,24444,13,1
2,Payment,1770914333.145721,27445,22,1
1,NewOrder,1770914333.149345,43302,10,1
1,NewOrder,1770914333.154530,35801,12,1
2,Payment,1770914333.159335,25773,18,1
3,OrderStatus,1770914333.164626,14320,16,1
2,Payment,1770914333.170272,5983,7,1
2,Payment,1770914333.174401,10173,11,1
4,Delivery,1770914333.179459,17573,1,1
1,NewOrder,1770914333.184417,15063,17,1
4,Delivery,1770914333.189440,6744,6,1
2,Payment,1770914333.194428,5347,23,1
2,Payment,1770914333.199410,3347,15,1
1,NewOrder,1770914333.204464,6928,9,1
5,StockLevel,1770914333.209389,8710,4,1
2,Payment,1770914333.214437,3434,19,1
1,NewOrder,1770914333.219466,6235,2,1
2,Payment,1770914333.224472,5211,14,1
2,Payment,1770914333.229412,3169,0,1
2,Payment,1770914333.234487,3271,8,1
2,Payment,1770914333.239536,4925,3,1
1,NewOrder,1770914333.244517,5196,3,1
1,NewOrder,1770914333.249432,5337,13,1
1,NewOrder,1770914333.254466,5266,22,1
1,NewOrder,1770914333.259460,7512,7,1
2,Payment,1770914333.264463,3157,16,1
2,Payment,1770914333.269464,4828,11,1
1,NewOrder,1770914333.274482,11745,18,1
1,NewOrder,1770914333.279463,6355,20,1
1,NewOrder,1770914333.284468,6331,12,1
1,NewOrder,1770914333.289420,13279,5,1
2,Payment,1770914333.294535,4461,10,1
3,OrderStatus,1770914333.299419,2503,6,1
1,NewOrder,1770914333.304532,17777,1,1
4,Delivery,1770914333.309434,29407,17,1
1,NewOrder,1770914333.314467,8236,23,1
4,Delivery,1770914333.319450,19917,15,1
1,NewOrder,1770914333.324464,7761,9,1
1,NewOrder,1770914333.329419,7103,19,1
2,Payment,1770914333.334420,5081,4,1
2,Payment,1770914333.339397,3855,15,1
1,NewOrder,1770914333.344464,9980,14,1
2,Payment,1770914333.349414,3229,0,1
2,Payment,1770914333.354467,3399,8,1
1,NewOrder,1770914333.359468,7531,21,1
2,Payment,1770914333.364470,4763,3,1
3,OrderStatus,1770914333.369410,3147,13,1
1,NewOrder,1770914333.374464,7388,22,1
2,Payment,1770914333.379465,5375,7,1
1,NewOrder,1770914333.384459,4706,16,1
2,Payment,1770914333.389463,5389,11,1
1,NewOrder,1770914333.394472,6316,20,1
1,NewOrder,1770914333.399464,8200,18,1
1,NewOrder,1770914333.404464,5038,12,1
1,NewOrder,1770914333.409411,4856,10,1
2,Payment,1770914333.414466,3153,6,1
1,NewOrder,1770914333.419470,12440,5,1
1,NewOrder,1770914333.424462,10605,1,1
2,Payment,1770914333.429463,4998,23,1
2,Payment,1770914333.434473,5182,9,1
1,NewOrder,1770914333.439409,5863,19,1
2,Payment,1770914333.444465,4601,17,1
1,NewOrder,1770914333.449408,4826,2,1
1,NewOrder,1770914333.454468,4595,4,1
1,NewOrder,1770914333.459467,12368,15,1
2,Payment,1770914333.464467,4200,0,1
1,NewOrder,1770914333.469413,5421,14,1
