Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1770910055.681117,20080,1,1
2,Payment,1770910055.685793,59136,5,1
2,Payment,1770910055.690830,65762,3,1
1,NewOrder,1770910055.695843,62830,0,1
1,NewOrder,1770910055.700790,51282,2,1
4,Delivery,1770910055.722448,45008,4,1
2,Payment,1770910055.722470,15799,6,1
2,Payment,1770910055.722486,22996,7,1
2,Payment,1770910055.722494,32229,8,1
2,Payment,1770910055.725809,37724,9,1
4,Delivery,1770910055.730774,37783,10,1
1,NewOrder,1770910055.735776,32477,11,1
2,Payment,1770910055.740730,10198,12,1
4,Delivery,1770910055.745742,18259,13,1
4,Delivery,1770910055.750816,13855,14,1
2,Payment,1770910055.756107,12000,15,1
1,NewOrder,1770910055.760737,14654,16,1
1,NewOrder,1770910055.765724,14337,22,1
2,Payment,1770910055.770826,7928,17,1
1,NewOrder,1770910055.775785,15057,23,1
1,NewOrder,1770910055.780828,13752,18,1
1,NewOrder,1770910055.785795,15867,19,1
1,NewOrder,1770910055.790836,17306,20,1
1,NewOrder,1770910055.795835,12580,21,1
1,NewOrder,1770910055.800855,13748,1,1
2,Payment,1770910055.805745,4556,6,1
3,OrderStatus,1770910055.810784,5720,5,1
5,StockLevel,1770910055.815835,4537,7,1
2,Payment,1770910055.820912,4013,12,1
1,NewOrder,1770910055.825870,9418,2,1
1,NewOrder,1770910055.830917,14323,8,1
1,NewOrder,1770910055.835836,15598,3,1
1,NewOrder,1770910055.840827,6947,0,1
4,Delivery,1770910055.845778,16131,9,1
1,NewOrder,1770910055.850843,12308,13,1
1,NewOrder,1770910055.855835,12694,14,1
1,NewOrder,1770910055.860810,11021,4,1
1,NewOrder,1770910055.865739,10260,15,1
2,Payment,1770910055.870781,4454,11,1
1,NewOrder,1770910055.875826,12417,10,1
2,Payment,1770910055.880890,4158,16,1
2,Payment,1770910055.885794,2776,17,1
2,Payment,1770910055.890829,4286,22,1
1,NewOrder,1770910055.895833,7135,23,1
1,NewOrder,1770910055.900831,5651,18,1
2,Payment,1770910055.905794,5539,19,1
1,NewOrder,1770910055.910836,8039,20,1
2,Payment,1770910055.915839,2536,21,1
1,NewOrder,1770910055.920840,9868,6,1
3,OrderStatus,1770910055.925844,3065,1,1
2,Payment,1770910055.930789,3787,5,1
1,NewOrder,1770910055.935847,13050,7,1
4,Delivery,1770910055.940879,3283,12,1
1,NewOrder,1770910055.945814,6223,2,1
1,NewOrder,1770910055.950840,6533,8,1
3,OrderStatus,1770910055.955846,3605,0,1
1,NewOrder,1770910055.960848,3970,3,1
1,NewOrder,1770910055.965808,13782,9,1
1,NewOrder,1770910055.970839,6265,13,1
2,Payment,1770910055.975809,6957,14,1
1,NewOrder,1770910055.980844,6747,4,1
2,Payment,1770910055.985852,3086,11,1
2,Payment,1770910055.990845,2825,15,1
5,StockLevel,1770910055.995891,3810,16,1
3,OrderStatus,1770910056.000853,4305,10,1
2,Payment,1770910056.005808,3104,17,1
1,NewOrder,1770910056.010850,8271,22,1
2,Payment,1770910056.015858,5523,23,1
2,Payment,1770910056.020845,3828,18,1
2,Payment,1770910056.025857,4076,19,1
1,NewOrder,1770910056.030850,7811,21,1
1,NewOrder,1770910056.035833,5062,20,1
1,NewOrder,1770910056.040846,6945,1,1
1,NewOrder,1770910056.045844,6977,6,1
2,Payment,1770910056.050802,3707,5,1
2,Payment,1770910056.055919,5136,12,1
1,NewOrder,1770910056.060912,6838,7,1
1,NewOrder,1770910056.065798,7178,2,1
1,NewOrder,1770910056.070908,5803,8,1
1,NewOrder,1770910056.075837,6453,0,1
2,Payment,1770910056.080844,3886,3,1
