Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1771735489.405332,93016,10,1
2,Payment,1771735489.409829,46080,0,1
2,Payment,1771735489.438969,38699,5,1
2,Payment,1771735489.438977,24993,6,1
1,NewOrder,1771735489.438998,65759,4,1
1,NewOrder,1771735489.439019,65977,3,1
1,NewOrder,1771735489.439407,69899,7,1
1,NewOrder,1771735489.439833,40671,8,1
1,NewOrder,1771735489.444718,35031,1,1
2,Payment,1771735489.449748,39978,9,1
1,NewOrder,1771735489.454807,39076,12,1
1,NewOrder,1771735489.459785,43607,11,1
1,NewOrder,1771735489.464781,31042,2,1
1,NewOrder,1771735489.469769,27848,13,1
2,Payment,1771735489.474803,14852,16,1
1,NewOrder,1771735489.479772,29232,14,1
2,Payment,1771735489.484769,5238,18,1
1,NewOrder,1771735489.489788,25626,17,1
2,Payment,1771735489.494792,8071,19,1
2,Payment,1771735489.499825,6244,15,1
1,NewOrder,1771735489.504815,14832,4,1
2,Payment,1771735489.509805,6756,20,1
1,NewOrder,1771735489.514901,16644,23,1
2,Payment,1771735489.519930,4146,0,1
1,NewOrder,1771735489.524855,15080,6,1
2,Payment,1771735489.529806,4042,5,1
1,NewOrder,1771735489.534875,6114,1,1
1,NewOrder,1771735489.539854,9037,8,1
2,Payment,1771735489.544838,4584,16,1
1,NewOrder,1771735489.549819,14422,9,1
1,NewOrder,1771735489.554850,14244,18,1
4,Delivery,1771735489.559836,4632,12,1
2,Payment,1771735489.564841,4656,2,1
1,NewOrder,1771735489.569792,9111,13,1
2,Payment,1771735489.574930,5360,10,1
2,Payment,1771735489.579918,3381,19,1
1,NewOrder,1771735489.584913,6092,11,1
2,Payment,1771735489.589844,6159,21,1
1,NewOrder,1771735489.594923,5825,3,1
2,Payment,1771735489.599912,4227,15,1
2,Payment,1771735489.604910,3366,14,1
1,NewOrder,1771735489.609868,6047,7,1
1,NewOrder,1771735489.614910,6593,22,1
1,NewOrder,1771735489.619908,5980,17,1
2,Payment,1771735489.624846,3227,20,1
5,StockLevel,1771735489.629844,4384,4,1
2,Payment,1771735489.634927,3201,0,1
5,StockLevel,1771735489.639920,3773,23,1
2,Payment,1771735489.644841,6697,5,1
2,Payment,1771735489.649918,3365,6,1
3,OrderStatus,1771735489.654917,8672,1,1
1,NewOrder,1771735489.659845,7037,8,1
1,NewOrder,1771735489.664916,12338,16,1
2,Payment,1771735489.669865,5786,9,1
1,NewOrder,1771735489.674854,6214,12,1
2,Payment,1771735489.679920,4111,18,1
2,Payment,1771735489.684834,2246,2,1
1,NewOrder,1771735489.689827,3675,13,1
1,NewOrder,1771735489.694917,5704,10,1
1,NewOrder,1771735489.699916,8929,19,1
2,Payment,1771735489.704914,4783,11,1
1,NewOrder,1771735489.709862,12381,21,1
1,NewOrder,1771735489.714916,7090,3,1
2,Payment,1771735489.719866,3285,15,1
1,NewOrder,1771735489.724922,6278,14,1
1,NewOrder,1771735489.729872,8693,7,1
3,OrderStatus,1771735489.734915,4157,22,1
1,NewOrder,1771735489.739920,4925,17,1
2,Payment,1771735489.744888,3843,17,1
1,NewOrder,1771735489.749881,7723,4,1
2,Payment,1771735489.754913,5361,0,1
3,OrderStatus,1771735489.759913,4434,23,1
1,NewOrder,1771735489.764842,9721,5,1
2,Payment,1771735489.769917,3712,6,1
2,Payment,1771735489.774916,7736,1,1
2,Payment,1771735489.779856,6676,8,1
5,StockLevel,1771735489.784916,3785,9,1
5,StockLevel,1771735489.789869,3885,16,1
1,NewOrder,1771735489.794915,5501,12,1
2,Payment,1771735489.799920,3806,18,1
2,Payment,1771735489.804885,2126,2,1
1,NewOrder,1771735489.809834,4128,13,1
1,NewOrder,1771735489.814912,6292,10,1
2,Payment,1771735489.819917,3258,19,1
1,NewOrder,1771735489.824919,7234,11,1
5,StockLevel,1771735489.829872,3807,3,1
4,Delivery,1771735489.834920,14372,21,1
1,NewOrder,1771735489.839914,11002,15,1
2,Payment,1771735489.844917,4132,14,1
2,Payment,1771735489.849921,4434,7,1
2,Payment,1771735489.854914,3610,22,1
1,NewOrder,1771735489.859846,10035,20,1
2,Payment,1771735489.864951,3227,17,1
4,Delivery,1771735489.869864,15246,4,1
2,Payment,1771735489.874920,3393,0,1
4,Delivery,1771735489.879940,18292,23,1
1,NewOrder,1771735489.884860,5115,6,1
2,Payment,1771735489.889875,3318,5,1
1,NewOrder,1771735489.894965,7557,1,1
1,NewOrder,1771735489.899975,4419,8,1
1,NewOrder,1771735489.904846,5108,9,1
1,NewOrder,1771735489.909855,6400,16,1
1,NewOrder,1771735489.914917,4671,12,1
1,NewOrder,1771735489.919920,5341,18,1
2,Payment,1771735489.924855,2662,2,1
2,Payment,1771735489.929930,3971,13,1
1,NewOrder,1771735489.934913,4716,10,1
1,NewOrder,1771735489.939911,6741,19,1
2,Payment,1771735489.944911,3197,11,1
1,NewOrder,1771735489.949917,5805,3,1
5,StockLevel,1771735489.954916,3681,14,1
1,NewOrder,1771735489.959917,4849,21,1
2,Payment,1771735489.964926,2780,15,1
2,Payment,1771735489.969870,3462,7,1
1,NewOrder,1771735489.974843,4945,22,1
1,NewOrder,1771735489.979828,4924,22,1
2,Payment,1771735489.984923,3632,20,1
2,Payment,1771735489.989845,2704,0,1
2,Payment,1771735489.994910,5824,4,1
1,NewOrder,1771735489.999945,4466,6,1
1,NewOrder,1771735490.004942,5151,5,1
1,NewOrder,1771735490.009912,4764,23,1
1,NewOrder,1771735490.014928,6978,1,1
2,Payment,1771735490.019910,2910,8,1
1,NewOrder,1771735490.024907,4389,9,1
1,NewOrder,1771735490.029841,5312,16,1
