Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1770909453.991899,108509,15,1
2,Payment,1770909453.996440,106599,18,1
2,Payment,1770909454.028096,35645,19,1
1,NewOrder,1770909454.028122,74125,17,1
2,Payment,1770909454.028154,45515,22,1
2,Payment,1770909454.028181,45302,16,1
1,NewOrder,1770909454.028276,73445,21,1
2,Payment,1770909454.028280,84955,20,1
1,NewOrder,1770909454.031234,61193,23,1
1,NewOrder,1770909454.036428,72648,11,1
2,Payment,1770909454.041354,35728,10,1
1,NewOrder,1770909454.046351,45159,9,1
1,NewOrder,1770909454.051271,51136,8,1
3,OrderStatus,1770909454.056357,23323,6,1
1,NewOrder,1770909454.061323,41284,3,1
2,Payment,1770909454.066358,36466,7,1
1,NewOrder,1770909454.071374,56570,4,1
1,NewOrder,1770909454.076317,51388,0,1
2,Payment,1770909454.081308,23766,1,1
1,NewOrder,1770909454.086265,39076,5,1
1,NewOrder,1770909454.091310,37859,2,1
1,NewOrder,1770909454.096298,30420,12,1
1,NewOrder,1770909454.101272,28830,14,1
2,Payment,1770909454.106265,18766,19,1
1,NewOrder,1770909454.111319,26240,16,1
1,NewOrder,1770909454.116336,15309,22,1
1,NewOrder,1770909454.121359,16295,10,1
2,Payment,1770909454.126311,5844,6,1
2,Payment,1770909454.131370,6603,9,1
1,NewOrder,1770909454.136420,10554,23,1
2,Payment,1770909454.141423,4959,15,1
1,NewOrder,1770909454.146321,15283,21,1
1,NewOrder,1770909454.151354,12688,17,1
1,NewOrder,1770909454.156360,8349,8,1
1,NewOrder,1770909454.161433,10219,3,1
2,Payment,1770909454.166378,5049,7,1
2,Payment,1770909454.171430,32163,18,1
2,Payment,1770909454.176371,5656,1,1
2,Payment,1770909454.181363,22668,11,1
2,Payment,1770909454.186323,22647,20,1
1,NewOrder,1770909454.191428,15150,13,1
2,Payment,1770909454.196359,17471,19,1
2,Payment,1770909454.201368,6603,5,1
1,NewOrder,1770909454.206376,10237,12,1
2,Payment,1770909454.211394,4699,0,1
1,NewOrder,1770909454.216434,9978,4,1
2,Payment,1770909454.221426,5575,2,1
3,OrderStatus,1770909454.226384,4173,14,1
2,Payment,1770909454.231418,7155,22,1
4,Delivery,1770909454.236418,4154,6,1
2,Payment,1770909454.241428,5339,16,1
1,NewOrder,1770909454.246391,13598,10,1
1,NewOrder,1770909454.251429,12133,9,1
1,NewOrder,1770909454.256430,19469,15,1
2,Payment,1770909454.261425,6051,23,1
1,NewOrder,1770909454.266372,8230,21,1
4,Delivery,1770909454.271371,29303,17,1
1,NewOrder,1770909454.276393,7720,8,1
2,Payment,1770909454.281382,4446,7,1
2,Payment,1770909454.286369,5817,3,1
1,NewOrder,1770909454.291429,12635,1,1
2,Payment,1770909454.296431,3907,18,1
1,NewOrder,1770909454.301437,7826,11,1
4,Delivery,1770909454.306388,8844,13,1
2,Payment,1770909454.311384,3570,5,1
1,NewOrder,1770909454.316441,12370,20,1
1,NewOrder,1770909454.321353,14719,19,1
1,NewOrder,1770909454.326395,6322,0,1
2,Payment,1770909454.331434,4279,12,1
2,Payment,1770909454.336433,5679,4,1
1,NewOrder,1770909454.341444,8098,2,1
2,Payment,1770909454.346391,7057,14,1
2,Payment,1770909454.351435,4845,22,1
1,NewOrder,1770909454.356357,8565,22,1
2,Payment,1770909454.361449,6011,16,1
2,Payment,1770909454.366443,4461,10,1
1,NewOrder,1770909454.371398,10004,9,1
2,Payment,1770909454.376445,5881,23,1
2,Payment,1770909454.381445,5852,21,1
1,NewOrder,1770909454.386431,11079,15,1
4,Delivery,1770909454.391450,14399,8,1
2,Payment,1770909454.396403,2903,7,1
2,Payment,1770909454.401433,4133,3,1
1,NewOrder,1770909454.406434,13693,18,1
2,Payment,1770909454.411433,5559,17,1
1,NewOrder,1770909454.416436,7572,1,1
1,NewOrder,1770909454.421431,8278,11,1
2,Payment,1770909454.426383,3640,5,1
1,NewOrder,1770909454.431424,10155,13,1
1,NewOrder,1770909454.436425,6174,20,1
1,NewOrder,1770909454.441359,9783,0,1
2,Payment,1770909454.446382,3647,12,1
4,Delivery,1770909454.451421,10969,19,1
2,Payment,1770909454.456427,5460,4,1
2,Payment,1770909454.461438,4245,2,1
2,Payment,1770909454.466391,4876,14,1
1,NewOrder,1770909454.471317,7623,14,1
1,NewOrder,1770909454.476351,7575,22,1
1,NewOrder,1770909454.481385,5678,16,1
2,Payment,1770909454.486374,5065,10,1
1,NewOrder,1770909454.491419,7178,9,1
2,Payment,1770909454.496426,4027,23,1
2,Payment,1770909454.501441,4515,21,1
4,Delivery,1770909454.506380,16525,15,1
2,Payment,1770909454.511365,5037,7,1
2,Payment,1770909454.516372,2863,3,1
2,Payment,1770909454.521424,3809,8,1
4,Delivery,1770909454.526377,13831,17,1
5,StockLevel,1770909454.531423,4137,18,1
2,Payment,1770909454.536422,4095,1,1
1,NewOrder,1770909454.541421,5413,11,1
5,StockLevel,1770909454.546399,8710,5,1
1,NewOrder,1770909454.551434,8408,13,1
2,Payment,1770909454.556420,5873,20,1
1,NewOrder,1770909454.561427,8289,12,1
1,NewOrder,1770909454.566430,11067,0,1
2,Payment,1770909454.571424,2854,4,1
2,Payment,1770909454.576423,3118,19,1
5,StockLevel,1770909454.581426,5454,2,1
1,NewOrder,1770909454.586452,17173,6,1
2,Payment,1770909454.591458,3723,14,1
2,Payment,1770909454.596432,3689,22,1
2,Payment,1770909454.601423,3748,16,1
1,NewOrder,1770909454.606427,9955,10,1
1,NewOrder,1770909454.611422,8610,9,1
2,Payment,1770909454.616426,3985,23,1
2,Payment,1770909454.621492,3851,21,1
2,Payment,1770909454.626464,4654,7,1
2,Payment,1770909454.631455,3342,3,1
1,NewOrder,1770909454.636448,7579,15,1
2,Payment,1770909454.641458,7405,8,1
1,NewOrder,1770909454.646436,6036,18,1
1,NewOrder,1770909454.651838,9739,17,1
1,NewOrder,1770909454.656433,8778,1,1
2,Payment,1770909454.661431,5211,11,1
1,NewOrder,1770909454.666357,6009,5,1
1,NewOrder,1770909454.671433,7720,13,1
1,NewOrder,1770909454.676428,7946,20,1
1,NewOrder,1770909454.681427,6361,12,1
2,Payment,1770909454.686357,3685,4,1
2,Payment,1770909454.691430,3406,0,1
2,Payment,1770909454.696427,4769,19,1
3,OrderStatus,1770909454.701434,4581,2,1
2,Payment,1770909454.706380,4778,14,1
1,NewOrder,1770909454.711430,9152,22,1
2,Payment,1770909454.716428,5191,6,1
2,Payment,1770909454.721430,3897,16,1
2,Payment,1770909454.726430,3916,10,1
1,NewOrder,1770909454.731425,7684,9,1
2,Payment,1770909454.736437,3146,23,1
2,Payment,1770909454.741431,4147,21,1
2,Payment,1770909454.746425,4875,7,1
2,Payment,1770909454.751343,3397,7,1
1,NewOrder,1770909454.756349,7723,15,1
2,Payment,1770909454.761423,5874,8,1
1,NewOrder,1770909454.766420,6118,18,1
2,Payment,1770909454.771418,3862,17,1
1,NewOrder,1770909454.776419,5538,1,1
5,StockLevel,1770909454.781421,8357,11,1
2,Payment,1770909454.786425,3515,5,1
1,NewOrder,1770909454.791429,12069,13,1
3,OrderStatus,1770909454.796422,5059,20,1
2,Payment,1770909454.801426,7126,12,1
2,Payment,1770909454.806419,4356,4,1
1,NewOrder,1770909454.811431,7154,0,1
2,Payment,1770909454.816425,4676,19,1
2,Payment,1770909454.821431,4455,2,1
1,NewOrder,1770909454.826446,11676,14,1
2,Payment,1770909454.831436,6317,22,1
2,Payment,1770909454.836453,4910,6,1
1,NewOrder,1770909454.841412,7525,6,1
2,Payment,1770909454.846432,4935,10,1
2,Payment,1770909454.851610,11896,10,1
2,Payment,1770909454.857127,5107,23,1
2,Payment,1770909454.861488,5264,21,1
2,Payment,1770909454.866424,4600,3,1
2,Payment,1770909454.871478,5983,7,1
4,Delivery,1770909454.876443,17288,15,1
1,NewOrder,1770909454.881483,9614,8,1
2,Payment,1770909454.886436,4443,18,1
1,NewOrder,1770909454.891393,8343,17,1
2,Payment,1770909454.896491,4889,1,1
1,NewOrder,1770909454.901429,6360,1,1
2,Payment,1770909454.906428,4446,5,1
2,Payment,1770909454.911470,4080,20,1
2,Payment,1770909454.916488,5877,13,1
1,NewOrder,1770909454.921476,7329,12,1
1,NewOrder,1770909454.926468,14231,4,1
1,NewOrder,1770909454.931482,9709,0,1
1,NewOrder,1770909454.936467,9154,19,1
2,Payment,1770909454.941484,4365,2,1
1,NewOrder,1770909454.946387,8624,22,1
2,Payment,1770909454.951480,4478,14,1
1,NewOrder,1770909454.956466,6770,16,1
2,Payment,1770909454.961467,3625,6,1
1,NewOrder,1770909454.966394,5239,9,1
1,NewOrder,1770909454.971432,9180,23,1
1,NewOrder,1770909454.976432,7941,10,1
1,NewOrder,1770909454.981447,9050,21,1
2,Payment,1770909454.986384,3112,3,1
1,NewOrder,1770909454.991433,14070,7,1
1,NewOrder,1770909454.996421,8430,18,1
1,NewOrder,1770909455.001438,5471,8,1
1,NewOrder,1770909455.006443,8501,15,1
2,Payment,1770909455.011524,4884,17,1
1,NewOrder,1770909455.016435,4975,11,1
2,Payment,1770909455.021423,3314,1,1
1,NewOrder,1770909455.026382,9883,5,1
1,NewOrder,1770909455.031420,10196,20,1
2,Payment,1770909455.036337,3692,5,1
2,Payment,1770909455.041427,3576,12,1
1,NewOrder,1770909455.046384,4807,4,1
4,Delivery,1770909455.051423,3843,0,1
5,StockLevel,1770909455.056433,5402,19,1
1,NewOrder,1770909455.061441,8622,2,1
3,OrderStatus,1770909455.066353,3416,22,1
2,Payment,1770909455.071434,3045,14,1
1,NewOrder,1770909455.076430,10496,16,1
1,NewOrder,1770909455.081420,6212,6,1
1,NewOrder,1770909455.086409,8077,9,1
1,NewOrder,1770909455.091430,6674,23,1
1,NewOrder,1770909455.096428,6487,10,1
3,OrderStatus,1770909455.101433,3255,3,1
2,Payment,1770909455.106429,4004,21,1
1,NewOrder,1770909455.111423,7978,18,1
1,NewOrder,1770909455.116433,7065,7,1
2,Payment,1770909455.121431,2591,8,1
1,NewOrder,1770909455.126431,6603,15,1
1,NewOrder,1770909455.131430,11920,17,1
1,NewOrder,1770909455.136426,8813,11,1
2,Payment,1770909455.141425,4623,1,1
5,StockLevel,1770909455.146437,5370,13,1
2,Payment,1770909455.151424,4194,5,1
2,Payment,1770909455.156423,5150,20,1
2,Payment,1770909455.161427,5072,12,1
2,Payment,1770909455.166376,4750,4,1
2,Payment,1770909455.171424,4996,0,1
2,Payment,1770909455.176430,5154,19,1
1,NewOrder,1770909455.181417,8255,22,1
2,Payment,1770909455.186376,6388,2,1
1,NewOrder,1770909455.191434,5481,14,1
1,NewOrder,1770909455.196416,5022,16,1
1,NewOrder,1770909455.201420,6902,6,1
2,Payment,1770909455.206419,2677,9,1
1,NewOrder,1770909455.211419,9697,23,1
1,NewOrder,1770909455.216420,7993,10,1
2,Payment,1770909455.221418,3274,3,1
1,NewOrder,1770909455.226421,8133,21,1
1,NewOrder,1770909455.231415,7317,18,1
1,NewOrder,1770909455.236424,12016,7,1
2,Payment,1770909455.241420,2577,8,1
1,NewOrder,1770909455.246420,6245,15,1
2,Payment,1770909455.251451,3133,17,1
2,Payment,1770909455.256424,4217,11,1
1,NewOrder,1770909455.261485,7891,1,1
2,Payment,1770909455.266555,6338,13,1
2,Payment,1770909455.271418,3488,5,1
1,NewOrder,1770909455.276412,6188,20,1
2,Payment,1770909455.281418,3561,12,1
2,Payment,1770909455.286438,4459,4,1
3,OrderStatus,1770909455.291484,4034,0,1
1,NewOrder,1770909455.296475,9631,19,1
3,OrderStatus,1770909455.301413,3624,22,1
4,Delivery,1770909455.306342,14345,2,1
1,NewOrder,1770909455.311413,12321,14,1
2,Payment,1770909455.316418,4644,16,1
2,Payment,1770909455.321417,4226,6,1
1,NewOrder,1770909455.326416,8059,9,1
2,Payment,1770909455.331410,3539,23,1
1,NewOrder,1770909455.336417,7384,10,1
2,Payment,1770909455.341419,4050,3,1
1,NewOrder,1770909455.346418,11657,21,1
1,NewOrder,1770909455.351415,7720,18,1
1,NewOrder,1770909455.356417,7661,8,1
1,NewOrder,1770909455.361414,6432,7,1
4,Delivery,1770909455.366423,7820,15,1
2,Payment,1770909455.371433,4005,17,1
1,NewOrder,1770909455.376424,7065,11,1
2,Payment,1770909455.381421,2663,1,1
1,NewOrder,1770909455.386422,6521,13,1
1,NewOrder,1770909455.391420,10311,5,1
1,NewOrder,1770909455.396417,4171,20,1
2,Payment,1770909455.401415,2804,12,1
1,NewOrder,1770909455.406409,6282,4,1
1,NewOrder,1770909455.411412,9373,0,1
2,Payment,1770909455.416410,3706,22,1
1,NewOrder,1770909455.421417,7206,19,1
1,NewOrder,1770909455.426413,8177,2,1
2,Payment,1770909455.431416,2601,16,1
2,Payment,1770909455.436416,3256,14,1
1,NewOrder,1770909455.441418,12429,6,1
1,NewOrder,1770909455.446417,9672,9,1
1,NewOrder,1770909455.451418,6340,23,1
5,StockLevel,1770909455.456417,5163,10,1
2,Payment,1770909455.461364,3552,3,1
2,Payment,1770909455.466373,3881,21,1
2,Payment,1770909455.471415,4485,18,1
3,OrderStatus,1770909455.476452,3249,8,1
1,NewOrder,1770909455.481433,7603,7,1
3,OrderStatus,1770909455.486425,3004,15,1
1,NewOrder,1770909455.491382,9564,17,1
2,Payment,1770909455.496365,4899,11,1
2,Payment,1770909455.501296,3762,11,1
2,Payment,1770909455.506346,3219,13,1
2,Payment,1770909455.511352,2573,20,1
5,StockLevel,1770909455.516320,3813,5,1
1,NewOrder,1770909455.521298,9738,12,1
1,NewOrder,1770909455.526244,7696,4,1
2,Payment,1770909455.531365,3114,22,1
1,NewOrder,1770909455.536285,8571,0,1
1,NewOrder,1770909455.541397,7632,19,1
1,NewOrder,1770909455.546325,7483,16,1
5,StockLevel,1770909455.551231,1979,2,1
1,NewOrder,1770909455.556263,5031,14,1
2,Payment,1770909455.561270,3937,6,1
1,NewOrder,1770909455.566226,6566,9,1
1,NewOrder,1770909455.571403,10405,23,1
2,Payment,1770909455.576359,2948,10,1
1,NewOrder,1770909455.581403,8972,3,1
2,Payment,1770909455.586412,2194,21,1
1,NewOrder,1770909455.591340,5513,18,1
1,NewOrder,1770909455.596408,8749,8,1
1,NewOrder,1770909455.601410,5663,7,1
2,Payment,1770909455.606336,3560,15,1
3,OrderStatus,1770909455.611407,2332,17,1
1,NewOrder,1770909455.616407,5185,1,1
2,Payment,1770909455.621413,3164,11,1
2,Payment,1770909455.626414,3900,13,1
2,Payment,1770909455.631406,3148,20,1
2,Payment,1770909455.636409,5150,5,1
1,NewOrder,1770909455.641403,10642,12,1
2,Payment,1770909455.646400,3671,4,1
1,NewOrder,1770909455.651886,7493,22,1
2,Payment,1770909455.656328,3804,0,1
1,NewOrder,1770909455.661405,6819,19,1
1,NewOrder,1770909455.666410,7506,2,1
2,Payment,1770909455.671407,3126,16,1
4,Delivery,1770909455.676412,9837,14,1
1,NewOrder,1770909455.681415,6569,6,1
2,Payment,1770909455.686283,1937,14,1
1,NewOrder,1770909455.691409,4371,10,1
2,Payment,1770909455.696412,2603,23,1
5,StockLevel,1770909455.701407,4425,21,1
1,NewOrder,1770909455.706420,8703,3,1
2,Payment,1770909455.711412,4014,18,1
1,NewOrder,1770909455.716418,5502,8,1
2,Payment,1770909455.721416,3165,7,1
1,NewOrder,1770909455.726353,6630,15,1
2,Payment,1770909455.731402,3683,17,1
1,NewOrder,1770909455.736404,5481,1,1
2,Payment,1770909455.741448,3042,11,1
1,NewOrder,1770909455.746374,6285,13,1
5,StockLevel,1770909455.751405,4981,20,1
1,NewOrder,1770909455.756409,9487,5,1
2,Payment,1770909455.761410,2946,4,1
1,NewOrder,1770909455.766417,4287,12,1
1,NewOrder,1770909455.771413,5244,22,1
1,NewOrder,1770909455.776419,9312,0,1
1,NewOrder,1770909455.781420,9749,19,1
1,NewOrder,1770909455.786420,6996,2,1
2,Payment,1770909455.791359,2655,16,1
1,NewOrder,1770909455.796408,4380,9,1
2,Payment,1770909455.801406,2114,6,1
1,NewOrder,1770909455.806357,9582,14,1
2,Payment,1770909455.811401,2932,10,1
1,NewOrder,1770909455.816406,5211,23,1
1,NewOrder,1770909455.821410,3975,21,1
1,NewOrder,1770909455.826405,8904,3,1
2,Payment,1770909455.831404,3522,18,1
1,NewOrder,1770909455.836405,4595,8,1
1,NewOrder,1770909455.841404,5945,7,1
2,Payment,1770909455.846399,2581,15,1
2,Payment,1770909455.851399,2981,17,1
4,Delivery,1770909455.856400,14252,1,1
1,NewOrder,1770909455.861400,8052,11,1
2,Payment,1770909455.866406,5571,13,1
2,Payment,1770909455.871408,2656,20,1
1,NewOrder,1770909455.876399,5817,4,1
2,Payment,1770909455.881403,2561,5,1
1,NewOrder,1770909455.886406,7625,12,1
1,NewOrder,1770909455.891333,6691,22,1
2,Payment,1770909455.896407,3518,0,1
1,NewOrder,1770909455.901439,5456,19,1
2,Payment,1770909455.906360,2939,2,1
2,Payment,1770909455.911430,2463,16,1
2,Payment,1770909455.916333,3629,9,1
1,NewOrder,1770909455.921427,7847,6,1
2,Payment,1770909455.926403,3958,10,1
1,NewOrder,1770909455.931418,7204,14,1
2,Payment,1770909455.936377,2442,23,1
2,Payment,1770909455.941406,2921,21,1
1,NewOrder,1770909455.946390,6385,18,1
1,NewOrder,1770909455.951393,9675,3,1
1,NewOrder,1770909455.956400,4357,8,1
2,Payment,1770909455.961393,2487,7,1
5,StockLevel,1770909455.966392,3638,15,1
2,Payment,1770909455.971389,2737,17,1
2,Payment,1770909455.976347,3120,11,1
1,NewOrder,1770909455.981399,6046,1,1
1,NewOrder,1770909455.986353,8763,13,1
1,NewOrder,1770909455.991394,4133,20,1
2,Payment,1770909455.996326,2177,4,1
4,Delivery,1770909456.001402,14481,5,1
2,Payment,1770909456.006357,2368,12,1
1,NewOrder,1770909456.011396,6083,22,1
4,Delivery,1770909456.016399,2594,0,1
2,Payment,1770909456.021327,3482,19,1
1,NewOrder,1770909456.026398,8111,2,1
1,NewOrder,1770909456.031328,10649,16,1
1,NewOrder,1770909456.036402,5071,9,1
1,NewOrder,1770909456.041399,4478,6,1
1,NewOrder,1770909456.046350,7285,10,1
1,NewOrder,1770909456.051398,5923,14,1
1,NewOrder,1770909456.056397,5831,23,1
1,NewOrder,1770909456.061403,8283,21,1
2,Payment,1770909456.066332,3697,18,1
2,Payment,1770909456.071402,2936,8,1
1,NewOrder,1770909456.076401,6933,3,1
1,NewOrder,1770909456.081399,4270,7,1
1,NewOrder,1770909456.086397,4321,15,1
1,NewOrder,1770909456.091393,6350,17,1
1,NewOrder,1770909456.096396,4598,11,1
2,Payment,1770909456.101393,2698,1,1
2,Payment,1770909456.106421,4647,13,1
2,Payment,1770909456.111393,3602,20,1
2,Payment,1770909456.116328,2261,4,1
4,Delivery,1770909456.121396,4090,12,1
1,NewOrder,1770909456.126399,11677,5,1
2,Payment,1770909456.131397,2204,22,1
1,NewOrder,1770909456.136396,9833,0,1
1,NewOrder,1770909456.141332,5169,19,1
1,NewOrder,1770909456.146331,6009,2,1
2,Payment,1770909456.151412,3392,9,1
1,NewOrder,1770909456.156398,4473,16,1
2,Payment,1770909456.161402,2127,6,1
2,Payment,1770909456.166401,3839,10,1
2,Payment,1770909456.171397,4244,14,1
2,Payment,1770909456.176350,4783,23,1
1,NewOrder,1770909456.181395,5942,21,1
5,StockLevel,1770909456.186365,3458,18,1
1,NewOrder,1770909456.191397,5137,8,1
2,Payment,1770909456.196398,3717,3,1
1,NewOrder,1770909456.201398,6245,7,1
2,Payment,1770909456.206348,4740,15,1
2,Payment,1770909456.211391,2377,17,1
3,OrderStatus,1770909456.216398,2529,11,1
1,NewOrder,1770909456.221393,5273,1,1
2,Payment,1770909456.226403,4171,13,1
2,Payment,1770909456.231393,2848,20,1
1,NewOrder,1770909456.236327,8896,4,1
2,Payment,1770909456.241401,3467,12,1
2,Payment,1770909456.246396,3060,22,1
4,Delivery,1770909456.251396,14869,5,1
2,Payment,1770909456.256398,4327,0,1
2,Payment,1770909456.261404,2170,19,1
2,Payment,1770909456.266314,1547,5,1
1,NewOrder,1770909456.271396,5746,9,1
2,Payment,1770909456.276399,3400,16,1
2,Payment,1770909456.281400,2730,6,1
1,NewOrder,1770909456.286413,6937,10,1
2,Payment,1770909456.291396,2233,14,1
2,Payment,1770909456.296397,2990,23,1
2,Payment,1770909456.301394,5522,21,1
1,NewOrder,1770909456.306399,5610,18,1
4,Delivery,1770909456.311398,9701,8,1
2,Payment,1770909456.316398,2156,3,1
1,NewOrder,1770909456.321398,7664,7,1
2,Payment,1770909456.326392,4392,15,1
3,OrderStatus,1770909456.331393,2258,17,1
1,NewOrder,1770909456.336395,6346,11,1
2,Payment,1770909456.341393,3704,1,1
1,NewOrder,1770909456.346400,7111,13,1
1,NewOrder,1770909456.351392,4956,20,1
1,NewOrder,1770909456.356396,5538,12,1
2,Payment,1770909456.361393,2875,4,1
5,StockLevel,1770909456.366396,4995,22,1
1,NewOrder,1770909456.371396,7354,0,1
2,Payment,1770909456.376431,3331,19,1
4,Delivery,1770909456.381329,9667,2,1
1,NewOrder,1770909456.386350,7132,5,1
2,Payment,1770909456.391396,3060,9,1
1,NewOrder,1770909456.396398,6875,16,1
1,NewOrder,1770909456.401396,8695,6,1
1,NewOrder,1770909456.406349,3578,10,1
1,NewOrder,1770909456.411393,6613,14,1
1,NewOrder,1770909456.416397,7233,23,1
1,NewOrder,1770909456.421391,6644,21,1
1,NewOrder,1770909456.426399,8073,18,1
2,Payment,1770909456.431398,2067,3,1
2,Payment,1770909456.436397,3347,8,1
1,NewOrder,1770909456.441396,4776,7,1
3,OrderStatus,1770909456.446392,3195,15,1
1,NewOrder,1770909456.451393,5283,17,1
1,NewOrder,1770909456.456397,6573,11,1
5,StockLevel,1770909456.461398,5389,1,1
1,NewOrder,1770909456.466399,8868,13,1
1,NewOrder,1770909456.471414,5169,20,1
2,Payment,1770909456.476396,2420,12,1
1,NewOrder,1770909456.481391,5003,4,1
2,Payment,1770909456.486397,2586,22,1
1,NewOrder,1770909456.491394,11430,0,1
2,Payment,1770909456.496402,2952,19,1
5,StockLevel,1770909456.501330,3867,2,1
2,Payment,1770909456.506397,2490,5,1
1,NewOrder,1770909456.511395,5475,9,1
5,StockLevel,1770909456.516398,7907,16,1
1,NewOrder,1770909456.521395,5587,10,1
2,Payment,1770909456.526398,3249,6,1
1,NewOrder,1770909456.531396,8029,14,1
3,OrderStatus,1770909456.536396,3181,23,1
2,Payment,1770909456.541396,3921,21,1
1,NewOrder,1770909456.546399,6077,3,1
2,Payment,1770909456.551403,4469,18,1
1,NewOrder,1770909456.556398,7632,8,1
5,StockLevel,1770909456.561271,7797,7,1
3,OrderStatus,1770909456.566304,4257,15,1
2,Payment,1770909456.571454,2635,17,1
2,Payment,1770909456.576407,6447,11,1
2,Payment,1770909456.581394,2714,1,1
1,NewOrder,1770909456.586302,4691,13,1
4,Delivery,1770909456.591387,8423,20,1
1,NewOrder,1770909456.596323,5649,12,1
2,Payment,1770909456.601320,1549,4,1
1,NewOrder,1770909456.606351,7924,22,1
2,Payment,1770909456.611394,3411,19,1
2,Payment,1770909456.616395,2777,0,1
1,NewOrder,1770909456.621391,7891,2,1
2,Payment,1770909456.626346,2597,5,1
4,Delivery,1770909456.631391,14076,9,1
2,Payment,1770909456.636401,3025,16,1
2,Payment,1770909456.641395,2787,10,1
2,Payment,1770909456.646397,1997,6,1
2,Payment,1770909456.651411,3049,14,1
2,Payment,1770909456.656397,3548,23,1
4,Delivery,1770909456.661396,12772,21,1
2,Payment,1770909456.666399,2898,3,1
1,NewOrder,1770909456.671403,4011,18,1
1,NewOrder,1770909456.676396,6779,8,1
2,Payment,1770909456.681393,2313,7,1
2,Payment,1770909456.686389,2112,15,1
1,NewOrder,1770909456.691324,4546,17,1
2,Payment,1770909456.696391,3413,11,1
1,NewOrder,1770909456.701388,3669,1,1
1,NewOrder,1770909456.706397,5041,13,1
2,Payment,1770909456.711389,3719,20,1
1,NewOrder,1770909456.716391,6237,12,1
1,NewOrder,1770909456.721389,7035,4,1
2,Payment,1770909456.726389,3435,22,1
2,Payment,1770909456.731391,2597,19,1
2,Payment,1770909456.736390,3777,0,1
2,Payment,1770909456.741389,2113,5,1
1,NewOrder,1770909456.746388,7004,2,1
1,NewOrder,1770909456.751392,9155,16,1
1,NewOrder,1770909456.756393,4383,10,1
1,NewOrder,1770909456.761393,6488,9,1
3,OrderStatus,1770909456.766395,2431,6,1
1,NewOrder,1770909456.771393,4451,14,1
1,NewOrder,1770909456.776398,6748,23,1
1,NewOrder,1770909456.781393,5721,3,1
1,NewOrder,1770909456.786348,7087,21,1
2,Payment,1770909456.791399,2497,18,1
4,Delivery,1770909456.796392,6740,8,1
5,StockLevel,1770909456.801395,3258,7,1
2,Payment,1770909456.806342,3064,15,1
2,Payment,1770909456.811388,2218,17,1
1,NewOrder,1770909456.816395,6274,11,1
1,NewOrder,1770909456.821387,4527,1,1
1,NewOrder,1770909456.826398,6748,13,1
1,NewOrder,1770909456.831389,6549,20,1
2,Payment,1770909456.836406,3018,12,1
1,NewOrder,1770909456.841388,6468,4,1
