Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1771700844.691112,116623,20,1
1,NewOrder,1771700844.695383,104637,21,1
3,OrderStatus,1771700844.700445,82767,22,1
1,NewOrder,1771700844.731962,88415,23,1
2,Payment,1771700844.732013,38948,14,1
2,Payment,1771700844.732030,67025,17,1
2,Payment,1771700844.732048,60276,15,1
1,NewOrder,1771700844.732068,74872,16,1
3,OrderStatus,1771700844.732084,42807,18,1
1,NewOrder,1771700844.735327,81108,13,1
2,Payment,1771700844.740263,43260,12,1
1,NewOrder,1771700844.745407,68856,3,1
1,NewOrder,1771700844.750306,68751,11,1
2,Payment,1771700844.755424,22653,10,1
2,Payment,1771700844.760437,25084,9,1
1,NewOrder,1771700844.765307,52411,8,1
2,Payment,1771700844.770373,11841,2,1
2,Payment,1771700844.775307,12130,1,1
2,Payment,1771700844.780341,12396,4,1
1,NewOrder,1771700844.785360,34282,6,1
2,Payment,1771700844.790269,6485,5,1
2,Payment,1771700844.795356,10868,7,1
5,StockLevel,1771700844.800269,7312,0,1
1,NewOrder,1771700844.805299,18510,14,1
2,Payment,1771700844.810260,6320,18,1
2,Payment,1771700844.815324,5987,10,1
2,Payment,1771700844.820276,5237,2,1
1,NewOrder,1771700844.825355,20478,22,1
1,NewOrder,1771700844.830299,14341,12,1
1,NewOrder,1771700844.835373,23849,9,1
2,Payment,1771700844.840370,6469,1,1
1,NewOrder,1771700844.845277,20661,15,1
2,Payment,1771700844.850308,5597,4,1
2,Payment,1771700844.855440,5736,19,1
1,NewOrder,1771700844.860456,11351,5,1
1,NewOrder,1771700844.865398,14357,17,1
1,NewOrder,1771700844.870335,8157,21,1
4,Delivery,1771700844.875369,9888,7,1
5,StockLevel,1771700844.880255,4520,16,1
2,Payment,1771700844.885445,8871,0,1
2,Payment,1771700844.890321,6083,20,1
2,Payment,1771700844.895438,5919,3,1
1,NewOrder,1771700844.900434,13743,13,1
1,NewOrder,1771700844.905366,19260,18,1
2,Payment,1771700844.910447,29960,8,1
1,NewOrder,1771700844.915443,13082,11,1
1,NewOrder,1771700844.920439,11114,6,1
2,Payment,1771700844.925444,7321,23,1
2,Payment,1771700844.930420,13707,10,1
2,Payment,1771700844.935445,4405,14,1
2,Payment,1771700844.940442,4019,2,1
1,NewOrder,1771700844.945452,12658,12,1
5,StockLevel,1771700844.950402,3465,22,1
2,Payment,1771700844.955444,2857,1,1
1,NewOrder,1771700844.960366,16530,4,1
1,NewOrder,1771700844.965352,5572,9,1
2,Payment,1771700844.970377,3845,19,1
1,NewOrder,1771700844.975443,6596,15,1
1,NewOrder,1771700844.980445,10108,5,1
1,NewOrder,1771700844.985378,8223,21,1
1,NewOrder,1771700844.990395,5822,17,1
2,Payment,1771700844.995451,6085,16,1
1,NewOrder,1771700845.000447,28915,7,1
1,NewOrder,1771700845.005461,27072,0,1
4,Delivery,1771700845.010404,26603,20,1
2,Payment,1771700845.015464,7390,3,1
2,Payment,1771700845.020458,8267,13,1
2,Payment,1771700845.025404,4208,18,1
2,Payment,1771700845.030319,3031,11,1
1,NewOrder,1771700845.035456,5329,6,1
2,Payment,1771700845.040463,4577,23,1
2,Payment,1771700845.045382,5209,14,1
2,Payment,1771700845.050404,6222,8,1
1,NewOrder,1771700845.055444,24720,10,1
5,StockLevel,1771700845.060450,8845,2,1
1,NewOrder,1771700845.065448,15159,22,1
2,Payment,1771700845.070410,5679,12,1
1,NewOrder,1771700845.075449,12999,1,1
2,Payment,1771700845.080447,3919,9,1
1,NewOrder,1771700845.085376,7547,19,1
2,Payment,1771700845.090402,4189,4,1
1,NewOrder,1771700845.095381,6813,15,1
1,NewOrder,1771700845.100396,9897,5,1
2,Payment,1771700845.105436,9374,21,1
1,NewOrder,1771700845.110324,7749,17,1
1,NewOrder,1771700845.115369,10993,16,1
1,NewOrder,1771700845.120437,10161,3,1
3,OrderStatus,1771700845.125439,3811,13,1
2,Payment,1771700845.130407,3878,7,1
2,Payment,1771700845.135442,4345,18,1
2,Payment,1771700845.140436,4566,0,1
2,Payment,1771700845.145406,3519,11,1
2,Payment,1771700845.150445,5961,20,1
2,Payment,1771700845.155438,5383,6,1
1,NewOrder,1771700845.160440,6918,23,1
2,Payment,1771700845.165434,3912,14,1
2,Payment,1771700845.170448,4604,8,1
1,NewOrder,1771700845.175439,11157,2,1
1,NewOrder,1771700845.180456,6438,12,1
1,NewOrder,1771700845.185451,8257,10,1
2,Payment,1771700845.190416,5034,22,1
1,NewOrder,1771700845.195447,7678,9,1
2,Payment,1771700845.200432,3643,1,1
1,NewOrder,1771700845.205445,8089,19,1
4,Delivery,1771700845.210394,24789,4,1
1,NewOrder,1771700845.215375,8057,15,1
2,Payment,1771700845.220450,5191,5,1
2,Payment,1771700845.225379,3247,21,1
4,Delivery,1771700845.230398,18716,17,1
2,Payment,1771700845.235449,4119,16,1
2,Payment,1771700845.240439,4292,13,1
1,NewOrder,1771700845.245450,5012,3,1
1,NewOrder,1771700845.250372,7589,7,1
2,Payment,1771700845.255446,4703,18,1
1,NewOrder,1771700845.260392,8805,0,1
1,NewOrder,1771700845.265447,6638,11,1
1,NewOrder,1771700845.270402,9015,20,1
2,Payment,1771700845.275448,3595,6,1
1,NewOrder,1771700845.280447,7353,23,1
2,Payment,1771700845.285406,5097,14,1
2,Payment,1771700845.290395,3821,8,1
2,Payment,1771700845.295461,3775,2,1
5,StockLevel,1771700845.300494,3686,12,1
1,NewOrder,1771700845.305449,8253,10,1
1,NewOrder,1771700845.310340,5548,22,1
1,NewOrder,1771700845.315450,8221,9,1
1,NewOrder,1771700845.320500,10163,1,1
1,NewOrder,1771700845.325560,7031,19,1
2,Payment,1771700845.330453,4067,15,1
2,Payment,1771700845.335470,5824,5,1
2,Payment,1771700845.340450,3985,21,1
2,Payment,1771700845.345444,3675,4,1
1,NewOrder,1771700845.350549,6608,16,1
2,Payment,1771700845.355447,4994,13,1
2,Payment,1771700845.360438,4564,17,1
2,Payment,1771700845.365444,4852,3,1
1,NewOrder,1771700845.370382,8105,3,1
2,Payment,1771700845.375402,5951,18,1
1,NewOrder,1771700845.380383,7907,0,1
1,NewOrder,1771700845.385386,10166,11,1
2,Payment,1771700845.390444,4912,6,1
5,StockLevel,1771700845.395399,3674,6,1
2,Payment,1771700845.400444,3896,23,1
1,NewOrder,1771700845.405440,9636,14,1
4,Delivery,1771700845.410449,22091,8,1
1,NewOrder,1771700845.415443,12456,2,1
1,NewOrder,1771700845.420448,13215,12,1
1,NewOrder,1771700845.425442,6366,10,1
2,Payment,1771700845.430373,3516,22,1
1,NewOrder,1771700845.435439,8035,9,1
5,StockLevel,1771700845.440503,3764,1,1
1,NewOrder,1771700845.445442,4942,19,1
1,NewOrder,1771700845.450399,10940,15,1
1,NewOrder,1771700845.455440,10144,5,1
2,Payment,1771700845.460442,5783,21,1
1,NewOrder,1771700845.465377,5778,4,1
2,Payment,1771700845.470383,2836,16,1
2,Payment,1771700845.475447,4460,13,1
2,Payment,1771700845.480452,3384,17,1
1,NewOrder,1771700845.485364,7746,7,1
1,NewOrder,1771700845.490462,10140,3,1
2,Payment,1771700845.495462,4431,18,1
2,Payment,1771700845.500452,5171,0,1
1,NewOrder,1771700845.505451,5030,20,1
1,NewOrder,1771700845.510453,6870,11,1
1,NewOrder,1771700845.515449,6909,6,1
1,NewOrder,1771700845.520459,11194,23,1
2,Payment,1771700845.525457,4728,14,1
2,Payment,1771700845.530380,5279,2,1
1,NewOrder,1771700845.535442,7733,10,1
2,Payment,1771700845.540448,5344,8,1
2,Payment,1771700845.545450,4966,12,1
2,Payment,1771700845.550411,3824,22,1
1,NewOrder,1771700845.555445,7883,9,1
2,Payment,1771700845.560447,5937,1,1
2,Payment,1771700845.565445,4042,19,1
2,Payment,1771700845.570448,5594,15,1
3,OrderStatus,1771700845.575442,2528,5,1
1,NewOrder,1771700845.580445,12687,21,1
2,Payment,1771700845.585444,7345,4,1
1,NewOrder,1771700845.590452,9580,16,1
2,Payment,1771700845.595446,3157,13,1
2,Payment,1771700845.600383,4126,17,1
2,Payment,1771700845.605452,4732,7,1
1,NewOrder,1771700845.610446,5491,18,1
1,NewOrder,1771700845.615450,11539,3,1
2,Payment,1771700845.620452,4133,0,1
1,NewOrder,1771700845.625453,4799,20,1
2,Payment,1771700845.630456,5838,11,1
2,Payment,1771700845.635494,10868,6,1
1,NewOrder,1771700845.640899,10521,14,1
2,Payment,1771700845.645607,5487,23,1
2,Payment,1771700845.650441,4898,2,1
2,Payment,1771700845.655384,6859,2,1
2,Payment,1771700845.660510,4427,8,1
2,Payment,1771700845.665516,5208,12,1
2,Payment,1771700845.670458,4484,22,1
2,Payment,1771700845.675490,3706,9,1
1,NewOrder,1771700845.680491,13412,1,1
1,NewOrder,1771700845.685523,13007,19,1
2,Payment,1771700845.690501,5554,15,1
2,Payment,1771700845.695491,3330,5,1
2,Payment,1771700845.700406,3247,4,1
1,NewOrder,1771700845.705566,7906,21,1
1,NewOrder,1771700845.710560,6642,13,1
1,NewOrder,1771700845.715486,6179,16,1
1,NewOrder,1771700845.720476,9519,17,1
3,OrderStatus,1771700845.725510,4464,7,1
2,Payment,1771700845.730405,3465,18,1
2,Payment,1771700845.735428,4043,0,1
1,NewOrder,1771700845.740487,8563,3,1
2,Payment,1771700845.745482,5418,20,1
1,NewOrder,1771700845.750444,7655,11,1
1,NewOrder,1771700845.755438,5041,6,1
1,NewOrder,1771700845.760441,8141,23,1
3,OrderStatus,1771700845.765448,3324,14,1
1,NewOrder,1771700845.770398,8348,10,1
2,Payment,1771700845.775448,4012,2,1
