Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1771519002.217787,77912,17,1
1,NewOrder,1771519002.222178,125645,16,1
1,NewOrder,1771519002.254000,95154,20,1
1,NewOrder,1771519002.254031,92837,12,1
1,NewOrder,1771519002.254044,73812,13,1
2,Payment,1771519002.254101,40015,18,1
1,NewOrder,1771519002.254144,78711,23,1
1,NewOrder,1771519002.254202,82975,15,1
2,Payment,1771519002.257192,47761,7,1
1,NewOrder,1771519002.262142,87515,6,1
1,NewOrder,1771519002.267248,89143,11,1
2,Payment,1771519002.272184,32114,1,1
4,Delivery,1771519002.277224,64008,8,1
2,Payment,1771519002.282175,67498,10,1
2,Payment,1771519002.287215,40713,0,1
5,StockLevel,1771519002.292328,33992,4,1
1,NewOrder,1771519002.297196,56272,9,1
2,Payment,1771519002.302176,50552,3,1
5,StockLevel,1771519002.307173,45806,5,1
1,NewOrder,1771519002.312171,45100,2,1
2,Payment,1771519002.317174,36220,22,1
1,NewOrder,1771519002.322151,41007,21,1
1,NewOrder,1771519002.327185,34178,14,1
2,Payment,1771519002.332168,27666,18,1
2,Payment,1771519002.337181,7000,17,1
2,Payment,1771519002.342220,16131,1,1
1,NewOrder,1771519002.347142,25872,7,1
1,NewOrder,1771519002.352226,21163,19,1
2,Payment,1771519002.357178,8557,4,1
2,Payment,1771519002.362163,26893,13,1
1,NewOrder,1771519002.367194,15253,0,1
1,NewOrder,1771519002.372295,8985,23,1
5,StockLevel,1771519002.377181,3388,15,1
2,Payment,1771519002.382151,10842,8,1
1,NewOrder,1771519002.387261,18372,17,1
2,Payment,1771519002.392321,6677,12,1
1,NewOrder,1771519002.397302,10660,16,1
5,StockLevel,1771519002.402213,4158,20,1
2,Payment,1771519002.407241,5725,6,1
3,OrderStatus,1771519002.412299,6816,10,1
1,NewOrder,1771519002.417298,23885,3,1
5,StockLevel,1771519002.422206,6740,5,1
1,NewOrder,1771519002.427302,27009,22,1
2,Payment,1771519002.432301,12171,9,1
1,NewOrder,1771519002.437302,15441,11,1
1,NewOrder,1771519002.442312,9211,2,1
1,NewOrder,1771519002.447307,17436,1,1
2,Payment,1771519002.452319,5597,18,1
1,NewOrder,1771519002.457322,6958,14,1
2,Payment,1771519002.462266,7831,21,1
3,OrderStatus,1771519002.467315,4885,4,1
1,NewOrder,1771519002.472249,21421,4,1
2,Payment,1771519002.477307,3745,19,1
2,Payment,1771519002.482291,6872,15,1
1,NewOrder,1771519002.487253,9189,23,1
1,NewOrder,1771519002.492313,11618,0,1
2,Payment,1771519002.497309,5780,13,1
2,Payment,1771519002.502239,5010,8,1
4,Delivery,1771519002.507267,5635,12,1
2,Payment,1771519002.512310,4212,17,1
2,Payment,1771519002.517302,7769,20,1
1,NewOrder,1771519002.522209,13797,16,1
1,NewOrder,1771519002.527308,7263,6,1
2,Payment,1771519002.532240,5298,10,1
2,Payment,1771519002.537340,7403,5,1
1,NewOrder,1771519002.542306,7543,3,1
1,NewOrder,1771519002.547270,10515,9,1
3,OrderStatus,1771519002.552309,4609,2,1
1,NewOrder,1771519002.557298,10691,11,1
2,Payment,1771519002.562305,6550,22,1
1,NewOrder,1771519002.567307,17266,18,1
2,Payment,1771519002.572305,5669,14,1
1,NewOrder,1771519002.577314,8042,1,1
1,NewOrder,1771519002.582332,7398,21,1
1,NewOrder,1771519002.587311,7039,7,1
1,NewOrder,1771519002.592232,10247,19,1
2,Payment,1771519002.597309,4086,15,1
1,NewOrder,1771519002.602316,12055,4,1
2,Payment,1771519002.607309,7853,23,1
2,Payment,1771519002.612311,6070,13,1
1,NewOrder,1771519002.617315,7448,0,1
2,Payment,1771519002.622266,5386,8,1
2,Payment,1771519002.627315,7155,12,1
1,NewOrder,1771519002.632318,8781,17,1
1,NewOrder,1771519002.637317,8453,20,1
2,Payment,1771519002.642260,4397,6,1
2,Payment,1771519002.647313,5666,16,1
1,NewOrder,1771519002.652207,20627,10,1
1,NewOrder,1771519002.657304,17202,5,1
2,Payment,1771519002.662257,4654,3,1
1,NewOrder,1771519002.667194,10011,2,1
1,NewOrder,1771519002.672249,9780,9,1
2,Payment,1771519002.677256,3928,2,1
2,Payment,1771519002.682205,4515,22,1
2,Payment,1771519002.687317,3492,14,1
1,NewOrder,1771519002.692310,8457,18,1
5,StockLevel,1771519002.697318,7921,1,1
1,NewOrder,1771519002.702310,9159,21,1
4,Delivery,1771519002.707340,7510,7,1
2,Payment,1771519002.712364,5117,15,1
1,NewOrder,1771519002.717307,6629,19,1
2,Payment,1771519002.722259,4971,4,1
2,Payment,1771519002.727279,3563,4,1
2,Payment,1771519002.732308,5350,13,1
2,Payment,1771519002.737304,6616,0,1
2,Payment,1771519002.742260,4916,8,1
1,NewOrder,1771519002.747228,15736,8,1
1,NewOrder,1771519002.752303,11963,17,1
1,NewOrder,1771519002.757312,8933,20,1
2,Payment,1771519002.762306,5913,6,1
1,NewOrder,1771519002.767307,6296,16,1
5,StockLevel,1771519002.772303,4824,3,1
2,Payment,1771519002.777313,5195,10,1
1,NewOrder,1771519002.782251,8881,5,1
2,Payment,1771519002.787314,6621,11,1
2,Payment,1771519002.792319,5182,2,1
1,NewOrder,1771519002.797308,9878,9,1
2,Payment,1771519002.802206,5362,22,1
1,NewOrder,1771519002.807236,9243,9,1
1,NewOrder,1771519002.812267,8318,18,1
1,NewOrder,1771519002.817352,6969,1,1
1,NewOrder,1771519002.822236,5620,21,1
1,NewOrder,1771519002.827334,9404,7,1
2,Payment,1771519002.832312,4180,15,1
5,StockLevel,1771519002.837318,4176,19,1
2,Payment,1771519002.842265,4560,23,1
2,Payment,1771519002.847392,4506,4,1
4,Delivery,1771519002.852416,12657,13,1
2,Payment,1771519002.857323,5009,0,1
2,Payment,1771519002.862394,5741,12,1
2,Payment,1771519002.867341,5981,8,1
2,Payment,1771519002.872321,4491,17,1
2,Payment,1771519002.877418,5580,20,1
3,OrderStatus,1771519002.882324,4594,6,1
2,Payment,1771519002.887318,4111,16,1
1,NewOrder,1771519002.892306,8628,3,1
2,Payment,1771519002.897286,3774,10,1
1,NewOrder,1771519002.902233,10960,5,1
1,NewOrder,1771519002.907303,12760,11,1
2,Payment,1771519002.912309,4191,2,1
2,Payment,1771519002.917241,3122,14,1
2,Payment,1771519002.922259,4306,22,1
5,StockLevel,1771519002.927302,4195,9,1
1,NewOrder,1771519002.932308,5837,18,1
1,NewOrder,1771519002.937309,12931,1,1
1,NewOrder,1771519002.942233,13777,21,1
1,NewOrder,1771519002.947307,13218,15,1
1,NewOrder,1771519002.952315,8523,7,1
1,NewOrder,1771519002.957307,9312,19,1
2,Payment,1771519002.962236,3524,23,1
1,NewOrder,1771519002.967310,8352,4,1
5,StockLevel,1771519002.972312,4105,0,1
1,NewOrder,1771519002.977303,4838,13,1
1,NewOrder,1771519002.982189,5031,13,1
1,NewOrder,1771519002.987264,7814,13,1
1,NewOrder,1771519002.992312,5415,17,1
1,NewOrder,1771519002.997313,6317,20,1
1,NewOrder,1771519003.002215,6732,6,1
2,Payment,1771519003.007318,5200,16,1
1,NewOrder,1771519003.012310,7963,3,1
1,NewOrder,1771519003.017302,5203,10,1
1,NewOrder,1771519003.022182,7781,5,1
1,NewOrder,1771519003.027306,7072,2,1
1,NewOrder,1771519003.032313,8165,11,1
1,NewOrder,1771519003.037299,12027,14,1
2,Payment,1771519003.042275,3496,22,1
1,NewOrder,1771519003.047299,4764,9,1
2,Payment,1771519003.052305,4059,18,1
1,NewOrder,1771519003.057307,9892,1,1
2,Payment,1771519003.062236,4152,21,1
3,OrderStatus,1771519003.067248,4876,1,1
1,NewOrder,1771519003.072311,11145,7,1
1,NewOrder,1771519003.077237,8972,23,1
1,NewOrder,1771519003.082200,9546,19,1
1,NewOrder,1771519003.087306,4782,4,1
1,NewOrder,1771519003.092295,7640,0,1
2,Payment,1771519003.097299,3583,12,1
1,NewOrder,1771519003.102295,7182,8,1
2,Payment,1771519003.107301,4031,13,1
2,Payment,1771519003.112309,4348,17,1
5,StockLevel,1771519003.117224,4055,20,1
5,StockLevel,1771519003.122256,4159,6,1
2,Payment,1771519003.127306,5314,16,1
2,Payment,1771519003.132236,4066,3,1
2,Payment,1771519003.137226,4797,10,1
2,Payment,1771519003.142227,5840,5,1
2,Payment,1771519003.147314,4811,2,1
2,Payment,1771519003.152313,3508,11,1
2,Payment,1771519003.157304,2982,22,1
1,NewOrder,1771519003.162246,10564,14,1
3,OrderStatus,1771519003.167261,3066,9,1
2,Payment,1771519003.172313,5363,18,1
2,Payment,1771519003.177237,5194,21,1
2,Payment,1771519003.182324,4401,15,1
2,Payment,1771519003.187316,5026,1,1
3,OrderStatus,1771519003.192318,2830,7,1
2,Payment,1771519003.197312,5080,23,1
