Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1771531311.540943,114426,6,1
2,Payment,1771531311.545376,81268,5,1
3,OrderStatus,1771531311.550392,71506,4,1
2,Payment,1771531311.581846,51952,1,1
5,StockLevel,1771531311.581878,47824,9,1
1,NewOrder,1771531311.581904,86519,3,1
1,NewOrder,1771531311.581937,70019,8,1
5,StockLevel,1771531311.582016,44098,0,1
2,Payment,1771531311.582370,61497,2,1
2,Payment,1771531311.585288,40135,7,1
2,Payment,1771531311.590243,26388,10,1
1,NewOrder,1771531311.595365,64748,11,1
1,NewOrder,1771531311.600368,61424,16,1
2,Payment,1771531311.605382,29112,12,1
2,Payment,1771531311.610282,34921,14,1
4,Delivery,1771531311.615320,53402,15,1
2,Payment,1771531311.620240,12134,18,1
1,NewOrder,1771531311.625293,28187,13,1
2,Payment,1771531311.630202,9385,20,1
1,NewOrder,1771531311.635217,30904,21,1
3,OrderStatus,1771531311.640188,8368,17,1
3,OrderStatus,1771531311.645207,7425,23,1
1,NewOrder,1771531311.650206,18744,22,1
2,Payment,1771531311.655214,16484,10,1
2,Payment,1771531311.660299,7291,4,1
1,NewOrder,1771531311.665278,16837,7,1
1,NewOrder,1771531311.670227,14282,0,1
2,Payment,1771531311.675277,4141,5,1
1,NewOrder,1771531311.680319,18437,9,1
1,NewOrder,1771531311.685356,23635,18,1
1,NewOrder,1771531311.690266,14405,1,1
1,NewOrder,1771531311.695357,24275,12,1
5,StockLevel,1771531311.700325,3943,20,1
4,Delivery,1771531311.705303,18102,2,1
5,StockLevel,1771531311.710370,4261,14,1
2,Payment,1771531311.715381,5823,17,1
1,NewOrder,1771531311.720299,7137,8,1
2,Payment,1771531311.725367,8114,23,1
2,Payment,1771531311.730292,6044,13,1
2,Payment,1771531311.735316,6739,6,1
2,Payment,1771531311.740373,9330,19,1
2,Payment,1771531311.745313,5593,11,1
1,NewOrder,1771531311.750307,13049,16,1
2,Payment,1771531311.755363,7462,21,1
