Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1771532573.875975,118522,3,1
1,NewOrder,1771532573.880503,123714,0,1
2,Payment,1771532573.914086,63692,5,1
1,NewOrder,1771532573.914131,90588,7,1
1,NewOrder,1771532573.914153,63956,6,1
2,Payment,1771532573.914183,60480,4,1
1,NewOrder,1771532573.914219,110419,1,1
1,NewOrder,1771532573.914668,74010,2,1
1,NewOrder,1771532573.915327,93214,8,1
4,Delivery,1771532573.920405,84272,9,1
2,Payment,1771532573.925470,71512,11,1
2,Payment,1771532573.930451,73610,10,1
2,Payment,1771532573.935445,52668,12,1
1,NewOrder,1771532573.940476,50586,14,1
1,NewOrder,1771532573.945469,68461,15,1
1,NewOrder,1771532573.950399,63925,17,1
1,NewOrder,1771532573.955428,56193,16,1
1,NewOrder,1771532573.960398,56312,18,1
2,Payment,1771532573.965382,12099,19,1
4,Delivery,1771532573.970350,49928,20,1
2,Payment,1771532573.975387,18869,13,1
1,NewOrder,1771532573.980330,34004,21,1
2,Payment,1771532573.985369,8925,22,1
1,NewOrder,1771532573.990334,21270,4,1
2,Payment,1771532573.995405,17986,19,1
5,StockLevel,1771532574.000338,4511,5,1
2,Payment,1771532574.005407,8397,6,1
1,NewOrder,1771532574.010388,15169,12,1
1,NewOrder,1771532574.015381,10440,2,1
5,StockLevel,1771532574.020442,3920,14,1
3,OrderStatus,1771532574.025471,10493,13,1
2,Payment,1771532574.030389,4447,22,1
2,Payment,1771532574.035459,5453,3,1
1,NewOrder,1771532574.040449,27376,11,1
2,Payment,1771532574.045494,13716,23,1
5,StockLevel,1771532574.050530,8485,10,1
2,Payment,1771532574.055512,9161,0,1
3,OrderStatus,1771532574.060510,5570,9,1
1,NewOrder,1771532574.065450,7245,7,1
1,NewOrder,1771532574.070511,18019,5,1
2,Payment,1771532574.075531,7528,8,1
2,Payment,1771532574.080527,5520,4,1
5,StockLevel,1771532574.085476,3630,16,1
2,Payment,1771532574.090517,5508,19,1
1,NewOrder,1771532574.095516,12815,6,1
2,Payment,1771532574.100519,8570,15,1
2,Payment,1771532574.105416,9309,17,1
2,Payment,1771532574.110554,7547,21,1
1,NewOrder,1771532574.115478,8721,18,1
4,Delivery,1771532574.120516,13718,20,1
2,Payment,1771532574.125474,5718,14,1
2,Payment,1771532574.130526,6156,1,1
1,NewOrder,1771532574.135445,13448,12,1
1,NewOrder,1771532574.140534,5716,2,1
2,Payment,1771532574.145464,3544,22,1
1,NewOrder,1771532574.150521,13467,13,1
2,Payment,1771532574.155454,4458,3,1
2,Payment,1771532574.160473,4728,10,1
2,Payment,1771532574.165541,5328,23,1
1,NewOrder,1771532574.170487,8708,0,1
1,NewOrder,1771532574.175530,16714,9,1
2,Payment,1771532574.180544,5590,11,1
1,NewOrder,1771532574.185460,10988,7,1
2,Payment,1771532574.190549,3847,8,1
1,NewOrder,1771532574.195547,8465,4,1
1,NewOrder,1771532574.200544,13131,5,1
3,OrderStatus,1771532574.205473,2648,16,1
1,NewOrder,1771532574.210494,9168,19,1
2,Payment,1771532574.215524,4436,6,1
2,Payment,1771532574.220446,4144,15,1
2,Payment,1771532574.225446,4594,17,1
4,Delivery,1771532574.230406,18791,21,1
1,NewOrder,1771532574.235536,8366,18,1
1,NewOrder,1771532574.240526,7319,14,1
2,Payment,1771532574.245480,4638,20,1
