Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1771524223.709414,39260,4,1
1,NewOrder,1771524223.729837,36552,0,1
2,Payment,1771524223.729861,33612,8,1
4,Delivery,1771524223.729875,25757,1,1
1,NewOrder,1771524223.729885,28176,2,1
2,Payment,1771524223.733963,39238,7,1
2,Payment,1771524223.738965,42718,6,1
2,Payment,1771524223.744025,13130,3,1
1,NewOrder,1771524223.748972,20299,9,1
2,Payment,1771524223.753976,12153,5,1
1,NewOrder,1771524223.758969,14979,10,1
2,Payment,1771524223.764023,23223,11,1
1,NewOrder,1771524223.769079,13345,12,1
3,OrderStatus,1771524223.773983,4798,13,1
2,Payment,1771524223.779052,7917,16,1
1,NewOrder,1771524223.784105,10433,15,1
2,Payment,1771524223.789037,7520,14,1
1,NewOrder,1771524223.794038,12278,17,1
4,Delivery,1771524223.799030,5189,18,1
1,NewOrder,1771524223.804024,11576,19,1
1,NewOrder,1771524223.809069,12021,23,1
2,Payment,1771524223.814049,7385,20,1
1,NewOrder,1771524223.819003,14227,21,1
2,Payment,1771524223.824070,2989,4,1
2,Payment,1771524223.829071,5417,1,1
2,Payment,1771524223.834039,3259,3,1
1,NewOrder,1771524223.839071,6306,2,1
2,Payment,1771524223.844074,4475,8,1
1,NewOrder,1771524223.849024,13470,5,1
2,Payment,1771524223.854069,5658,0,1
2,Payment,1771524223.859028,4048,22,1
1,NewOrder,1771524223.864069,4736,9,1
2,Payment,1771524223.869029,4687,7,1
1,NewOrder,1771524223.874095,11011,10,1
1,NewOrder,1771524223.879068,12261,13,1
2,Payment,1771524223.884074,3911,6,1
1,NewOrder,1771524223.889148,4848,12,1
3,OrderStatus,1771524223.894023,3397,12,1
2,Payment,1771524223.899153,3448,11,1
1,NewOrder,1771524223.904075,9669,15,1
5,StockLevel,1771524223.909067,5397,14,1
4,Delivery,1771524223.914072,3029,18,1
2,Payment,1771524223.919071,5726,17,1
2,Payment,1771524223.924076,5639,19,1
1,NewOrder,1771524223.929076,7401,23,1
1,NewOrder,1771524223.934075,14432,20,1
4,Delivery,1771524223.939072,21890,4,1
1,NewOrder,1771524223.944082,13594,21,1
1,NewOrder,1771524223.949023,15065,1,1
1,NewOrder,1771524223.954084,12398,3,1
2,Payment,1771524223.959095,4679,2,1
1,NewOrder,1771524223.964086,9069,8,1
1,NewOrder,1771524223.969091,4633,0,1
5,StockLevel,1771524223.973960,3992,5,1
2,Payment,1771524223.979054,3932,22,1
1,NewOrder,1771524223.984083,4848,9,1
1,NewOrder,1771524223.989083,12357,7,1
1,NewOrder,1771524223.994041,5054,10,1
2,Payment,1771524223.999049,3143,6,1
2,Payment,1771524224.004089,3662,13,1
1,NewOrder,1771524224.009075,10431,16,1
2,Payment,1771524224.014044,3682,12,1
1,NewOrder,1771524224.019036,11756,11,1
1,NewOrder,1771524224.024088,4782,15,1
1,NewOrder,1771524224.029036,8174,14,1
3,OrderStatus,1771524224.034075,3238,18,1
1,NewOrder,1771524224.039074,5455,17,1
1,NewOrder,1771524224.044077,4135,19,1
1,NewOrder,1771524224.049084,7163,23,1
2,Payment,1771524224.054051,2895,20,1
1,NewOrder,1771524224.059077,4291,21,1
2,Payment,1771524224.064081,2377,4,1
5,StockLevel,1771524224.069077,4540,2,1
3,OrderStatus,1771524224.074022,1927,1,1
5,StockLevel,1771524224.079038,5363,3,1
1,NewOrder,1771524224.084072,5951,8,1
2,Payment,1771524224.089072,3105,0,1
4,Delivery,1771524224.094075,20105,5,1
2,Payment,1771524224.099078,3727,22,1
1,NewOrder,1771524224.104075,6051,9,1
2,Payment,1771524224.109075,3909,10,1
2,Payment,1771524224.114080,3279,7,1
2,Payment,1771524224.118983,2740,6,1
2,Payment,1771524224.124070,2605,13,1
4,Delivery,1771524224.129077,3149,12,1
2,Payment,1771524224.134030,3377,16,1
2,Payment,1771524224.139074,4306,15,1
1,NewOrder,1771524224.144074,7788,11,1
2,Payment,1771524224.149067,2368,14,1
3,OrderStatus,1771524224.154039,2665,18,1
2,Payment,1771524224.159020,2489,17,1
2,Payment,1771524224.164072,3392,19,1
2,Payment,1771524224.169073,4254,23,1
4,Delivery,1771524224.174075,12555,20,1
1,NewOrder,1771524224.179082,7139,21,1
1,NewOrder,1771524224.184080,10291,4,1
1,NewOrder,1771524224.189020,3664,2,1
1,NewOrder,1771524224.194035,3845,1,1
2,Payment,1771524224.199098,2240,3,1
2,Payment,1771524224.204109,2870,8,1
1,NewOrder,1771524224.209081,7696,0,1
1,NewOrder,1771524224.214083,7360,22,1
2,Payment,1771524224.219087,3527,9,1
2,Payment,1771524224.224074,2981,10,1
2,Payment,1771524224.229082,4238,5,1
1,NewOrder,1771524224.234080,6692,7,1
2,Payment,1771524224.239080,3367,6,1
1,NewOrder,1771524224.244085,5529,13,1
2,Payment,1771524224.249080,3187,12,1
2,Payment,1771524224.254105,2694,16,1
1,NewOrder,1771524224.259080,4308,15,1
2,Payment,1771524224.264082,2300,14,1
1,NewOrder,1771524224.269023,6383,11,1
1,NewOrder,1771524224.274045,10179,18,1
2,Payment,1771524224.279028,2756,17,1
1,NewOrder,1771524224.284027,6381,19,1
2,Payment,1771524224.289082,2465,23,1
1,NewOrder,1771524224.294043,5334,21,1
2,Payment,1771524224.299074,2818,20,1
2,Payment,1771524224.304101,2407,2,1
2,Payment,1771524224.309190,2963,4,1
2,Payment,1771524224.314081,3076,1,1
1,NewOrder,1771524224.319081,7344,3,1
2,Payment,1771524224.324074,2854,8,1
1,NewOrder,1771524224.329070,4060,0,1
1,NewOrder,1771524224.334071,5034,22,1
2,Payment,1771524224.339153,3689,9,1
5,StockLevel,1771524224.344119,5161,10,1
3,OrderStatus,1771524224.349092,2340,5,1
2,Payment,1771524224.354077,2756,7,1
1,NewOrder,1771524224.359129,12706,6,1
1,NewOrder,1771524224.364075,4598,13,1
1,NewOrder,1771524224.369081,5061,12,1
1,NewOrder,1771524224.374071,4872,16,1
1,NewOrder,1771524224.379077,4825,15,1
2,Payment,1771524224.384067,2144,14,1
2,Payment,1771524224.389018,3295,11,1
2,Payment,1771524224.394038,2468,17,1
2,Payment,1771524224.399077,2674,18,1
1,NewOrder,1771524224.404023,4401,19,1
1,NewOrder,1771524224.409076,5914,23,1
1,NewOrder,1771524224.414039,6108,21,1
2,Payment,1771524224.419087,3158,20,1
2,Payment,1771524224.424072,2120,2,1
2,Payment,1771524224.429077,4200,4,1
2,Payment,1771524224.434018,2632,1,1
2,Payment,1771524224.439076,3189,3,1
2,Payment,1771524224.444074,2520,8,1
2,Payment,1771524224.449070,2956,0,1
1,NewOrder,1771524224.454075,5297,22,1
1,NewOrder,1771524224.459153,6136,9,1
3,OrderStatus,1771524224.464154,2733,10,1
1,NewOrder,1771524224.469158,5751,5,1
1,NewOrder,1771524224.474153,5981,7,1
2,Payment,1771524224.479023,2524,13,1
1,NewOrder,1771524224.484066,6490,6,1
2,Payment,1771524224.489150,3160,12,1
2,Payment,1771524224.494157,2825,16,1
3,OrderStatus,1771524224.499157,2183,15,1
2,Payment,1771524224.504149,3229,14,1
2,Payment,1771524224.508989,3107,11,1
2,Payment,1771524224.513996,2536,17,1
5,StockLevel,1771524224.519072,3401,18,1
3,OrderStatus,1771524224.524069,1856,19,1
2,Payment,1771524224.529074,2906,23,1
1,NewOrder,1771524224.534055,6448,21,1
4,Delivery,1771524224.539085,9035,20,1
3,OrderStatus,1771524224.544155,2412,2,1
2,Payment,1771524224.549094,2613,4,1
2,Payment,1771524224.553984,2672,1,1
2,Payment,1771524224.559082,2845,3,1
1,NewOrder,1771524224.564081,4063,8,1
1,NewOrder,1771524224.569083,5220,0,1
1,NewOrder,1771524224.574084,6281,22,1
1,NewOrder,1771524224.579083,4807,9,1
1,NewOrder,1771524224.584082,6095,10,1
2,Payment,1771524224.589089,3326,5,1
1,NewOrder,1771524224.594002,5356,7,1
1,NewOrder,1771524224.599159,8242,13,1
2,Payment,1771524224.604160,2775,6,1
1,NewOrder,1771524224.609158,7349,12,1
2,Payment,1771524224.614089,2761,16,1
1,NewOrder,1771524224.619084,4520,15,1
2,Payment,1771524224.624077,2982,14,1
1,NewOrder,1771524224.629027,5862,11,1
2,Payment,1771524224.634050,2572,17,1
1,NewOrder,1771524224.639043,4595,18,1
2,Payment,1771524224.644026,3085,19,1
1,NewOrder,1771524224.649085,8322,23,1
2,Payment,1771524224.654007,3715,21,1
2,Payment,1771524224.659045,3260,2,1
2,Payment,1771524224.664079,2768,20,1
2,Payment,1771524224.669075,2504,4,1
4,Delivery,1771524224.674040,6301,1,1
1,NewOrder,1771524224.679080,4447,3,1
1,NewOrder,1771524224.684078,6387,8,1
2,Payment,1771524224.689073,3260,0,1
2,Payment,1771524224.694076,2174,22,1
2,Payment,1771524224.699081,3146,9,1
2,Payment,1771524224.704078,2603,10,1
1,NewOrder,1771524224.709044,7274,5,1
2,Payment,1771524224.714073,2914,7,1
2,Payment,1771524224.719069,2081,6,1
1,NewOrder,1771524224.724093,6239,13,1
5,StockLevel,1771524224.729120,3713,12,1
1,NewOrder,1771524224.734081,4669,16,1
4,Delivery,1771524224.739075,8984,15,1
1,NewOrder,1771524224.744067,5088,14,1
2,Payment,1771524224.749019,2547,11,1
1,NewOrder,1771524224.754082,3438,17,1
4,Delivery,1771524224.759076,1955,18,1
2,Payment,1771524224.764016,2393,19,1
1,NewOrder,1771524224.769082,6098,23,1
2,Payment,1771524224.774042,2705,21,1
1,NewOrder,1771524224.779084,4466,2,1
1,NewOrder,1771524224.784080,6242,20,1
3,OrderStatus,1771524224.789082,1870,4,1
2,Payment,1771524224.794041,3121,1,1
4,Delivery,1771524224.799087,13040,3,1
1,NewOrder,1771524224.804092,7618,8,1
2,Payment,1771524224.809078,3349,0,1
1,NewOrder,1771524224.814080,3816,22,1
2,Payment,1771524224.819036,2681,9,1
2,Payment,1771524224.824070,2481,10,1
2,Payment,1771524224.829079,2758,5,1
1,NewOrder,1771524224.834033,4996,7,1
2,Payment,1771524224.839052,2078,7,1
1,NewOrder,1771524224.844146,4643,13,1
1,NewOrder,1771524224.849068,5603,12,1
2,Payment,1771524224.854145,2689,16,1
1,NewOrder,1771524224.859151,5523,15,1
1,NewOrder,1771524224.864073,3989,14,1
2,Payment,1771524224.869144,2487,11,1
1,NewOrder,1771524224.874110,6425,17,1
1,NewOrder,1771524224.879072,5900,18,1
1,NewOrder,1771524224.884078,4131,19,1
2,Payment,1771524224.889077,2799,23,1
2,Payment,1771524224.894069,2013,21,1
1,NewOrder,1771524224.899150,7341,2,1
2,Payment,1771524224.904156,2664,20,1
1,NewOrder,1771524224.909155,4916,4,1
1,NewOrder,1771524224.914030,7135,1,1
2,Payment,1771524224.919092,3221,8,1
2,Payment,1771524224.924155,2783,3,1
1,NewOrder,1771524224.929158,5718,0,1
1,NewOrder,1771524224.934159,6699,22,1
1,NewOrder,1771524224.939161,4556,9,1
2,Payment,1771524224.944086,2361,10,1
2,Payment,1771524224.949161,3545,5,1
2,Payment,1771524224.954118,2184,6,1
2,Payment,1771524224.959158,2579,7,1
2,Payment,1771524224.964158,3010,13,1
1,NewOrder,1771524224.969026,6109,12,1
1,NewOrder,1771524224.974059,5017,16,1
2,Payment,1771524224.979129,3303,15,1
1,NewOrder,1771524224.984233,7489,14,1
1,NewOrder,1771524224.989080,5403,11,1
2,Payment,1771524224.994083,2541,17,1
1,NewOrder,1771524224.999153,8095,18,1
1,NewOrder,1771524225.004117,4468,19,1
2,Payment,1771524225.009147,2963,23,1
1,NewOrder,1771524225.014101,7470,21,1
2,Payment,1771524225.019146,3501,2,1
2,Payment,1771524225.024148,2467,20,1
1,NewOrder,1771524225.029144,5059,4,1
2,Payment,1771524225.034036,3070,1,1
2,Payment,1771524225.039141,2708,8,1
1,NewOrder,1771524225.044150,4985,3,1
1,NewOrder,1771524225.049147,4677,0,1
2,Payment,1771524225.054094,3298,22,1
1,NewOrder,1771524225.059143,5075,9,1
2,Payment,1771524225.064148,3130,10,1
1,NewOrder,1771524225.069150,6592,5,1
2,Payment,1771524225.073978,2327,6,1
2,Payment,1771524225.079141,2416,7,1
2,Payment,1771524225.084143,3056,13,1
1,NewOrder,1771524225.089138,5661,12,1
1,NewOrder,1771524225.094100,3943,16,1
