Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1771520577.060620,90558,3,1
1,NewOrder,1771520577.065148,119426,6,1
1,NewOrder,1771520577.070089,116032,2,1
1,NewOrder,1771520577.096770,52079,0,1
1,NewOrder,1771520577.096786,77246,5,1
1,NewOrder,1771520577.096795,55106,4,1
2,Payment,1771520577.096821,41865,7,1
1,NewOrder,1771520577.097356,90356,1,1
1,NewOrder,1771520577.100107,86084,9,1
1,NewOrder,1771520577.105103,83196,10,1
2,Payment,1771520577.110049,35148,8,1
1,NewOrder,1771520577.115049,36583,16,1
2,Payment,1771520577.120059,8533,13,1
2,Payment,1771520577.125160,10588,12,1
2,Payment,1771520577.130085,27965,15,1
2,Payment,1771520577.135127,32957,14,1
1,NewOrder,1771520577.140073,23606,18,1
2,Payment,1771520577.145057,29055,17,1
2,Payment,1771520577.150075,10298,11,1
2,Payment,1771520577.155075,8121,21,1
2,Payment,1771520577.160070,12173,22,1
1,NewOrder,1771520577.165069,18471,20,1
2,Payment,1771520577.170088,8794,19,1
1,NewOrder,1771520577.175079,23079,13,1
1,NewOrder,1771520577.180193,17717,12,1
2,Payment,1771520577.185066,3922,7,1
1,NewOrder,1771520577.190076,17145,8,1
1,NewOrder,1771520577.195120,9625,0,1
1,NewOrder,1771520577.200114,9714,3,1
2,Payment,1771520577.205162,5593,16,1
5,StockLevel,1771520577.210064,4802,4,1
2,Payment,1771520577.215174,6458,15,1
2,Payment,1771520577.220123,6535,11,1
1,NewOrder,1771520577.225173,14694,21,1
1,NewOrder,1771520577.230090,12899,18,1
2,Payment,1771520577.235153,5066,14,1
1,NewOrder,1771520577.240120,20328,22,1
1,NewOrder,1771520577.245157,7146,5,1
1,NewOrder,1771520577.250101,21078,17,1
1,NewOrder,1771520577.255122,19491,19,1
2,Payment,1771520577.260151,5937,20,1
2,Payment,1771520577.265174,5823,6,1
2,Payment,1771520577.270086,4077,2,1
1,NewOrder,1771520577.275116,7778,9,1
1,NewOrder,1771520577.280180,8013,1,1
1,NewOrder,1771520577.285156,7086,10,1
2,Payment,1771520577.290089,5191,7,1
2,Payment,1771520577.295148,7092,23,1
1,NewOrder,1771520577.300180,9879,12,1
1,NewOrder,1771520577.305178,7670,13,1
5,StockLevel,1771520577.310115,4287,12,1
1,NewOrder,1771520577.315175,9184,8,1
4,Delivery,1771520577.320180,17058,3,1
2,Payment,1771520577.325181,3555,16,1
3,OrderStatus,1771520577.330130,7521,4,1
1,NewOrder,1771520577.335184,15125,15,1
2,Payment,1771520577.340185,3134,11,1
5,StockLevel,1771520577.345188,3989,21,1
2,Payment,1771520577.350136,4409,14,1
2,Payment,1771520577.355189,6931,18,1
1,NewOrder,1771520577.360185,7347,5,1
2,Payment,1771520577.365187,4121,22,1
1,NewOrder,1771520577.370188,6664,20,1
2,Payment,1771520577.375205,6040,6,1
1,NewOrder,1771520577.380202,9168,17,1
2,Payment,1771520577.385185,5918,2,1
1,NewOrder,1771520577.390147,4979,19,1
2,Payment,1771520577.395164,3284,19,1
2,Payment,1771520577.400142,5541,1,1
1,NewOrder,1771520577.405197,12524,10,1
1,NewOrder,1771520577.410093,15882,7,1
1,NewOrder,1771520577.415080,15587,23,1
1,NewOrder,1771520577.420129,9735,0,1
2,Payment,1771520577.425138,3909,13,1
3,OrderStatus,1771520577.430077,2135,12,1
2,Payment,1771520577.435180,4074,8,1
1,NewOrder,1771520577.440154,6067,16,1
2,Payment,1771520577.445180,5466,3,1
1,NewOrder,1771520577.450132,11975,4,1
1,NewOrder,1771520577.455177,14574,11,1
2,Payment,1771520577.460177,3695,21,1
2,Payment,1771520577.465173,2763,15,1
3,OrderStatus,1771520577.470096,4226,14,1
1,NewOrder,1771520577.475244,7091,18,1
1,NewOrder,1771520577.480178,7121,5,1
