Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1770911061.937074,333981,2,1
2,Payment,1770911061.941340,133302,6,1
1,NewOrder,1770911061.946427,301764,0,1
1,NewOrder,1770911061.983446,228267,3,1
1,NewOrder,1770911061.983471,256998,5,1
2,Payment,1770911061.983519,135486,9,1
2,Payment,1770911061.983569,175741,8,1
1,NewOrder,1770911061.983595,239619,7,1
2,Payment,1770911061.984660,88628,4,1
1,NewOrder,1770911061.984690,220318,1,1
1,NewOrder,1770911061.986358,251373,10,1
2,Payment,1770911061.991407,111360,12,1
2,Payment,1770911061.996423,120438,13,1
1,NewOrder,1770911062.001314,300215,14,1
1,NewOrder,1770911062.006374,237936,15,1
2,Payment,1770911062.011399,128948,11,1
2,Payment,1770911062.016362,119305,16,1
4,Delivery,1770911062.021715,396628,17,1
1,NewOrder,1770911062.026425,259353,18,1
2,Payment,1770911062.031425,84514,19,1
1,NewOrder,1770911062.036311,260913,20,1
1,NewOrder,1770911062.041390,282621,21,1
1,NewOrder,1770911062.046447,281072,22,1
1,NewOrder,1770911062.073580,253998,4,1
2,Payment,1770911062.074743,97362,6,1
2,Payment,1770911062.090936,67198,23,1
1,NewOrder,1770911062.102849,286329,12,1
1,NewOrder,1770911062.116121,248189,19,1
1,NewOrder,1770911062.116987,234999,13,1
4,Delivery,1770911062.119078,207032,9,1
1,NewOrder,1770911062.135796,224743,16,1
1,NewOrder,1770911062.140432,139324,11,1
2,Payment,1770911062.158195,44082,23,1
1,NewOrder,1770911062.159391,170099,8,1
1,NewOrder,1770911062.172154,226030,6,1
1,NewOrder,1770911062.202327,275668,23,1
2,Payment,1770911062.205092,64411,1,1
1,NewOrder,1770911062.211795,115788,3,1
2,Payment,1770911062.223292,63120,7,1
2,Payment,1770911062.237807,66449,10,1
1,NewOrder,1770911062.240569,103814,5,1
2,Payment,1770911062.244390,84996,15,1
2,Payment,1770911062.248270,88036,0,1
4,Delivery,1770911062.269571,131774,1,1
2,Payment,1770911062.271134,77879,2,1
2,Payment,1770911062.279810,86327,11,1
1,NewOrder,1770911062.285855,84389,18,1
2,Payment,1770911062.286472,88723,7,1
1,NewOrder,1770911062.297303,108167,20,1
2,Payment,1770911062.301607,61236,14,1
2,Payment,1770911062.304310,51223,10,1
2,Payment,1770911062.324160,43643,21,1
1,NewOrder,1770911062.326177,218530,9,1
1,NewOrder,1770911062.327605,145231,22,1
2,Payment,1770911062.327638,47027,4,1
2,Payment,1770911062.327642,87649,3,1
2,Payment,1770911062.329429,41488,15,1
2,Payment,1770911062.329539,63150,8,1
1,NewOrder,1770911062.336360,111156,0,1
1,NewOrder,1770911062.344436,164036,5,1
1,NewOrder,1770911062.349066,104596,2,1
2,Payment,1770911062.352037,59443,13,1
2,Payment,1770911062.355583,44549,10,1
1,NewOrder,1770911062.360591,99851,16,1
2,Payment,1770911062.362893,70479,14,1
1,NewOrder,1770911062.364360,110063,19,1
2,Payment,1770911062.366200,18829,11,1
2,Payment,1770911062.367863,64229,21,1
1,NewOrder,1770911062.370299,141320,18,1
1,NewOrder,1770911062.370953,152620,15,1
2,Payment,1770911062.374719,61267,4,1
1,NewOrder,1770911062.375236,97694,7,1
1,NewOrder,1770911062.385084,113773,11,1
1,NewOrder,1770911062.389232,108528,12,1
2,Payment,1770911062.392742,42686,8,1
1,NewOrder,1770911062.398255,127120,6,1
2,Payment,1770911062.400181,44633,10,1
3,OrderStatus,1770911062.401390,39708,1,1
2,Payment,1770911062.405529,65012,20,1
2,Payment,1770911062.411536,44279,13,1
2,Payment,1770911062.415338,47272,3,1
1,NewOrder,1770911062.418429,160108,17,1
