Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1770911743.309745,74979,5,1
5,StockLevel,1770911743.314300,42885,7,1
2,Payment,1770911743.343585,30074,1,1
4,Delivery,1770911743.343610,50522,2,1
1,NewOrder,1770911743.343625,62839,0,1
2,Payment,1770911743.343658,64198,4,1
2,Payment,1770911743.343812,53479,3,1
4,Delivery,1770911743.344293,57801,8,1
1,NewOrder,1770911743.349256,58036,6,1
1,NewOrder,1770911743.354340,53181,9,1
2,Payment,1770911743.359324,15879,11,1
2,Payment,1770911743.364348,20040,10,1
3,OrderStatus,1770911743.369328,13657,13,1
3,OrderStatus,1770911743.374305,13869,12,1
1,NewOrder,1770911743.379307,31850,18,1
2,Payment,1770911743.384294,14433,14,1
3,OrderStatus,1770911743.389287,10877,16,1
1,NewOrder,1770911743.394318,30930,15,1
5,StockLevel,1770911743.399308,13866,17,1
2,Payment,1770911743.404362,10458,20,1
1,NewOrder,1770911743.409326,16462,23,1
1,NewOrder,1770911743.414304,23176,21,1
1,NewOrder,1770911743.419285,22105,22,1
2,Payment,1770911743.424483,8632,7,1
1,NewOrder,1770911743.429396,11308,19,1
2,Payment,1770911743.434300,4065,1,1
1,NewOrder,1770911743.439365,21335,11,1
1,NewOrder,1770911743.444362,28666,13,1
1,NewOrder,1770911743.449322,22189,10,1
2,Payment,1770911743.454314,5864,5,1
2,Payment,1770911743.459294,6284,12,1
2,Payment,1770911743.464293,9921,2,1
1,NewOrder,1770911743.469281,15771,3,1
1,NewOrder,1770911743.474276,13346,2,1
2,Payment,1770911743.479355,7968,16,1
1,NewOrder,1770911743.484299,14404,8,1
1,NewOrder,1770911743.489326,12984,0,1
2,Payment,1770911743.494383,5845,6,1
1,NewOrder,1770911743.499281,7072,9,1
2,Payment,1770911743.504350,4629,4,1
1,NewOrder,1770911743.509323,9940,18,1
1,NewOrder,1770911743.514322,12816,17,1
2,Payment,1770911743.519329,26092,18,1
2,Payment,1770911743.524287,5908,15,1
2,Payment,1770911743.529370,24031,23,1
1,NewOrder,1770911743.534309,21714,7,1
2,Payment,1770911743.539357,19357,21,1
2,Payment,1770911743.544361,9725,1,1
1,NewOrder,1770911743.549310,10175,19,1
2,Payment,1770911743.554297,8960,22,1
2,Payment,1770911743.559290,4280,5,1
2,Payment,1770911743.564357,4383,11,1
2,Payment,1770911743.569364,3971,12,1
1,NewOrder,1770911743.574316,8415,10,1
1,NewOrder,1770911743.579349,9881,13,1
5,StockLevel,1770911743.584353,4355,14,1
1,NewOrder,1770911743.589272,12845,3,1
1,NewOrder,1770911743.594317,16861,16,1
1,NewOrder,1770911743.599366,12654,2,1
2,Payment,1770911743.604356,5953,8,1
1,NewOrder,1770911743.609325,8420,6,1
3,OrderStatus,1770911743.614365,4722,0,1
2,Payment,1770911743.619286,6787,9,1
2,Payment,1770911743.624373,5346,4,1
2,Payment,1770911743.629453,6628,20,1
1,NewOrder,1770911743.634432,9809,17,1
1,NewOrder,1770911743.639475,7371,15,1
1,NewOrder,1770911743.644473,6871,18,1
1,NewOrder,1770911743.649414,8292,23,1
3,OrderStatus,1770911743.654441,5781,1,1
2,Payment,1770911743.659488,4914,7,1
2,Payment,1770911743.664445,4216,7,1
1,NewOrder,1770911743.669372,11552,19,1
2,Payment,1770911743.674356,5851,22,1
2,Payment,1770911743.679476,4074,5,1
2,Payment,1770911743.684476,5160,11,1
2,Payment,1770911743.689420,5089,12,1
3,OrderStatus,1770911743.694387,3792,10,1
1,NewOrder,1770911743.699484,12001,14,1
1,NewOrder,1770911743.704493,9004,13,1
2,Payment,1770911743.709379,4759,3,1
2,Payment,1770911743.714455,3551,8,1
2,Payment,1770911743.719483,4301,16,1
2,Payment,1770911743.724493,5246,2,1
2,Payment,1770911743.729504,3948,6,1
1,NewOrder,1770911743.734417,9589,0,1
2,Payment,1770911743.739500,4744,9,1
2,Payment,1770911743.744419,4646,4,1
2,Payment,1770911743.749446,4016,20,1
1,NewOrder,1770911743.754489,13172,17,1
2,Payment,1770911743.759445,3125,15,1
1,NewOrder,1770911743.764484,6345,18,1
2,Payment,1770911743.769405,3045,23,1
2,Payment,1770911743.774511,4223,1,1
1,NewOrder,1770911743.779423,7628,21,1
1,NewOrder,1770911743.784432,12168,7,1
2,Payment,1770911743.789343,2551,22,1
1,NewOrder,1770911743.794389,5428,19,1
2,Payment,1770911743.799515,4436,5,1
2,Payment,1770911743.804525,6407,11,1
2,Payment,1770911743.809465,5125,12,1
1,NewOrder,1770911743.814430,8386,10,1
1,NewOrder,1770911743.819444,8763,14,1
2,Payment,1770911743.824366,4658,13,1
4,Delivery,1770911743.829457,13961,3,1
2,Payment,1770911743.834412,3105,8,1
2,Payment,1770911743.839363,3815,16,1
2,Payment,1770911743.844449,4217,2,1
3,OrderStatus,1770911743.849343,4094,6,1
5,StockLevel,1770911743.854332,5244,0,1
1,NewOrder,1770911743.859466,7241,9,1
1,NewOrder,1770911743.864434,17561,4,1
2,Payment,1770911743.869422,3991,20,1
4,Delivery,1770911743.874481,14575,15,1
1,NewOrder,1770911743.879446,6055,17,1
1,NewOrder,1770911743.884458,7663,18,1
2,Payment,1770911743.889370,3031,23,1
2,Payment,1770911743.894418,3718,1,1
5,StockLevel,1770911743.899398,4082,21,1
1,NewOrder,1770911743.904414,6554,22,1
1,NewOrder,1770911743.909518,11752,7,1
1,NewOrder,1770911743.914489,6438,19,1
2,Payment,1770911743.919480,5307,5,1
2,Payment,1770911743.924475,4068,11,1
3,OrderStatus,1770911743.929402,2091,12,1
1,NewOrder,1770911743.934478,10342,10,1
2,Payment,1770911743.939691,3940,14,1
2,Payment,1770911743.944429,4496,13,1
1,NewOrder,1770911743.949431,11963,8,1
1,NewOrder,1770911743.954490,6337,16,1
1,NewOrder,1770911743.959435,9055,3,1
2,Payment,1770911743.964585,4049,2,1
1,NewOrder,1770911743.969413,6076,6,1
1,NewOrder,1770911743.974397,8369,0,1
5,StockLevel,1770911743.979473,4317,9,1
2,Payment,1770911743.984475,4674,20,1
1,NewOrder,1770911743.989417,8978,4,1
2,Payment,1770911743.994478,8535,17,1
2,Payment,1770911743.999481,7038,15,1
1,NewOrder,1770911744.004470,8312,18,1
1,NewOrder,1770911744.009406,6196,23,1
1,NewOrder,1770911744.014482,9719,1,1
1,NewOrder,1770911744.019393,5153,21,1
1,NewOrder,1770911744.024387,4289,22,1
2,Payment,1770911744.029474,4353,19,1
1,NewOrder,1770911744.034472,6108,7,1
1,NewOrder,1770911744.039482,17018,5,1
1,NewOrder,1770911744.044472,7909,11,1
2,Payment,1770911744.049494,6031,12,1
2,Payment,1770911744.054491,4928,14,1
1,NewOrder,1770911744.059408,7810,10,1
2,Payment,1770911744.064384,3711,13,1
2,Payment,1770911744.069377,3501,16,1
1,NewOrder,1770911744.074432,11424,8,1
1,NewOrder,1770911744.079477,9847,3,1
1,NewOrder,1770911744.084480,6638,2,1
1,NewOrder,1770911744.089415,8459,6,1
1,NewOrder,1770911744.094400,4716,0,1
2,Payment,1770911744.099486,4048,9,1
1,NewOrder,1770911744.104473,11918,20,1
2,Payment,1770911744.109401,4970,4,1
1,NewOrder,1770911744.114426,6638,17,1
2,Payment,1770911744.119485,2873,15,1
5,StockLevel,1770911744.124490,6809,18,1
2,Payment,1770911744.129412,4715,23,1
1,NewOrder,1770911744.134485,10817,1,1
2,Payment,1770911744.139509,4983,21,1
2,Payment,1770911744.144402,3340,22,1
1,NewOrder,1770911744.149478,4971,19,1
2,Payment,1770911744.154418,3348,7,1
3,OrderStatus,1770911744.159406,3978,11,1
5,StockLevel,1770911744.164486,8573,12,1
1,NewOrder,1770911744.169479,7198,5,1
1,NewOrder,1770911744.174502,12583,14,1
1,NewOrder,1770911744.179471,4992,10,1
4,Delivery,1770911744.184413,6848,13,1
1,NewOrder,1770911744.189411,9955,16,1
2,Payment,1770911744.194423,3011,8,1
2,Payment,1770911744.199399,4257,3,1
1,NewOrder,1770911744.204487,8392,2,1
1,NewOrder,1770911744.209430,12181,6,1
1,NewOrder,1770911744.214395,6068,0,1
4,Delivery,1770911744.219477,21036,9,1
2,Payment,1770911744.224473,3193,4,1
1,NewOrder,1770911744.229406,5860,20,1
2,Payment,1770911744.234419,3270,17,1
3,OrderStatus,1770911744.239413,3973,15,1
1,NewOrder,1770911744.244465,7412,18,1
2,Payment,1770911744.249402,5256,23,1
2,Payment,1770911744.254477,3803,21,1
1,NewOrder,1770911744.259500,12463,1,1
2,Payment,1770911744.264398,2608,22,1
5,StockLevel,1770911744.269388,2143,19,1
3,OrderStatus,1770911744.274476,2593,7,1
5,StockLevel,1770911744.279475,3307,11,1
2,Payment,1770911744.284483,4588,12,1
2,Payment,1770911744.289456,5367,5,1
1,NewOrder,1770911744.294415,10940,10,1
2,Payment,1770911744.299480,2991,14,1
2,Payment,1770911744.304406,3362,13,1
2,Payment,1770911744.309429,5082,8,1
3,OrderStatus,1770911744.314478,3093,16,1
2,Payment,1770911744.319475,5077,3,1
2,Payment,1770911744.324505,4568,2,1
2,Payment,1770911744.329398,3488,0,1
2,Payment,1770911744.334487,4560,6,1
2,Payment,1770911744.339480,3754,4,1
1,NewOrder,1770911744.344480,10986,20,1
2,Payment,1770911744.349414,4717,17,1
1,NewOrder,1770911744.354411,9866,9,1
1,NewOrder,1770911744.359484,9254,15,1
2,Payment,1770911744.364396,3500,18,1
2,Payment,1770911744.369367,4043,23,1
1,NewOrder,1770911744.374493,8357,21,1
1,NewOrder,1770911744.379397,3774,22,1
2,Payment,1770911744.384389,3113,19,1
1,NewOrder,1770911744.389442,8788,1,1
2,Payment,1770911744.394485,3953,7,1
1,NewOrder,1770911744.399419,11220,11,1
1,NewOrder,1770911744.405466,25961,12,1
1,NewOrder,1770911744.409610,6299,5,1
1,NewOrder,1770911744.414526,8603,14,1
