Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1772389112.344142,203426,23,1
2,Payment,1772389112.344143,95540,6,1
2,Payment,1772389112.344143,99615,5,1
2,Payment,1772389112.344144,129811,2,1
2,Payment,1772389112.344145,119331,21,1
2,Payment,1772389112.344149,120253,3,1
1,NewOrder,1772389112.344163,116057,1,1
2,Payment,1772389112.344193,91787,4,1
2,Payment,1772389112.344224,113067,0,1
1,NewOrder,1772389112.344241,143589,8,1
5,StockLevel,1772389112.344252,73933,9,1
2,Payment,1772389112.344271,135117,11,1
2,Payment,1772389112.344296,144549,10,1
1,NewOrder,1772389112.344321,117215,15,1
1,NewOrder,1772389112.344343,182359,14,1
1,NewOrder,1772389112.344373,146484,12,1
1,NewOrder,1772389112.344389,109997,13,1
1,NewOrder,1772389112.344402,113970,17,1
2,Payment,1772389112.344420,96684,16,1
1,NewOrder,1772389112.344440,141057,19,1
2,Payment,1772389112.344455,98530,22,1
2,Payment,1772389112.344475,135166,7,1
5,StockLevel,1772389112.344497,73747,20,1
2,Payment,1772389112.344509,84147,18,1
1,NewOrder,1772389112.418464,93320,9,1
1,NewOrder,1772389112.418468,60337,20,1
1,NewOrder,1772389112.428724,98681,18,1
2,Payment,1772389112.436119,53376,4,1
1,NewOrder,1772389112.439763,63829,6,1
2,Payment,1772389112.441165,8726,16,1
2,Payment,1772389112.443051,60431,22,1
1,NewOrder,1772389112.443832,82871,5,1
1,NewOrder,1772389112.449929,63564,16,1
1,NewOrder,1772389112.454447,23913,13,1
2,Payment,1772389112.457320,22643,0,1
3,OrderStatus,1772389112.458437,6491,17,1
1,NewOrder,1772389112.460278,51721,1,1
3,OrderStatus,1772389112.461562,14031,15,1
4,Delivery,1772389112.463537,57324,21,1
1,NewOrder,1772389112.464431,39011,3,1
5,StockLevel,1772389112.464965,32349,17,1
1,NewOrder,1772389112.474018,75810,2,1
1,NewOrder,1772389112.475612,47118,15,1
1,NewOrder,1772389112.478376,25961,13,1
2,Payment,1772389112.478827,35300,20,1
2,Payment,1772389112.479456,14340,11,1
3,OrderStatus,1772389112.479669,16054,7,1
2,Payment,1772389112.480009,23618,0,1
1,NewOrder,1772389112.485581,39328,19,1
2,Payment,1772389112.487858,23222,8,1
2,Payment,1772389112.488889,14650,10,1
2,Payment,1772389112.489541,21572,4,1
1,NewOrder,1772389112.490917,105053,12,1
4,Delivery,1772389112.493838,78007,11,1
4,Delivery,1772389112.495762,76487,7,1
2,Payment,1772389112.497351,11568,17,1
1,NewOrder,1772389112.503487,14434,3,1
2,Payment,1772389112.503523,23304,22,1
1,NewOrder,1772389112.503578,45519,10,1
2,Payment,1772389112.503672,11510,0,1
1,NewOrder,1772389112.504020,23331,6,1
2,Payment,1772389112.504368,22249,13,1
1,NewOrder,1772389112.508961,17537,17,1
2,Payment,1772389112.511119,4699,8,1
2,Payment,1772389112.511156,15603,4,1
2,Payment,1772389112.511822,11501,9,1
2,Payment,1772389112.512049,33090,1,1
2,Payment,1772389112.513546,37082,16,1
2,Payment,1772389112.514167,27833,20,1
1,NewOrder,1772389112.515218,45613,0,1
2,Payment,1772389112.515854,11640,8,1
3,OrderStatus,1772389112.517990,4006,3,1
2,Payment,1772389112.520895,30625,21,1
1,NewOrder,1772389112.522011,16195,3,1
2,Payment,1772389112.522771,34766,15,1
1,NewOrder,1772389112.523338,73066,9,1
2,Payment,1772389112.524948,20722,19,1
2,Payment,1772389112.526540,20457,17,1
1,NewOrder,1772389112.526653,93737,13,1
2,Payment,1772389112.526723,27837,5,1
1,NewOrder,1772389112.526796,20580,4,1
2,Payment,1772389112.526827,55514,14,1
1,NewOrder,1772389112.526855,22001,22,1
1,NewOrder,1772389112.527390,15261,6,1
1,NewOrder,1772389112.527441,9460,18,1
1,NewOrder,1772389112.527520,24559,8,1
2,Payment,1772389112.536949,32283,18,1
1,NewOrder,1772389112.538248,56129,3,1
3,OrderStatus,1772389112.542041,18766,20,1
2,Payment,1772389112.542682,31679,6,1
3,OrderStatus,1772389112.545162,7838,1,1
2,Payment,1772389112.545688,12174,19,1
2,Payment,1772389112.547049,21178,17,1
1,NewOrder,1772389112.547421,54150,4,1
1,NewOrder,1772389112.547645,27250,23,1
1,NewOrder,1772389112.548901,35300,22,1
2,Payment,1772389112.549137,27778,10,1
2,Payment,1772389112.549871,11838,2,1
2,Payment,1772389112.550668,11540,16,1
5,StockLevel,1772389112.551571,38976,21,1
2,Payment,1772389112.552118,39109,8,1
2,Payment,1772389112.553033,16061,1,1
1,NewOrder,1772389112.554606,10560,5,1
1,NewOrder,1772389112.557581,9989,15,1
3,OrderStatus,1772389112.557905,2687,19,1
2,Payment,1772389112.560637,11675,19,1
1,NewOrder,1772389112.560845,35527,20,1
2,Payment,1772389112.560886,38689,0,1
1,NewOrder,1772389112.561748,11353,2,1
2,Payment,1772389112.562255,10732,16,1
1,NewOrder,1772389112.565204,14632,5,1
2,Payment,1772389112.567612,19289,15,1
2,Payment,1772389112.568276,27574,17,1
2,Payment,1772389112.569132,35073,1,1
1,NewOrder,1772389112.569274,30715,18,1
2,Payment,1772389112.571892,14069,11,1
2,Payment,1772389112.572294,7857,7,1
1,NewOrder,1772389112.572346,7943,19,1
2,Payment,1772389112.573028,17803,16,1
1,NewOrder,1772389112.573143,71869,2,1
1,NewOrder,1772389112.574378,43480,6,1
2,Payment,1772389112.574930,42468,23,1
1,NewOrder,1772389112.576954,8395,10,1
2,Payment,1772389112.579878,32861,5,1
1,NewOrder,1772389112.580192,10986,7,1
1,NewOrder,1772389112.580306,25962,19,1
2,Payment,1772389112.582381,37616,14,1
3,OrderStatus,1772389112.584265,24755,22,1
1,NewOrder,1772389112.585396,50820,10,1
2,Payment,1772389112.585997,9221,11,1
3,OrderStatus,1772389112.586938,3469,15,1
1,NewOrder,1772389112.590447,45897,15,1
1,NewOrder,1772389112.590591,42203,21,1
1,NewOrder,1772389112.590873,39072,16,1
2,Payment,1772389112.591215,6549,7,1
2,Payment,1772389112.591260,10794,8,1
2,Payment,1772389112.594434,14493,3,1
1,NewOrder,1772389112.595268,115927,11,1
1,NewOrder,1772389112.595887,54352,17,1
1,NewOrder,1772389112.596005,32040,12,1
2,Payment,1772389112.596402,24520,20,1
4,Delivery,1772389112.596443,50126,9,1
1,NewOrder,1772389112.597791,12408,7,1
1,NewOrder,1772389112.599618,51685,0,1
