Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1772268731.354714,98333,23,1
2,Payment,1772268731.354715,67847,7,1
1,NewOrder,1772268731.354716,136678,2,1
1,NewOrder,1772268731.354717,127843,6,1
1,NewOrder,1772268731.354738,116988,1,1
1,NewOrder,1772268731.354750,129336,11,1
1,NewOrder,1772268731.355027,112582,15,1
2,Payment,1772268731.355030,136923,18,1
3,OrderStatus,1772268731.355199,65404,17,1
2,Payment,1772268731.355395,96649,12,1
2,Payment,1772268731.355601,76575,14,1
2,Payment,1772268731.355829,91405,0,1
2,Payment,1772268731.356035,118534,5,1
2,Payment,1772268731.356243,115149,10,1
1,NewOrder,1772268731.356451,97261,13,1
2,Payment,1772268731.356675,143240,9,1
2,Payment,1772268731.356907,143128,3,1
2,Payment,1772268731.357087,88725,8,1
4,Delivery,1772268731.357294,108863,20,1
2,Payment,1772268731.357518,54974,16,1
1,NewOrder,1772268731.357726,103505,4,1
1,NewOrder,1772268731.357939,99536,22,1
2,Payment,1772268731.358149,64670,21,1
1,NewOrder,1772268731.358364,108353,19,1
5,StockLevel,1772268731.412647,28965,16,1
4,Delivery,1772268731.420688,107897,17,1
1,NewOrder,1772268731.422730,77133,7,1
1,NewOrder,1772268731.422996,67538,21,1
2,Payment,1772268731.432216,36336,14,1
1,NewOrder,1772268731.441650,47013,16,1
1,NewOrder,1772268731.445893,63030,8,1
2,Payment,1772268731.447279,93496,0,1
1,NewOrder,1772268731.452130,47239,12,1
1,NewOrder,1772268731.453088,58552,23,1
2,Payment,1772268731.453788,35470,13,1
2,Payment,1772268731.457550,48889,22,1
2,Payment,1772268731.461295,107866,4,1
1,NewOrder,1772268731.466211,61599,20,1
2,Payment,1772268731.466754,83187,19,1
2,Payment,1772268731.467689,36645,15,1
1,NewOrder,1772268731.468572,62380,14,1
5,StockLevel,1772268731.471458,45762,10,1
2,Payment,1772268731.471799,56032,1,1
1,NewOrder,1772268731.474633,67390,5,1
2,Payment,1772268731.482691,38812,6,1
2,Payment,1772268731.484171,61747,11,1
1,NewOrder,1772268731.488727,27374,16,1
2,Payment,1772268731.489303,25893,13,1
1,NewOrder,1772268731.490583,26644,21,1
1,NewOrder,1772268731.491465,27022,2,1
2,Payment,1772268731.492032,26157,18,1
1,NewOrder,1772268731.499420,37982,12,1
1,NewOrder,1772268731.499917,43301,7,1
1,NewOrder,1772268731.499976,72534,9,1
2,Payment,1772268731.500120,83277,3,1
2,Payment,1772268731.504408,20967,15,1
1,NewOrder,1772268731.506483,26651,22,1
2,Payment,1772268731.508965,61286,8,1
1,NewOrder,1772268731.511689,48883,23,1
2,Payment,1772268731.515239,22952,13,1
1,NewOrder,1772268731.516143,29474,16,1
1,NewOrder,1772268731.517248,29937,21,1
1,NewOrder,1772268731.517262,69884,10,1
1,NewOrder,1772268731.518235,69440,18,1
1,NewOrder,1772268731.518525,26675,2,1
1,NewOrder,1772268731.521547,33936,6,1
