Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1772281684.864841,156474,4,1
2,Payment,1772281684.864841,91422,23,1
1,NewOrder,1772281684.864842,118791,2,1
2,Payment,1772281684.864843,78216,5,1
1,NewOrder,1772281684.864845,140053,3,1
1,NewOrder,1772281684.864849,54650,0,1
2,Payment,1772281684.864890,88678,1,1
4,Delivery,1772281684.865088,78850,6,1
2,Payment,1772281684.865299,89528,7,1
1,NewOrder,1772281684.865509,118066,8,1
1,NewOrder,1772281684.865731,157829,9,1
2,Payment,1772281684.865935,39689,12,1
2,Payment,1772281684.866160,94408,10,1
1,NewOrder,1772281684.866358,125147,11,1
4,Delivery,1772281684.866571,141767,14,1
3,OrderStatus,1772281684.866790,67684,15,1
1,NewOrder,1772281684.866997,149216,17,1
3,OrderStatus,1772281684.867210,93735,21,1
1,NewOrder,1772281684.867470,53528,13,1
1,NewOrder,1772281684.867649,53386,16,1
3,OrderStatus,1772281684.867849,58785,18,1
1,NewOrder,1772281684.868067,136177,20,1
4,Delivery,1772281684.868274,116885,19,1
1,NewOrder,1772281684.868803,147935,22,1
1,NewOrder,1772281684.905729,19207,12,1
3,OrderStatus,1772281684.919547,3279,0,1
2,Payment,1772281684.921029,22920,13,1
2,Payment,1772281684.921108,15180,16,1
1,NewOrder,1772281684.922845,34506,0,1
1,NewOrder,1772281684.924959,51396,12,1
2,Payment,1772281684.926664,33397,18,1
2,Payment,1772281684.934507,14400,15,1
1,NewOrder,1772281684.936309,19924,16,1
5,StockLevel,1772281684.943091,57303,5,1
1,NewOrder,1772281684.943971,77922,6,1
2,Payment,1772281684.943974,12279,13,1
1,NewOrder,1772281684.948927,69727,15,1
4,Delivery,1772281684.953598,56133,1,1
2,Payment,1772281684.954858,10640,7,1
2,Payment,1772281684.956251,28263,16,1
2,Payment,1772281684.956274,16172,13,1
2,Payment,1772281684.956286,26727,23,1
2,Payment,1772281684.957369,31168,0,1
1,NewOrder,1772281684.960079,106639,18,1
1,NewOrder,1772281684.960595,43036,10,1
1,NewOrder,1772281684.960969,79333,21,1
1,NewOrder,1772281684.965518,101167,7,1
1,NewOrder,1772281684.972462,42499,13,1
5,StockLevel,1772281684.976372,33393,12,1
2,Payment,1772281684.983030,13177,23,1
2,Payment,1772281684.983601,34211,8,1
2,Payment,1772281684.983676,22340,2,1
1,NewOrder,1772281684.984528,34537,16,1
3,OrderStatus,1772281684.985189,17447,19,1
4,Delivery,1772281684.988557,21662,0,1
5,StockLevel,1772281684.991535,38597,11,1
1,NewOrder,1772281684.996229,86736,23,1
1,NewOrder,1772281685.000428,71819,5,1
2,Payment,1772281685.002656,23356,19,1
1,NewOrder,1772281685.003650,23100,10,1
1,NewOrder,1772281685.004273,31101,20,1
2,Payment,1772281685.004923,17013,3,1
2,Payment,1772281685.006035,20607,2,1
2,Payment,1772281685.008369,22050,14,1
1,NewOrder,1772281685.009748,84398,1,1
2,Payment,1772281685.009784,24277,12,1
2,Payment,1772281685.010255,19068,0,1
1,NewOrder,1772281685.014982,32455,13,1
2,Payment,1772281685.016242,30120,17,1
1,NewOrder,1772281685.016765,58521,22,1
1,NewOrder,1772281685.017831,40398,8,1
2,Payment,1772281685.018672,23137,15,1
1,NewOrder,1772281685.019082,39119,16,1
1,NewOrder,1772281685.021344,26960,4,1
2,Payment,1772281685.021910,29031,6,1
1,NewOrder,1772281685.021956,54678,3,1
3,OrderStatus,1772281685.023590,16235,9,1
2,Payment,1772281685.026031,11659,19,1
1,NewOrder,1772281685.026661,31127,2,1
2,Payment,1772281685.026768,29785,10,1
1,NewOrder,1772281685.029343,15511,0,1
4,Delivery,1772281685.030153,136117,11,1
1,NewOrder,1772281685.030434,89349,14,1
1,NewOrder,1772281685.034081,42771,12,1
2,Payment,1772281685.035395,28794,20,1
2,Payment,1772281685.037718,30005,19,1
2,Payment,1772281685.039844,22314,9,1
2,Payment,1772281685.040316,30803,21,1
