method,provider_total_cost_usd,cost_per_run_usd,provenance
TuxBot,0.1998,0.200000,"Submitted-paper main.tex summary; original sampled-session CSV was not retained"
TuxBot no Catastrophic,0.1998,0.200000,"Same sampled session cost as TuxBot"
MLOS + TuxBot,0.1458,,"Submitted-paper main.tex summary; plotting code derives 0.145791 as 36% of its internal Single-Reasoning estimate"
MLOS + TuxBot no Catastrophic,0.1458,,"Same sampled session cost as MLOS + TuxBot"
Single-Reasoning,0.4050,,"Submitted-paper total; plotting code separately pins the displayed per-run cost to 0.42"
Single-Reasoning no Catastrophic,0.4050,,"Same sampled session cost as Single-Reasoning"
Single-Instant,0.1158,0.123894,"Submitted-paper main.tex summary; original sampled-session CSV was not retained"
Single-Instant no Catastrophic,0.1158,0.123894,"Same sampled session cost as Single-Instant"
MLOS,0.0000,0.000000,"No model-inference cost"
MLOS no Catastrophic,0.0000,0.000000,"No model-inference cost"
