workload,workload_label,method,knob_count,phase,fixed_mean,method_mean,improvement_factor,improvement_pct
silo_hi_p99,Silo,sematune_app,8,tuning,18.678033333333335,1.6621,11.237611054288752,1023.7611054288752
silo_hi_p99,Silo,sematune_system,,tuning,18.678033333333335,1.7259666666666669,10.82178103091987,982.178103091987
silo_hi_p99,Silo,mlos_app,,tuning,18.678033333333335,3.6674333333333333,5.092944202575826,409.29442025758254
silo_hi_p99,Silo,sematune_app,8,stable,14.02295,1.0579,13.255458928065034,1225.5458928065034
silo_hi_p99,Silo,sematune_system,,stable,14.02295,1.0662,13.152269743012567,1215.2269743012566
silo_hi_p99,Silo,mlos_app,,stable,14.02295,2.3312,6.015335449553878,501.5335449553878
tpcc_hi_p99,TPC-C,sematune_app,8,tuning,24.764566666666667,21.863433333333333,1.1326934013108645,13.269340131086448
tpcc_hi_p99,TPC-C,sematune_system,,tuning,24.764566666666667,23.9116,1.0356716684231364,3.5671668423136405
tpcc_hi_p99,TPC-C,mlos_app,,tuning,24.764566666666667,63.91423333333333,0.38746559842956213,-61.25344015704379
tpcc_hi_p99,TPC-C,sematune_app,8,stable,24.53415,23.631,1.038218865050146,3.8218865050146045
tpcc_hi_p99,TPC-C,sematune_system,,stable,24.53415,22.1627,1.1070018544671902,10.700185446719024
tpcc_hi_p99,TPC-C,mlos_app,,stable,24.53415,84.58250000000001,0.2900617740076257,-70.99382259923743
sysbench_oltp_rw_hi_p99,Sysbench OLTP-RW,sematune_app,8,tuning,16.799,16.059333333333335,1.0460583668894514,4.605836688945142
sysbench_oltp_rw_hi_p99,Sysbench OLTP-RW,sematune_system,,tuning,16.799,12.831,1.309251032655288,30.925103265528797
sysbench_oltp_rw_hi_p99,Sysbench OLTP-RW,mlos_app,,tuning,16.799,16.541999999999998,1.0155362108572121,1.553621085721213
sysbench_oltp_rw_hi_p99,Sysbench OLTP-RW,sematune_app,8,stable,17.2455,17.2935,0.9972243906670135,-0.2775609332986484
sysbench_oltp_rw_hi_p99,Sysbench OLTP-RW,sematune_system,,stable,17.2455,12.386,1.392338123688035,39.2338123688035
sysbench_oltp_rw_hi_p99,Sysbench OLTP-RW,mlos_app,,stable,17.2455,18.676499999999997,0.9233796482210266,-7.662035177897342
silo_hi_p99,Silo,sematune_app,2,tuning,18.678033333333335,17.243266666666667,1.0832073582345187,8.320735823451875
silo_hi_p99,Silo,sematune_app,2,stable,14.02295,14.625900000000001,0.9587751864842504,-4.122481351574958
tpcc_hi_p99,TPC-C,sematune_app,2,tuning,24.764566666666667,24.686266666666665,1.0031718040259903,0.3171804025990266
tpcc_hi_p99,TPC-C,sematune_app,2,stable,24.53415,24.34815,1.0076391840858545,0.7639184085854511
sysbench_oltp_rw_hi_p99,Sysbench OLTP-RW,sematune_app,2,tuning,16.799,13.915666666666668,1.2072005174024478,20.720051740244784
sysbench_oltp_rw_hi_p99,Sysbench OLTP-RW,sematune_app,2,stable,17.2455,12.8565,1.3413837358534593,34.138373585345924
silo_hi_p99,Silo,sematune_app,16,tuning,18.678033333333335,4.5999,4.060530301383364,306.05303013833634
silo_hi_p99,Silo,sematune_app,16,stable,14.02295,1.40435,9.98536689571688,898.5366895716879
tpcc_hi_p99,TPC-C,sematune_app,16,tuning,24.764566666666667,25.048333333333336,0.9886712356111517,-1.1328764388848334
tpcc_hi_p99,TPC-C,sematune_app,16,stable,24.53415,24.61295,0.996798433345048,-0.32015666549519706
sysbench_oltp_rw_hi_p99,Sysbench OLTP-RW,sematune_app,16,tuning,16.799,16.011333333333333,1.0491943206895116,4.919432068951157
sysbench_oltp_rw_hi_p99,Sysbench OLTP-RW,sematune_app,16,stable,17.2455,15.9055,1.0842475873125648,8.424758731256476
silo_hi_p99,Silo,sematune_app,41,tuning,18.678033333333335,17.28936666666667,1.0803191171452202,8.031911714522021
silo_hi_p99,Silo,sematune_app,41,stable,14.02295,7.901649999999999,1.7746862996968988,77.46862996968989
tpcc_hi_p99,TPC-C,sematune_app,41,tuning,24.764566666666667,22.722933333333334,1.0898490218399033,8.984902183990329
tpcc_hi_p99,TPC-C,sematune_app,41,stable,24.53415,22.45525,1.0925796862649046,9.257968626490465
sysbench_oltp_rw_hi_p99,Sysbench OLTP-RW,sematune_app,41,tuning,16.799,26.162333333333333,0.6421063360811344,-35.78936639188656
sysbench_oltp_rw_hi_p99,Sysbench OLTP-RW,sematune_app,41,stable,17.2455,19.583499999999997,0.880613782010366,-11.9386217989634
